protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
5DHV,0.4667,0.41,21,17,7
5L6Y,0.4571,0.23,24,24,8
3HI6,0.6667,0.43,27,26,15
5A3I,0.0,0,36,27,0
3PGF,0.0,0,38,35,0
3RVV,0.0851,0.28,28,32,2
1FNS,0.4571,0.31,27,23,8
3BGF,0.0,0,46,43,0
5FCU,0.2069,0.35,32,38,6
4O58,0.0,0,36,33,0
5KVF,0.1538,0.15,25,24,3
1NSN,0.3721,0.51,25,25,8
5FHX,0.4,0.23,24,24,7
3KR3,0.0556,0.35,21,17,1
5C0N,0.2581,0.19,26,25,4
4O9H,0.2667,0.24,26,29,6
1NCA,0.6275,0.45,32,30,16
1HYS,0.0,0,38,36,0
4UTA,0.0,0.05,34,36,0
4AEI,0.6341,0.51,20,26,13
5IKC,0.0,0.22,24,21,0
1JPS,0.1667,0.28,29,27,4
2Q8A,0.1818,0.08,31,34,5
1MHP,0.439,0.26,26,29,9
4JPW,0.2941,0.23,32,38,10
5TZT,0.2143,0.31,24,20,3
3VG9,0.1071,0.14,32,30,3
2J4W,0.0,0.04,33,34,0
5KW9,0.0,0,30,27,0
4L5F,0.0488,0.06,23,28,1
3GI8,0.0,0.04,33,39,0
4Z5R,0.0,0.3,26,29,0
4CMH,0.0,0.11,30,30,0
3WIH,0.1905,0.15,29,30,4
1BVK,0.1026,0.24,24,22,2
5E94,0.0,0,35,35,0
4Y5Y,0.6,0.69,28,29,15
5HDQ,0.0,0.05,30,28,0
5DUM,0.0,0.04,28,24,0
4QTI,0.0,0.05,31,28,0
3MXW,0.6222,0.64,26,24,14
1EGJ,0.2581,0.17,24,20,4
4HC1,0.0,0,29,28,0
2BDN,0.0,0.11,21,18,0
3EOA,0.2162,0.29,27,23,4
4YDK,0.0,0.18,32,31,0
5D70,0.5263,0.41,24,23,10
4JPK,0.4286,0.24,26,31,12
5BV7,0.0,0.07,33,37,0
3NGB,0.0,0.18,32,31,0
3L5W,0.4118,0.35,24,24,7
4FFY,0.1509,0.29,23,28,4
5CZX,0.3333,0.28,29,28,7
5MVZ,0.0,0.18,26,21,0
3LIZ,0.0,0,31,31,0
5F9W,0.0,0.23,32,31,0
3ZKM,0.0,0.07,32,26,0
2OZ4,0.0,0.12,31,25,0
4H8W,0.2807,0.35,32,38,8
2R29,0.0,0.04,34,33,0
4TSA,0.3429,0.32,24,22,6
4LSU,0.0,0.21,32,31,0
2R56,0.1224,0.17,26,28,3
1UJ3,0.1702,0.29,29,27,4
5H35,0.1739,0.21,27,25,4
4KUC,0.0,0.05,29,30,0
4NNP,0.2927,0.23,30,28,6
5K9K,0.0,0.04,36,27,0
4D3C,0.1212,0.32,27,22,2
4LU5,0.1,0.16,22,25,2
3NH7,0.2128,0.22,24,26,5
1LK3,0.0,0.19,26,21,0
1C08,0.0,0.1,24,22,0
4YDJ,0.0,0.21,32,31,0
4BZ2,0.0,0.29,23,22,0
2QQN,0.0,0.09,32,24,0
4LQF,0.0556,0.12,22,25,1
1IQD,0.6667,0.67,26,23,13
4HCR,0.0,0.08,28,24,0
5KVG,0.0513,0.09,25,19,1
4I77,0.0,0.14,24,24,0
3Q3G,0.4286,0.47,26,25,9
4ZPT,0.2273,0.23,28,28,5
3U7Y,0.0,0.18,32,31,0
4PP2,0.4348,0.42,28,26,10
4K94,0.0,0.1,37,41,0
5L0Q,0.4118,0.28,26,24,7
2YBR,0.3333,0.36,20,23,6
4YK4,0.3077,0.2,28,27,6
4DTG,0.2857,0.42,21,18,5
5TZU,0.1538,0.23,24,20,3
4LEO,0.0,0,38,39,0
4AL8,0.04,0,35,39,1
1OB1,0.1026,0.22,23,26,2
3IU3,0.0816,0,30,29,2
3WKM,0.2083,0.2,27,24,5
4M62,0.4651,0.45,25,28,10
5JHL,0.2727,0.19,34,36,6
3HMX,0.0,0.04,32,27,0
4DN4,0.3448,0.25,21,18,5
4Y5V,0.6667,0.68,28,29,17
5JQ6,0.4364,0.3,32,34,12
4JR9,0.0,0,33,29,0
1QFU,0.0,0,36,27,0
4ZSO,0.0,0.17,29,29,0
4XWG,0.0,0,33,37,0
4GMS,0.0,0,36,33,0
1FSK,0.6154,0.65,27,23,12
3LEV,0.4706,0.39,27,25,8
5D8J,0.5116,0.36,26,25,11
4G6J,0.0,0.26,26,25,0
1WEJ,0.0,0.06,24,25,0
2ADF,0.0465,0.34,26,28,1
3T2N,0.1667,0.12,32,28,4
2UZI,0.5217,0.73,26,28,12
3PNW,0.0,0.27,22,17,0
4K2U,0.0,0.04,38,35,0
2EIZ,0.0,0,24,22,0
5SY8,0.4,0.43,25,28,8
4FP8,0.0,0,36,27,0
5B3J,0.2222,0.22,32,31,5
1BQL,0.0,0,24,22,0
5UGY,0.3137,0.23,28,27,8
1EO8,0.0,0,36,27,0
5KVE,0.1,0.1,25,24,2
5DUR,0.1333,0.14,28,29,3
1RJL,0.45,0.36,26,27,9
4U6V,0.0,0,31,27,0
5LQB,0.439,0.32,24,28,9
4F15,0.0,0,36,30,0
4OT1,0.05,0.22,24,27,1
1A2Y,0.1081,0.26,24,22,2
4HF5,0.0,0,36,35,0
4G6M,0.0,0,26,25,0
4CNI,0.4186,0.35,26,29,9
5CBA,0.0,0.11,22,19,0
2J88,0.5,0.29,31,30,10
5TZ2,0.0588,0.05,24,20,1
1ZTX,0.0,0.15,24,30,0
2VXQ,0.1667,0.11,23,21,3
1FE8,0.0,0.13,26,22,0
5F3B,0.0,0,33,29,0
4KI5,0.0,0.03,46,42,0
1FBI,0.0,0.1,24,25,0
4HKX,0.3043,0.21,28,27,7
1JHL,0.4828,0.41,24,19,7
2NYY,0.0,0.03,47,42,0
4ZS7,0.0408,0.26,26,29,1
4XAK,0.2703,0.29,28,24,5
2JEL,0.125,0.5,21,17,2
5GGT,0.0,0.32,24,19,0
2FD6,0.0,0,31,26,0
5KVD,0.0455,0.04,25,24,1
4RGM,0.4583,0.48,29,31,11
3GJF,0.0,0.04,34,31,0
1E6J,0.6667,0.48,30,24,12
4IJ3,0.0,0.33,29,25,0
5E8E,0.0,0.08,37,35,0
5FB8,0.1081,0.18,25,18,2
5T5F,0.2083,0.14,31,35,5
4YPG,0.3462,0.2,26,29,9
4RWY,0.0,0.22,32,30,0
3CVH,0.0,0,32,34,0
1H0D,0.7568,0.39,24,20,14
5F96,0.0,0.22,32,31,0
5HYS,0.0,0.05,29,29,0
3RKD,0.037,0.07,36,34,1
