protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
5DHV,0.4848,0.41,21,20,8
5L6Y,0.4571,0.23,24,24,8
3HI6,0.6522,0.43,27,27,15
5A3I,0.0,0,36,16,0
3PGF,0.0,0,38,23,0
3RVV,0.1176,0.28,28,36,3
1FNS,0.0,0.31,27,11,0
3BGF,0.0,0,46,43,0
5FCU,0.2553,0.35,32,27,6
4O58,0.0,0,36,18,0
5KVF,0.1481,0.15,25,12,2
1NSN,0.3846,0.51,25,34,10
5FHX,0.4516,0.23,24,20,7
3KR3,0.0952,0.35,21,23,2
5C0N,0.3125,0.19,26,26,5
4O9H,0.3429,0.24,26,19,6
1NCA,0.5424,0.45,32,38,16
1HYS,0.0,0,38,25,0
4UTA,0.0,0.05,34,29,0
4AEI,0.6667,0.51,20,27,14
5IKC,0.0,0.22,24,13,0
1JPS,0.1613,0.28,29,41,5
2Q8A,0.2174,0.08,31,25,5
1MHP,0.4348,0.26,26,34,10
4JPW,0.1071,0.23,32,26,3
5TZT,0.0,0.31,24,9,0
3VG9,0.0952,0.14,32,16,2
2J4W,0.0,0.04,33,15,0
5KW9,0.0,0,30,27,0
4L5F,0.0,0.06,23,13,0
3GI8,0.0,0.04,33,39,0
4Z5R,0.0,0.3,26,35,0
4CMH,0.0,0.11,30,17,0
3WIH,0.0,0.15,29,7,0
1BVK,0.3043,0.24,24,29,7
5E94,0.0,0,35,24,0
4Y5Y,0.7213,0.69,28,40,22
5HDQ,0.0,0.05,30,34,0
5DUM,0.0,0.04,28,20,0
4QTI,0.0,0.05,31,24,0
3MXW,0.6522,0.64,26,25,15
1EGJ,0.2424,0.17,24,22,4
4HC1,0.0,0,29,13,0
2BDN,0.0,0.11,21,20,0
3EOA,0.2564,0.29,27,25,5
4YDK,0.0,0.18,32,32,0
5D70,0.5641,0.41,24,24,11
4JPK,0.4138,0.24,26,33,12
5BV7,0.0,0.07,33,27,0
3NGB,0.0,0.18,32,32,0
3L5W,0.4118,0.35,24,24,7
4FFY,0.0541,0.29,23,12,1
5CZX,0.0,0.28,29,20,0
5MVZ,0.0,0.18,26,27,0
3LIZ,0.0,0,31,25,0
5F9W,0.0,0.23,32,33,0
3ZKM,0.0,0.07,32,22,0
2OZ4,0.0,0.12,31,12,0
4H8W,0.4,0.35,32,26,9
2R29,0.0,0.04,34,18,0
4TSA,0.4286,0.32,24,29,9
4LSU,0.0,0.21,32,32,0
2R56,0.0,0.17,26,19,0
1UJ3,0.1639,0.29,29,41,5
5H35,0.1739,0.21,27,25,4
4KUC,0.0,0.05,29,24,0
4NNP,0.2727,0.23,30,31,6
5K9K,0.0,0.04,36,17,0
4D3C,0.0,0.32,27,16,0
4LU5,0.0889,0.16,22,30,2
3NH7,0.2051,0.22,24,18,4
1LK3,0.0,0.19,26,21,0
1C08,0.0,0.1,24,28,0
4YDJ,0.0,0.21,32,32,0
4BZ2,0.1017,0.29,23,41,3
2QQN,0.0,0.09,32,19,0
4LQF,0.05,0.12,22,29,1
1IQD,0.6061,0.67,26,17,10
4HCR,0.0,0.08,28,26,0
5KVG,0.0606,0.09,25,13,1
4I77,0.0,0.14,24,24,0
3Q3G,0.4898,0.47,26,32,12
4ZPT,0.0541,0.23,28,21,1
3U7Y,0.0,0.18,32,31,0
4PP2,0.4255,0.42,28,27,10
4K94,0.0,0.1,37,21,0
5L0Q,0.4118,0.28,26,24,7
2YBR,0.2857,0.36,20,29,6
4YK4,0.3111,0.2,28,33,7
4DTG,0.2857,0.42,21,18,5
5TZU,0.0,0.23,24,10,0
4LEO,0.0,0,38,40,0
4AL8,0.0392,0,35,40,1
1OB1,0.125,0.22,23,19,2
3IU3,0.1,0,30,20,2
3WKM,0.2273,0.2,27,20,5
4M62,0.5652,0.45,25,31,13
5JHL,0.2727,0.19,34,36,6
3HMX,0.0,0.04,32,24,0
4DN4,0.3448,0.25,21,18,5
4Y5V,0.7,0.68,28,38,21
5JQ6,0.4643,0.3,32,35,13
