protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
5DHV,0.5,0.41,21,18,7
5L6Y,0.8,0.23,24,24,8
3HI6,0.6842,0.43,27,23,13
5A3I,0.0,0,36,32,0
3PGF,0.0,0,38,38,0
3RVV,0.125,0.28,28,33,2
1FNS,0.9412,0.31,27,27,8
3BGF,0.0,0,46,43,0
5FCU,0.3243,0.35,32,27,6
4O58,0.0,0,36,32,0
5KVF,0.2308,0.15,25,24,3
1NSN,0.3721,0.51,25,25,8
5FHX,0.6364,0.23,24,20,7
3KR3,0.0588,0.35,21,18,1
5C0N,0.3846,0.19,26,26,5
4O9H,0.3429,0.24,26,29,6
1NCA,0.6957,0.45,32,31,16
1HYS,0.0,0,38,34,0
4UTA,0.0,0.05,34,29,0
4AEI,1.0,0.51,20,16,14
5IKC,0.0,0.22,24,25,0
1JPS,0.1667,0.28,29,27,4
2Q8A,0.2857,0.08,31,35,5
1MHP,0.6,0.26,26,30,9
4JPW,0.4255,0.23,32,39,10
5TZT,0.4286,0.31,24,23,3
3VG9,0.1,0.14,32,27,2
2J4W,0.0,0.04,33,29,0
5KW9,0.0,0,30,27,0
4L5F,0.0833,0.06,23,31,1
3GI8,0.0,0.04,33,28,0
4Z5R,0.0,0.3,26,29,0
4CMH,0.0,0.11,30,30,0
3WIH,0.4211,0.15,29,32,4
1BVK,0.1212,0.24,24,23,2
5E94,0.0,0,35,35,0
4Y5Y,0.6222,0.69,28,24,14
5HDQ,0.0,0.05,30,25,0
5DUM,0.0,0.04,28,24,0
4QTI,0.0,0.05,31,26,0
3MXW,0.8571,0.64,26,25,15
1EGJ,0.381,0.17,24,22,4
4HC1,0.0,0,29,30,0
2BDN,0.0,0.11,21,20,0
3EOA,0.2353,0.29,27,24,4
4YDK,0.0,0.18,32,32,0
5D70,0.4118,0.41,24,19,7
4JPK,0.5333,0.24,26,31,12
5BV7,0.0,0.07,33,39,0
3NGB,0.0,0.18,32,32,0
3L5W,0.7368,0.35,24,24,7
4FFY,0.2353,0.29,23,29,4
5CZX,0.5385,0.28,29,28,7
5MVZ,0.0,0.18,26,23,0
3LIZ,0.0,0,31,31,0
5F9W,0.0,0.23,32,33,0
3ZKM,0.0,0.07,32,29,0
2OZ4,0.0,0.12,31,28,0
4H8W,0.5,0.35,32,39,9
2R29,0.0,0.04,34,36,0
4TSA,0.4138,0.32,24,23,6
4LSU,0.0,0.21,32,32,0
2R56,0.1818,0.17,26,28,3
1UJ3,0.1702,0.29,29,27,4
5H35,0.2222,0.21,27,22,4
4KUC,0.0,0.05,29,24,0
4NNP,0.3158,0.23,30,25,6
5K9K,0.0,0.04,36,32,0
4D3C,0.2105,0.32,27,24,2
4LU5,0.1333,0.16,22,25,2
3NH7,0.25,0.22,24,19,4
1LK3,0.0,0.19,26,21,0
1C08,0.0,0.1,24,22,0
4YDJ,0.0,0.21,32,32,0
4BZ2,0.0,0.29,23,23,0
2QQN,0.0,0.09,32,28,0
4LQF,0.0769,0.12,22,26,1
1IQD,1.0,0.67,26,21,12
4HCR,0.0,0.08,28,26,0
5KVG,0.0645,0.09,25,22,1
4I77,0.0,0.14,24,24,0
3Q3G,0.359,0.47,26,22,7
4ZPT,0.3571,0.23,28,31,5
3U7Y,0.0,0.18,32,31,0
4PP2,0.6061,0.42,28,27,10
4K94,0.0,0.1,37,32,0
5L0Q,0.7778,0.28,26,24,7
2YBR,0.4138,0.36,20,16,6
4YK4,0.3077,0.2,28,27,6
4DTG,0.25,0.42,21,16,4
5TZU,0.24,0.23,24,24,3
4LEO,0.0,0,38,34,0
4AL8,0.0588,0,35,40,1
1OB1,0.1739,0.22,23,18,2
3IU3,0.125,0,30,29,2
3WKM,0.3636,0.2,27,26,6
4M62,0.8387,0.45,25,20,13
5JHL,0.4138,0.19,34,36,6
3HMX,0.0,0.04,32,29,0
4DN4,0.4348,0.25,21,18,5
4Y5V,0.6957,0.68,28,24,16
5JQ6,0.5909,0.3,32,35,13
4JR9,0.0,0,33,29,0
1QFU,0.0,0,36,29,0
4ZSO,0.0,0.17,29,31,0
4XWG,0.0,0,33,39,0
4GMS,0.0,0,36,32,0
1FSK,0.8,0.65,27,22,12
3LEV,0.6667,0.39,27,22,9
5D8J,0.4615,0.36,26,21,9
4G6J,0.0,0.26,26,22,0
1WEJ,0.0,0.06,24,20,0
2ADF,0.0541,0.34,26,22,1
3T2N,0.186,0.12,32,29,4
2UZI,0.8387,0.73,26,29,13
3PNW,0.0,0.27,22,20,0
4K2U,0.0,0.04,38,33,0
2EIZ,0.0,0,24,22,0
5SY8,0.6923,0.43,25,29,9
4FP8,0.0,0,36,31,0
5B3J,0.3448,0.22,32,27,5
1BQL,0.0,0,24,22,0
5UGY,0.3137,0.23,28,27,8
1EO8,0.0,0,36,29,0
5KVE,0.1481,0.1,25,21,2
5DUR,0.2308,0.14,28,24,3
1RJL,0.7692,0.36,26,22,10
4U6V,0.0,0,31,30,0
5LQB,0.6207,0.32,24,28,9
4F15,0.0,0,36,35,0
4OT1,0.0,0.22,24,19,0
1A2Y,0.1333,0.26,24,22,2
4HF5,0.0,0,36,38,0
4G6M,0.0,0,26,22,0
4CNI,0.6061,0.35,26,21,10
5CBA,0.0,0.11,22,17,0
2J88,1.1304,0.29,31,33,13
5TZ2,0.1,0.05,24,24,1
1ZTX,0.0,0.15,24,20,0
2VXQ,0.2069,0.11,23,22,3
1FE8,0.0,0.13,26,23,0
5F3B,0.0,0,33,30,0
4KI5,0.0,0.03,46,44,0
1FBI,0.0,0.1,24,25,0
4HKX,0.3043,0.21,28,27,7
1JHL,0.6154,0.41,24,21,8
2NYY,0.0,0.03,47,47,0
4ZS7,0.0513,0.26,26,21,1
4XAK,0.3704,0.29,28,26,5
2JEL,0.129,0.5,21,16,2
5GGT,0.0,0.32,24,21,0
2FD6,0.0,0,31,26,0
5KVD,0.0,0.04,25,20,0
4RGM,0.7097,0.48,29,32,11
3GJF,0.0,0.04,34,32,0
1E6J,1.1852,0.48,30,26,16
4IJ3,0.0,0.33,29,26,0
5E8E,0.0,0.08,37,33,0
5FB8,0.129,0.18,25,21,2
5T5F,0.4762,0.14,31,27,5
4YPG,0.45,0.2,26,29,9
4RWY,0.0,0.22,32,32,0
3CVH,0.0,0,32,35,0
1H0D,0.8125,0.39,24,19,13
5F96,0.0,0.22,32,31,0
5HYS,0.0,0.05,29,24,0
3RKD,0.0571,0.07,36,31,1
1A14,0.6667,0.43,32,31,12
3I50,0.5714,0.36,34,32,8
1MLC,0.3333,0.37,24,23,5
2DD8,0.0,0.03,46,43,0
5C7X,0.3333,0.34,24,19,7
4OII,0.1935,0.13,26,24,3
4PP1,0.0,0,28,28,0
5KJR,0.2941,0.33,32,27,5
4U0R,0.0,0.09,32,27,0
5F3H,0.0,0,33,31,0
3SE9,0.0,0.2,32,32,0
3LD8,0.0833,0,32,30,1
4ETQ,0.2564,0.28,28,25,5
2YPV,0.0714,0.12,31,26,1
3U9P,0.0,0.37,26,21,0
5MES,0.25,0.43,25,25,3
4DGI,0.5714,0.29,24,19,8
3KS0,0.0,0,36,27,0
3L5X,0.8421,0.35,24,25,8
1ORS,0.0,0.05,27,26,0
1TPX,0.125,0.09,27,22,2
5F9O,0.0,0.22,32,31,0
5I9Q,0.1026,0.3,32,27,2
4BZ1,0.1714,0.29,23,23,3
4OGX,0.2222,0.17,29,25,4
5D93,0.0,0,36,37,0
3NFP,0.0,0.04,30,31,0
1AHW,0.2174,0.25,29,27,5
