5FCU,50.0,52.17,50.0,47.83,14.0902,0.51
1FSK,93.75,77.78,6.25,22.22,14.8966,0.7
3WXV,0.0,68.75,100.0,31.25,43.8285,0
4BZ2,94.74,65.22,5.26,34.78,25.3041,0.19
3IDX,100.0,43.75,0.0,56.25,40.9248,0.04
1AR1,100.0,66.67,0.0,33.33,45.5022,0
3GRW,33.33,58.62,66.67,41.38,36.2069,0.26
4AL8,72.73,39.13,27.27,60.87,19.3465,0.12
4YWG,66.67,91.67,33.33,8.33,24.6106,0.44
4I77,100.0,56.52,0.0,43.48,18.2112,0
4ZPT,100.0,75.0,0.0,25.0,29.8572,0.32
4YDK,100.0,53.12,0.0,46.88,34.5589,0.15
3B2U,68.42,35.71,31.58,64.29,26.6302,0.21
4IRZ,100.0,67.57,0.0,32.43,67.4094,0
4M62,100.0,72.0,0.0,28.0,18.288,0.6
1EZV,0.0,85.71,100.0,14.29,68.4882,0.18
2W9E,100.0,39.13,0.0,60.87,26.7387,0.37
3MXW,71.43,68.0,28.57,32.0,16.0602,0.26
1A2Y,100.0,70.83,0.0,29.17,24.1951,0.51
5DUR,36.84,75.0,63.16,25.0,17.1937,0.34
3RKD,0.0,92.0,100.0,8.0,17.3773,0.04
3X3F,100.0,66.67,0.0,33.33,26.9678,0.36
4XMP,53.85,90.62,46.15,9.38,25.6899,0.28
4FP8,0.0,86.67,100.0,13.33,32.8296,0
2FD6,0.0,53.33,100.0,46.67,33.2886,0
4PP1,0.0,100.0,100.0,0.0,21.9596,0
2XWT,44.44,68.97,55.56,31.03,20.4042,0.29
1AHW,0.0,32.14,100.0,67.86,32.7774,0.81
5UGY,100.0,43.75,0.0,56.25,74.078,0
5F3B,100.0,44.0,0.0,56.0,37.9922,0.1
1YY9,0.0,94.87,100.0,5.13,59.0754,0
4F2M,100.0,50.0,0.0,50.0,34.5565,0.26
4OT1,38.46,37.5,61.54,62.5,22.0379,0.05
2DD8,100.0,46.43,0.0,53.57,27.9596,0.21
4XAK,100.0,58.62,0.0,41.38,46.1383,0.42
5K59,100.0,67.74,0.0,32.26,75.5462,0.52
4OKV,0.0,85.71,100.0,14.29,33.8858,0
4J6R,46.88,45.45,53.12,54.55,28.1688,0.09
5F9W,100.0,46.88,0.0,53.12,33.2952,0.03
4EDW,64.71,62.5,35.29,37.5,23.4117,0.39
4HJ0,82.35,65.22,17.65,34.78,16.2748,0.55
4DGI,0.0,52.17,100.0,47.83,24.5018,0.24
4HCR,100.0,46.43,0.0,53.57,40.1134,0.12
4ZS7,45.0,88.0,55.0,12.0,21.0115,0.27
1QFU,100.0,50.0,0.0,50.0,46.0989,0.27
5CBA,78.57,70.0,21.43,30.0,13.2665,0.59
5LQB,62.5,54.17,37.5,45.83,13.3319,0.5
2XQB,72.73,60.87,27.27,39.13,16.5881,0.49
2ADF,60.0,70.37,40.0,29.63,18.5853,0.52
3UC0,100.0,12.5,0.0,87.5,17.438,0.05
4HWB,100.0,64.0,0.0,36.0,30.6991,0.26
4LEO,0.0,69.23,100.0,30.77,65.8776,0.07
4Y5V,36.36,48.28,63.64,51.72,19.0937,0.71
3KR3,63.16,65.0,36.84,35.0,11.8675,0.36
1BGX,67.31,66.67,32.69,33.33,28.5829,0.89
2AEP,23.81,62.5,76.19,37.5,20.3964,0.19
4F37,100.0,62.5,0.0,37.5,26.4848,0.55
5KVF,60.0,82.61,40.0,17.39,18.8461,0.26
5F9O,100.0,56.25,0.0,43.75,33.6053,0
2XRA,62.5,37.04,37.5,62.96,14.7858,0.23
2JEL,0.0,68.18,100.0,31.82,20.2942,0.32
5MES,100.0,40.0,0.0,60.0,21.9945,0.38
4GMS,0.0,96.88,100.0,3.12,71.2258,0
4NZR,64.15,57.58,35.85,42.42,30.9907,0.44
5TZ2,100.0,58.33,0.0,41.67,27.717,0.26
5KJR,0.0,62.5,100.0,37.5,29.1529,0.29
3L5W,100.0,34.78,0.0,65.22,23.8426,0.18
5E94,100.0,54.17,0.0,45.83,21.7575,0.5
4K3J,100.0,66.67,0.0,33.33,44.3566,0.07
3PNW,50.0,60.0,50.0,40.0,14.1086,0.28
4TSA,100.0,57.14,0.0,42.86,18.8722,0.29
3NH7,52.38,59.09,47.62,40.91,15.6683,0.37
5T5F,100.0,89.29,0.0,10.71,31.5505,0.63
4O9H,100.0,53.85,0.0,46.15,26.9244,0.1
4FFY,88.0,56.52,12.0,43.48,17.7733,0.37
2CMR,82.35,40.74,17.65,59.26,15.5616,0.27
3RVV,100.0,25.0,0.0,75.0,19.3738,0
3D85,5.88,72.0,94.12,28.0,15.4954,0.19
3SQO,0.0,68.57,100.0,31.43,36.8336,0.04
4ZSO,94.12,72.41,5.88,27.59,33.2108,0.17
4JR9,0.0,72.73,100.0,27.27,32.5017,0.05
2NY7,100.0,70.97,0.0,29.03,37.5195,0.19
1ORS,100.0,57.69,0.0,42.31,33.4927,0.22
4CMH,100.0,58.62,0.0,41.38,26.8227,0.04
4FQJ,47.37,48.39,52.63,51.61,29.0418,0.28
4YPG,100.0,42.31,0.0,57.69,26.6419,0.27
1XIW,100.0,43.48,0.0,56.52,22.7736,0
1EO8,0.0,78.12,100.0,21.88,46.278,0.09
3HI1,13.04,78.12,86.96,21.88,24.1248,0.22
3W9E,84.0,48.28,16.0,51.72,18.0784,0.56
5C0N,100.0,64.0,0.0,36.0,27.0828,0.19
5K9K,0.0,77.78,100.0,22.22,58.0074,0
4K2U,100.0,24.14,0.0,75.86,34.5812,0.05
4LU5,0.0,77.27,100.0,22.73,21.2155,0.16
1IQD,100.0,72.0,0.0,28.0,28.3644,0.59
1N8Z,0.0,60.53,100.0,39.47,58.5427,0.18
2R29,100.0,39.13,0.0,60.87,16.0457,0
5KVG,100.0,39.13,0.0,60.87,24.5402,0
1JRH,53.33,60.87,46.67,39.13,11.1386,0.79
4YQX,92.86,58.33,7.14,41.67,22.8659,0.32
4LIQ,100.0,44.44,0.0,55.56,62.7266,0
5MVZ,100.0,48.0,0.0,52.0,18.0883,0.05
3S37,100.0,75.0,0.0,25.0,27.5583,0.43
