1UJ3,0.0,100.0,100.0,0.0,41.5329,0
5H35,100.0,59.26,0.0,40.74,30.1225,0.33
3G04,65.22,39.29,34.78,60.71,19.8153,0.08
2R56,100.0,50.0,0.0,50.0,18.7413,0.04
4NNP,0.0,60.0,100.0,40.0,15.4506,0.42
5K9K,0.0,72.22,100.0,27.78,45.4397,0.26
4KUC,100.0,53.33,0.0,46.67,36.952,0.05
3NH7,38.1,100.0,61.9,0.0,17.8228,0.19
1LK3,0.0,100.0,100.0,0.0,25.4567,0
5IES,36.36,65.38,63.64,34.62,25.4681,0.17
4LU5,0.0,100.0,100.0,0.0,20.7934,0
4D3C,0.0,100.0,100.0,0.0,21.3515,0
4LF3,66.67,100.0,33.33,0.0,21.0816,0.32
4BZ2,57.89,95.65,42.11,4.35,14.534,0.48
4LIQ,76.47,13.89,23.53,86.11,48.0884,0.04
1C08,82.35,41.67,17.65,58.33,14.4682,0.59
1BGX,98.08,35.71,1.92,64.29,49.3278,0.04
4YDJ,80.77,19.35,19.23,80.65,20.8473,0.28
4K3J,100.0,69.44,0.0,30.56,56.9703,0
4FFY,72.0,0.0,28.0,100.0,15.053,0.21
3NGB,33.33,100.0,66.67,0.0,31.6234,0.11
4LVN,100.0,36.67,0.0,63.33,28.3221,0
3L5W,0.0,100.0,100.0,0.0,22.568,0
3LIZ,100.0,64.52,0.0,35.48,28.242,0
1OAZ,64.71,68.0,35.29,32.0,13.1124,0.48
5F9W,64.29,12.5,35.71,87.5,26.0828,0.07
5CZX,21.43,68.97,78.57,31.03,26.0227,0.19
5MVZ,5.56,88.0,94.44,12.0,17.3386,0.14
4H8W,100.0,34.38,0.0,65.62,28.0487,0.24
1V7M,0.0,92.0,100.0,8.0,14.9749,0
2R29,75.0,47.83,25.0,52.17,12.9145,0
3ZKM,73.08,42.42,26.92,57.58,13.4323,0.51
2OZ4,100.0,48.39,0.0,51.61,83.6538,0.45
4TSA,100.0,38.1,0.0,61.9,15.0102,0.18
4LSU,48.57,100.0,51.43,0.0,28.8688,0.26
3IDX,25.0,96.88,75.0,3.12,19.7323,0.12
3U7Y,80.0,3.12,20.0,96.88,27.3567,0.21
4K94,100.0,0.0,0.0,100.0,51.6111,0
4PP2,0.0,100.0,100.0,0.0,23.5623,0
5L0Q,8.33,89.66,91.67,10.34,39.4746,0.1
2YBR,76.92,70.0,23.08,30.0,11.1638,0.61
4NZR,52.83,66.67,47.17,33.33,27.247,0.28
1FJ1,0.0,100.0,100.0,0.0,63.556,0
4JZJ,0.0,96.67,100.0,3.33,40.7433,0
5TZU,15.79,79.17,84.21,20.83,21.7763,0
4LEO,100.0,38.46,0.0,61.54,57.3178,0
4AL8,100.0,43.48,0.0,56.52,17.9781,0.12
1OB1,100.0,39.13,0.0,60.87,11.9436,0.22
3MA9,56.0,81.48,44.0,18.52,15.1602,0.5
4YK4,100.0,14.29,0.0,85.71,29.3659,0
3Q1S,33.33,45.83,66.67,54.17,12.9232,0.33
2XWT,59.26,68.97,40.74,31.03,21.2887,0.36
4DTG,52.94,100.0,47.06,0.0,14.0679,0.32
4M62,66.67,72.0,33.33,28.0,15.3048,0.7
3IU3,100.0,4.17,0.0,95.83,26.04,0.05
3WKM,50.0,100.0,50.0,0.0,20.0266,0.31
5JHL,0.0,38.24,100.0,61.76,86.3594,0.38
3HMX,0.0,100.0,100.0,0.0,61.9361,0
2QQN,100.0,44.0,0.0,56.0,30.0659,0.32
3S37,100.0,41.67,0.0,58.33,29.7153,0.43
4LQF,0.0,80.95,100.0,19.05,18.369,0
4YWG,41.67,45.83,58.33,54.17,14.925,0.44
3V6O,0.0,92.86,100.0,7.14,50.0281,0.05
5KVG,100.0,4.35,0.0,95.65,22.8968,0
4HCR,100.0,50.0,0.0,50.0,59.4779,0.29
5EN2,100.0,20.0,0.0,80.0,16.1032,0
1IQD,100.0,88.0,0.0,12.0,30.2302,0.54
3Q3G,23.53,42.31,76.47,57.69,11.912,0.65
2ZCH,0.0,78.57,100.0,21.43,20.6159,0.14
4ZPT,100.0,42.86,0.0,57.14,37.4457,0.27
4MWF,25.0,100.0,75.0,0.0,19.3281,0.15
4XVS,96.3,12.12,3.7,87.88,26.2926,0.03
4I77,100.0,43.48,0.0,56.52,13.7881,0.1
1OSP,100.0,77.42,0.0,22.58,43.1987,0.28
1NCA,90.48,21.88,9.52,78.12,23.0263,0
1HYS,0.0,40.0,100.0,60.0,32.3421,0.41
5FHX,0.0,100.0,100.0,0.0,25.3183,0
1NSN,11.11,100.0,88.89,0.0,18.3391,0.05
3KR3,57.89,60.0,42.11,40.0,11.1008,0.67
