protein,fscore_spidder_patch,spidder_total_predicted,fscore_ispred_patch,ispred_total_predicted,dynamic_cutoff,fscore_spidder_dynamic,fscore_ispred_dynamic
5L0Q,0.4516,21,0.56,15,26,0.33,0.28
4OGX,0,24,0,18,29,0.24,0.17
5JHL,0.4828,21,0,26,34,0.33,0.19
1FNS,0,16,0,9,27,0.15,0.31
3KS0,0,14,0,14,36,0,0
5MVZ,0,12,0.0417,30,26,0.32,0.18
5KW9,0,26,0,30,30,0,0
5E8E,0,20,0,28,37,0.08,0.08
2BDN,0,8,0.0465,26,21,0.11,0.11
4H8W,0,19,0.375,29,32,0.2,0.35
4AEI,0.1579,23,0.5581,28,20,0.57,0.51
3T2N,0,28,0,27,32,0.12,0.12
4QTI,0,20,0,34,31,0,0.05
1C08,0.3243,20,0,30,24,0.29,0.1
4KI5,0,13,0,33,46,0.09,0.03
5F3B,0,23,0,23,33,0,0
4Y5Y,0,20,0.4583,27,28,0,0.69
1AHW,0,13,0.186,24,29,0.04,0.25
5DHV,0.3226,18,0.4651,30,21,0.47,0.41
5C7X,0.1765,11,0.5714,26,24,0.34,0.34
4K2U,0,15,0,19,38,0.08,0.04
1EGJ,0.2963,16,0.1951,30,24,0.51,0.17
5.00E+94,0,32,0,22,35,0,0
4DTG,0.2917,31,0.2051,22,21,0.32,0.42
4HC1,0,13,0,21,29,0.26,0
1ORS,0.32,15,0.0645,21,27,0.27,0.05
4PP2,0.2857,15,0.3636,24,28,0.29,0.42
3KR3,0.449,30,0.4082,30,21,0.55,0.35
2OZ4,0,12,0,24,31,0.04,0.12
2DD8,0,17,0,25,46,0,0.03
4NNP,0.5161,18,0,29,30,0.09,0.23
5CBA,0,13,0.0541,23,22,0.11,0.11
3RKD,0,15,0,23,36,0,0.07
1HYS,0,14,0.1429,19,38,0.09,0
3ZKM,0.2273,21,0,22,32,0.15,0.07
2R56,0,16,0,25,26,0.21,0.17
4PP1,0,15,0,24,28,0.08,0
1TPX,0.1176,16,0.1212,15,27,0.09,0.09
3PGF,0,25,0,24,38,0,0
4L5F,0,18,0,32,23,0,0.06
3L5X,0,13,0.0625,22,24,0.12,0.35
4RGM,0.1,23,0.3158,21,29,0.17,0.48
4HCR,0,19,0,30,28,0.08,0.08
5K9K,0,18,0,17,36,0.08,0.04
4ZS7,0,20,0.2927,21,26,0.22,0.26
1WEJ,0,26,0,34,24,0.06,0.06
2EIZ,0.2632,20,0,30,24,0.24,0
2Q8A,0,24,0,20,31,0.19,0.08
4YK4,0,19,0.0435,34,28,0.05,0.2
4ETQ,0.3529,29,0.0889,23,28,0.24,0.28
5HYS,0,12,0,32,29,0.1,0.05
1H0D,0,14,0.5128,22,24,0.44,0.39
1ZTX,0.0526,23,0.2791,28,24,0.05,0.15
5F96,0,18,0,25,32,0,0.22
5F9W,0,18,0,25,32,0,0.23
3LIZ,0,10,0,24,31,0,0
5BV7,0,23,0.1633,26,33,0,0.07
4JPW,0.1633,19,0.2373,29,32,0.06,0.23
4F15,0,21,0,23,36,0,0
3IU3,0,22,0,24,30,0,0
2J4W,0,10,0,27,33,0.09,0.04
4GMS,0,19,0,23,36,0,0
1QFU,0,18,0,17,36,0,0
4FP8,0,18,0,17,36,0,0
1UJ3,0,13,0.1818,24,29,0.04,0.29
1E6J,0,16,0.4737,26,30,0.05,0.48
5IKC,0,10,0.2941,21,24,0.16,0.22
5KJR,0,19,0.3913,29,32,0.2,0.33
4HKX,0,19,0.0377,34,28,0.04,0.21
4JR9,0,19,0,29,33,0,0
4K94,0,12,0.44,29,37,0.03,0.1
1MLC,0,20,0,30,24,0.16,0.37
5D93,0,20,0,18,36,0.07,0
3NFP,0,22,0,24,30,0,0.04
4YDK,0.1961,18,0,25,32,0.06,0.18
3NGB,0.1429,18,0,25,32,0.07,0.18
4YDJ,0,18,0,25,32,0,0.21
1FSK,0,23,0.4681,31,27,0.09,0.65
5DUM,0,7,0,28,28,0,0.04
5FCU,0,19,0.3673,29,32,0.31,0.35
1JHL,0,14,0.4,25,24,0.24,0.41
4CNI,0.5294,20,0.2286,21,26,0.3,0.35
3MXW,0,10,0.5957,26,26,0,0.64
2NYY,0,19,0,24,47,0.11,0.03
3LD8,0,12,0,18,32,0,0
4LQF,0,22,0,23,22,0.06,0.12
3WIH,0,12,0,21,29,0.24,0.15
5C0N,0,18,0.2581,25,26,0.19,0.19
3EOA,0,7,0.2778,22,27,0.05,0.29
3SE9,0.0889,18,0,25,32,0.03,0.2
1LK3,0,21,0,20,26,0.05,0.19
3Q3G,0.4444,28,0.3922,34,26,0.51,0.47
3CVH,0,21,0,30,32,0,0
2YBR,0.5143,22,0.0571,22,20,0.61,0.36
4Z5R,0.0571,14,0.069,37,26,0.34,0.3
4M62,0.5625,17,0.2353,19,25,0.45,0.45
4LEO,0.0465,25,0,22,38,0,0
4LSU,0.2264,18,0,25,32,0.09,0.21
1JPS,0,13,0.1333,24,29,0.08,0.28
3WKM,0,25,0.2381,18,27,0.16,0.2
4RWY,0.1702,15,0,23,32,0.09,0.22
