protein,sppider_patch_fscore,sppider_dynamic_cutoff_fscore,dynamic_cutoff,sppider_number_predicted_by_patch,sppider_patch_tot_TP,ispred_patch_fscore,ispred_dynamic_cutoff_fscore
5DHV,0.4375,0.47,21,19,7,0.4667,0.41
5L6Y,0.0,0.11,24,21,0,0.4571,0.23
3HI6,0.0,0.22,27,24,0,0.6667,0.43
5A3I,0.0,0.08,36,30,0,0.0,0
3PGF,0.0,0,38,33,0,0.0,0
3RVV,0.25,0.19,28,25,5,0.0851,0.28
1FNS,0.2326,0.15,27,31,5,0.4571,0.31
3BGF,0.0,0,46,36,0,0.0,0
5FCU,0.3111,0.31,32,25,7,0.2069,0.35
4O58,0.0,0,36,28,0,0.0,0
5KVF,0.0606,0.2,25,18,1,0.1538,0.15
1NSN,0.0,0,25,22,0,0.3721,0.51
5FHX,0.4,0.23,24,19,6,0.4,0.23
3KR3,0.5217,0.55,21,27,12,0.0556,0.35
5C0N,0.1818,0.19,26,27,3,0.2581,0.19
4O9H,0.359,0.43,26,23,7,0.2667,0.24
1NCA,0.0,0,32,34,0,0.6275,0.45
1HYS,0.0976,0.09,38,32,2,0.0,0
4UTA,0.0,0.05,34,27,0,0.0,0.05
4AEI,0.5,0.57,20,17,8,0.6341,0.51
5IKC,0.0,0.16,24,14,0,0.0,0.22
1JPS,0.0,0.08,29,23,0,0.1667,0.28
2Q8A,0.2041,0.19,31,28,5,0.1818,0.08
1MHP,0.1818,0.32,26,21,3,0.439,0.26
4JPW,0.1132,0.06,32,23,3,0.2941,0.23
5TZT,0.0769,0.12,24,18,1,0.2143,0.31
3VG9,0.0357,0.14,32,30,1,0.1071,0.14
2J4W,0.0,0.09,33,28,0,0.0,0.04
5KW9,0.0,0,30,26,0,0.0,0
4L5F,0.0,0,23,18,0,0.0488,0.06
3GI8,0.0,0,33,31,0,0.0,0.04
4Z5R,0.2791,0.34,26,22,6,0.0,0.3
4CMH,0.0,0.11,30,24,0,0.0,0.11
3WIH,0.2439,0.24,29,29,5,0.1905,0.15
1BVK,0.3784,0.24,24,20,7,0.1026,0.24
5E94,0.0,0,35,28,0,0.0,0
4Y5Y,0.0,0,28,21,0,0.6,0.69
