2JEL,0.0,0,21,14,0
3VG9,0.0357,0.14,32,30,1
2R56,0.0,0.21,26,18,0
1NSN,0.0,0,25,22,0
4DTG,0.2424,0.32,21,16,4
5DUR,0.1364,0.09,28,28,3
5GGT,0.0,0.22,24,19,0
2ADF,0.4762,0.34,26,27,10
4PP2,0.2273,0.29,28,24,5
4U6V,0.0,0,31,21,0
4O58,0.0,0,36,28,0
5SY8,0.4,0.38,25,18,6
4ETQ,0.2083,0.24,28,26,5
4G6J,0.0,0.26,26,20,0
4XWG,0.5116,0.36,33,26,11
4YK4,0.0,0.05,28,21,0
5K9K,0.0,0.08,36,28,0
4HCR,0.093,0.08,28,23,2
3GJF,0.0,0,34,29,0
3RKD,0.0,0,36,25,0
5I9Q,0.125,0.11,32,26,3
5HDQ,0.0,0.14,30,23,0
5TZ2,0.0,0,24,18,0
1FSK,0.0,0.09,27,20,0
5KVE,0.0588,0.2,25,18,1
4QTI,0.0,0,31,26,0
1TPX,0.1081,0.09,27,19,2
4CNI,0.4324,0.3,26,23,8
5D93,0.0,0.07,36,30,0
2YPV,0.0,0.12,31,27,0
5KJR,0.1429,0.2,32,25,3
4YDJ,0.0,0,32,26,0
1LK3,0.0,0.05,26,21,0
5CBA,0.0,0.11,22,18,0
3Q3G,0.5366,0.51,26,24,11
4L5F,0.0,0,23,18,0
3LD8,0.0,0,32,29,0
4LQF,0.0,0.06,22,19,0
4H8W,0.1818,0.2,32,25,4
4BZ1,0.6452,0.46,23,19,10
4DN4,0.2857,0.31,21,24,5
4JPK,0.0,0.04,26,22,0
5L0Q,0.4375,0.33,26,22,7
5LQB,0.4706,0.38,24,21,8
3NGB,0.125,0.07,32,24,3
4U0R,0.0952,0.13,32,28,2
1WEJ,0.0,0.06,24,20,0
1MLC,0.0,0.16,24,17,0
4CMH,0.0,0.11,30,24,0
5BV7,0.0,0,33,26,0
2DD8,0.0,0,46,36,0
3SE9,0.0784,0.03,32,24,2
2J4W,0.0,0.09,33,28,0
4RWY,0.1379,0.09,32,26,4
3MXW,0.0,0,26,15,0
4F15,0.0,0,36,31,0
4GMS,0.0,0,36,28,0
4OII,0.0,0.09,26,23,0
3U9P,0.0526,0.28,26,21,1
4JPW,0.1132,0.06,32,23,3
1A2Y,0.2857,0.21,24,20,5
4HKX,0.0,0.04,28,21,0
3WKM,0.0,0.16,27,20,0
1UJ3,0.0,0.04,29,21,0
4YDK,0.1754,0.06,32,24,5
4UTA,0.0,0.05,34,27,0
4RGM,0.0976,0.17,29,24,2
4XAK,0.2927,0.34,28,28,6
4O9H,0.359,0.43,26,23,7
1C08,0.0,0.29,24,17,0
5FHX,0.4,0.23,24,19,6
5HYS,0.0,0.1,29,22,0
3NH7,0.0,0.04,24,15,0
5JHL,0.4211,0.33,34,30,8
5C7X,0.2927,0.34,24,18,6
4Z5R,0.2791,0.34,26,22,6
4FFY,0.0,0.17,23,18,0
3HMX,0.2083,0.12,32,30,5
2YBR,0.5714,0.61,20,15,8
1E6J,0.0,0.05,30,22,0
3EOA,0.0,0.05,27,27,0
4D3C,0.0,0.26,27,21,0
2BDN,0.1951,0.11,21,24,4
5KVD,0.0526,0.13,25,18,1
4ZPT,0.2979,0.32,28,31,7
2NYY,0.0299,0.11,47,44,1
2EIZ,0.0,0.24,24,20,0
3U7Y,0.1967,0.09,32,26,6
5A3I,0.0,0.08,36,30,0
5F96,0.0,0,32,23,0
1BQL,0.0,0,24,18,0
5DUM,0.0,0,28,28,0
4LEO,0.0,0,38,33,0
2OZ4,0.0,0.04,31,23,0
1ORS,0.6667,0.27,27,20,10
5KVG,0.0,0,25,18,0
4DGI,0.4667,0.4,24,19,7
3CVH,0.0,0,32,34,0
3BGF,0.0,0,46,36,0
4I77,0.0,0.05,24,16,0
5H35,0.0426,0.08,27,26,1
3L5W,0.0,0.12,24,21,0
4FP8,0.0,0,36,28,0
5B3J,0.1818,0.09,32,30,4
4OT1,0.0556,0.05,24,23,1
4IJ3,0.3636,0.45,29,24,8
1EO8,0.0,0,36,28,0
5T5F,0.55,0.36,31,27,11
5TZU,0.0541,0.05,24,18,1
5IKC,0.0,0.16,24,14,0
1QFU,0.0,0,36,28,0
4ZSO,0.0,0.09,29,29,0
3T2N,0.1667,0.12,32,28,4
