3kr3D,1.10.100.10,,,,,,,,,,
4f37A,1.10.1200.20,,,,,,,,,1.10.100,1
4jlrS,1.10.132.20,,,,,,,,,1.10.1200,1
1e6jP,1.10.375.10,1.10.1200.30,,,,,,,,1.10.132,1
5mesA,1.10.437.10,,,,,,,,,1.10.375,1
1mlcE,1.10.530.10,,,,,,,,,1.10.437,1
1bvkC,1.10.530.10,,,,,,,,,1.10.530,8
2eizC,1.10.530.10,,,,,,,,,1.10.760,1
1jhlA,1.10.530.10,,,,,,,,,1.10.790,3
1fbiX,1.10.530.10,,,,,,,,,1.20.1070,1
1bqlY,1.10.530.10,,,,,,,,,1.20.120,2
1a2yC,1.10.530.10,,,,,,,,,1.20.1250,21
1c08C,1.10.530.10,,,,,,,,,1.20.1740,1
1wejF,1.10.760.10,,,,,,,,,1.20.5,1
1tpxA,1.10.790.10,,,,,,,,,1.20.58,2
4dgiA,1.10.790.10,,,,,,,,,,
2w9eA,1.10.790.10,,,,,,,,,1.20.82,1
3vg9A,1.20.1070.10,,,,,,,,,2.10.25,1
3levA,1.20.120.1810,,,,,,,,,2.10.50,2
1orsC,1.20.120.350,,,,,,,,,,
3d85C,1.20.1250.10,,,,,,,,,2.10.60,3
4yqxA,1.20.1250.10,,,,,,,,,,
3l5wI,1.20.1250.10,,,,,,,,,,
4cniD,1.20.1250.10,,,,,,,,,2.10.70,2
1lk3A,1.20.1250.10,,,,,,,,,,
4ypgC,1.20.1250.10,,,,,,,,,2.10.77,5
5lqbA,1.20.1250.10,,,,,,,,,2.10.90,4
4o9hA,1.20.1250.10,,,,,,,,,2.120.10,3
4yueC,1.20.1250.10,,,,,,,,,,
5l6yC,1.20.1250.10,,,,,,,,,,
4z5rD,1.20.1250.10,,,,,,,,,2.130.10,3
5c7xA,1.20.1250.10,,,,,,,,,2.170.40,23
4zs7A,1.20.1250.10,,,,,,,,,2.30.29,1
1v7mV,1.20.1250.10,,,,,,,,,2.30.30,1
3l5xA,1.20.1250.10,,,,,,,,,2.30.42,2
3q1sI,1.20.1250.10,,,,,,,,,,
5d70A,1.20.1250.10,,,,,,,,,2.40.10,3
5fhxA,1.20.1250.10,,,,,,,,,2.40.128,6
4i77Z,1.20.1250.10,,,,,,,,,2.40.20,1
4jr9A,1.20.1250.20,,,,,,,,,2.40.50,4
2xqbA,1.20.1250.70,,,,,,,,,2.40.510,1
3gi8C,1.20.1740.10,,,,,,,,,2.40.70,1
1ezvE,1.20.5.270,2.102.10.10,,,,,,,,2.60.120,6
2cmrA,1.20.58.1860,,,,,,,,,2.60.40,49
3ma9A,1.20.58.1860,,,,,,,,,2.60.98,3
4cmhA,1.20.82.10,3.40.50.720,,,,,,,,,
1ob1C,2.10.25.10,2.10.25.10,,,,,,,,,
3x3fA,2.10.50.10,,,,,,,,,2.70.230,1
3thmF,2.10.50.10,,,,,,,,,2.70.240,2
2fd6U,2.10.60.10,2.10.60.10,2.10.60.10,,,,,,,,
4qtiU,2.10.60.10,2.10.60.10,2.10.60.10,,,,,,,2.80.10,3
3nh7A,2.10.60.10,,,,,,,,,3.10.10,1
3nfpK,2.10.70.10,2.20.28.230,,,,,,,,3.10.100,2
3iu3K,2.10.70.10,2.20.28.230,,,,,,,,,
5ugyA,2.10.77.10,3.90.209.20,,,,,,,,3.10.120,1
4hf5A,2.10.77.10,3.90.209.20,,,,,,,,3.10.130,1
5a3iA,2.10.77.10,3.90.209.20,,,,,,,,3.10.20,5
4fqjA,2.10.77.10,3.90.209.20,,,,,,,,3.10.200,1
4fp8A,2.10.77.10,3.90.209.20,,,,,,,,3.10.250,1
4qciD,2.10.90.10,,,,,,,,,3.20.20,1
5f3bC,2.10.90.10,,,,,,,,,3.30.1370,1
4edwV,2.10.90.10,,,,,,,,,,
5f3hJ,2.10.90.10,,,,,,,,,3.30.1380,1
2aepA,2.120.10.10,,,,,,,,,3.30.1680,1
1ncaN,2.120.10.10,,,,,,,,,3.30.30,2
1a14N,2.120.10.10,,,,,,,,,3.30.300,1
4k3jB,2.130.10.10,3.30.1680.10,,,,,,,,3.30.500,4
4irzA,2.130.10.130,2.60.40.1460,,,,,,,,3.30.530,1
2vdkA,2.130.10.130,,,,,,,,,3.30.70,4
4rwyA,2.170.40.20,,,,,,,,,3.40.190,1
