4ypgC,1.20.1250.10,,,,,1.20.1250,2,,
4jr9A,1.20.1250.20,,,,,1.20.5,1,,
1ezvE,1.20.5.270,2.102.10.10,,,,2.10.60,1,,
2fd6U,2.10.60.10,2.10.60.10,2.10.60.10,,,2.10.77,4,,
5a3iA,2.10.77.10,3.90.209.20,,,,2.120.10,1,,
5ugyA,2.10.77.10,3.90.209.20,,,,2.130.10,1,,
4fp8A,2.10.77.10,3.90.209.20,,,,2.170.40,2,,
4hf5A,2.10.77.10,3.90.209.20,,,,2.40.128,1,,
2aepA,2.120.10.10,,,,,2.60.40,8,,
4irzA,2.130.10.130,2.60.40.1460,,,,3.30.500,1,,
2ny7G,2.170.40.20,,,,,3.40.50,3,,
3idxG,2.170.40.20,,,,,3.80.20,1,,
1ospO,2.40.128.160,3.90.930.1,,,,3.90.209,5,,
1sy6A,2.60.40.10,2.60.40.10,,,,,,,
1xiwA,2.60.40.10,,,,,,,,
4liqE,2.60.40.10,2.60.40.10,2.60.40.10,2.60.40.10,2.60.40.10,,,,
1ahwC,2.60.40.10,2.60.40.10,,,,,,,
5hysG,2.60.40.10,2.60.40.10,,,,,,,
3lizA,2.60.40.1960,2.40.70.10,2.40.70.10,,,,,,
4l5fE,2.60.40.350,,,,,,,,
1ar1B,2.60.40.420,1.10.287.90,,,,,,,
2xqyA,3.30.500.50,1.20.58.1340,2.60.40.3190,,,,,,
5bv7A,3.40.50.1820,,,,,,,,
4lvnA,3.40.50.200,,,,,,,,
5b3jD,3.40.50.2300,3.40.50.2300,,,,,,,
1yy9A,3.80.20.20,2.10.220.10,3.80.20.20,2.10.220.10,,,,,
4gmsA,3.90.209.20,,,,,,,,
4f15A,3.90.209.20,,,,,,,,
4o58A,3.90.209.20,,,,,,,,
4yk4E,3.90.209.20,,,,,,,,
5dumA,3.90.209.20,,,,,,,,
4k2uA,,,,,,,,,
4m48A,,,,,,,,,
