,dynamic cutoff,cluster 1 fscore,cluster 1 predicted,cluster 1 tp,cluster 2 fscore,cluster 2 predicted,cluster 2 tp,cluster 3 fscore,cluster 3 predicted,cluster 3 tp,max cluster fscore
1WG3,27,0.4848,10,8,0,11,0,0,6,0,0.4848
7L6K,25,0.0952,13,1,0,12,0,0,0,0,0.0952
1WIO,34,0.0435,28,1,0,6,0,0,0,0,0.0435
3K2O,33,0.5926,14,8,0,19,0,0,0,0,0.5926
2VJ2,27,0.6316,20,12,0,7,0,0,0,0,0.6316
2EF1,29,0,18,0,0.2069,11,3,0,0,0,0.2069
3UP1,28,0.087,8,1,0,7,0,0.2143,13,3,0.2143
3LD8,32,0.2143,15,3,0,8,0,0,9,0,0.2143
3KS0,23,0,12,0,0.7619,11,8,0,0,0,0.7619
5CBA,22,0.3871,17,6,0,5,0,0,0,0,0.3871
4U6V,31,0.25,16,4,0,15,0,0,0,0,0.25
4ETQ,28,0,15,0,0.5143,13,9,0,0,0,0.5143
3LEV,27,0,10,0,0.6923,17,9,0,0,0,0.6923
4OII,26,0.1026,18,2,0.1379,8,2,0,0,0,0.1379
3LIZ,31,0,18,0,0,6,0,0.08,7,1,0.08
3WKM,27,0.25,16,5,0.4571,11,8,0,0,0,0.4571
5JQ6,32,0.2979,26,7,0,6,0,0,0,0,0.2979
5FB8,22,0.2308,7,3,0.3571,9,5,0.16,6,2,0.3571
2VXQ,23,0.1739,8,2,0,8,0,0.6364,7,7,0.6364
3MXW,26,0.6842,17,13,0,9,0,0,0,0,0.6842
4CMH,30,0.1333,20,3,0,10,0,0,0,0,0.1333
5H35,27,0.5263,17,10,0,10,0,0,0,0,0.5263
5DHV,21,0.72,12,9,0,9,0,0,0,0,0.72
5MES,25,0.24,13,3,0,6,0,0.4444,6,4,0.4444
3NH7,24,0.3158,17,6,0.2857,7,4,0,0,0,0.3158
3PGF,38,0,26,0,0.5714,12,10,0,0,0,0.5714
4JR9,33,0,17,0,0.1481,16,2,0,0,0,0.1481
2JEL,21,0.1429,13,2,0.6957,8,8,0,0,0,0.6957
4KUC,29,0.2581,18,4,0,11,0,0,0,0,0.2581
,,,,,,,,,,,0.398362069
