4JZJ,30,19,11,0,0,0
4F37,24,16,8,0,0,0
1BGX,42,17,25,0,0,0
4QWW,35,22,13,0,0,0
2VXQ,23,9,10,4,0,0
4QCI,24,19,5,0,0,0
3LIZ,31,11,12,8,0,0
3LEV,27,16,11,0,0,0
3NH7,22,14,5,3,0,0
1OB1,23,10,13,0,0,0
5JQ6,32,30,2,0,0,0
1E6J,29,15,14,0,0,0
4EDW,24,20,4,0,0,0
4JR9,33,15,9,9,0,0
4CMH,29,15,14,0,0,0
4FQJ,31,22,9,0,0,0
4F2M,26,14,12,0,0,0
1WEJ,24,10,11,3,0,0
1ORS,26,16,10,0,0,0
5FHX,24,11,13,0,0,0
1AR1,30,17,13,0,0,0
5MES,25,13,7,5,0,0
4JLR,23,17,6,0,0,0
3KR3,20,9,7,4,0,0
1EZV,28,17,11,0,0,0
3VG9,32,15,17,0,0,0
3GI8,33,20,8,5,0,0
