1A8D,2.60.120.200,,
1ALY,2.60.120.40,,
1BTV,3.30.530.20,,
,,,
1E6J,2.60.40.10,,
,,,
1EGJ,2.60.40.10,,
1FNS,2.60.40.10,,
,,,
,,,
1FSK,2.60.40.10,,
1H0D,2.60.40.10,,
,,,
,,,
,,,
1HYS,2.60.40.10,,
,,,
1I1B,2.80.10.50,,
1KXG,2.60.120.40,,
1LK3,1.20.1250.10,HOLD,
1LK3,2.60.40.10,,
1M47,1.20.1250.10,,
1N26,2.60.40.10,,
1NSN,2.60.40.10,,
,,,
,,,
1OB1,2.60.40.10,,
1ORS,2.60.40.10,,
,,,
1PC3,3.40.190.10,,
1PUO,1.20.920.50,,
,,,
1QLP,2.30.39.10,,
1VPF,2.10.90.10,,
,,,
1WEJ,2.60.40.10,,
1WG3,2.60.40.1490,,
1WIO,2.60.40.10,,
,,,
1Z3S,4.10.530.10,,
,,,
2EF1,1.20.82.10,,
2FR0,3.40.50.720,,
2GI7,2.60.40.10,,
2J4W,2.60.40.10,,
,,,
2JEL,2.60.40.10,,
,,,
2NYY,2.60.40.10,,
,,,
,,,
2NYY,2.60.120.200,hold,
,,,
2OJ5,2.60.90.20,,
2OZ4,2.60.40.10,,
2Q3A,2.60.40.10,,
2Q8A,2.60.40.10,,
,,,
,,,
,,,
2R56,2.60.40.10,,
2UZI,3.40.50.300,,
2UZI,2.60.40.10,,
2VXQ,2.60.40.10,,
2VXQ,2.60.40.760,,
2X9M,2.120.10.10,,
3B5H,2.60.40.10,,
3ETO,3.30.70.3310,,
3ETO,3.30.300.320,,
3GI8,2.60.40.10,,
3GI8,1.20.1740.10,,
3HMX,2.60.40.10,,
3HMX,1.20.1250.10,,
3HNB,2.60.120.260,,
3K2O,1.20.1280.270,,
3K2O,2.60.120.650,,
3KR3,1.10.100.10,,
3KR3,2.60.40.10,,
3KS0,2.60.40.10,,
3KS0,3.10.120.10,,
3LD8,2.60.120.650,,
3LD8,1.20.1280.270,,
3LD8,2.60.40.10,,
3LEV,2.60.40.10,,
3LEV,1.20.120.1810,,
3LIZ,2.60.40.1960,,
3LIZ,2.40.70.10,,
3LIZ,2.60.40.10,,
3MXW,2.60.40.10,,
3MXW,3.30.1380.10,,
3NH7,2.10.60.10,,
3NH7,2.60.40.10,,
3PGF,3.40.190.10,,
3PGF,2.60.40.10,,
3PNW,2.30.30.140,,
3PNW,2.60.40.10,,
3Q0H,2.60.40.10,,
3RKD,2.60.40.10,,
3T2N,2.40.10.10,,
3T2N,2.60.40.10,,
3T2N,3.10.250.10,,
3U9P,2.60.40.10,,
3U9P,2.40.128.20,,
3UP1,2.60.40.10,,
3UP1,2.60.40.1870,,
3VG9,2.60.40.10,,
3VG9,1.20.1070.10,,
3WIH,2.60.40.10,,
3WKM,2.60.40.10,,
3WKM,2.30.42.10,,
3ZKM,2.40.70.10,,
3ZKM,2.60.40.10,,
4CMH,3.40.50.720,,
4CMH,2.60.40.10,,
4CMH,1.20.82.10,,
4D3C,2.40.20.10,,
4D3C,2.60.40.10,,
4DTG,2.60.40.10,,
4DTG,4.10.410.10,,
4ETQ,2.60.40.10,,
4ETQ,3.10.200.10,,
4IB4,1.20.120.10,,
4IB4,1.20.1070.10,,
4JR9,2.60.40.10,,
4JR9,1.20.1250.20,,remove 1.20.1250
4K2U,2.60.40.10,,
4K94,2.60.40.10,,
4KUC,2.60.40.10,,
4KUC,4.10.470.10,,
4KUC,3.40.420.10,,
4NZD,2.60.40.10,,
4OII,2.60.40.10,,
4OT1,2.60.40.10,,
4OT1,2.30.29.100,,
4U0R,2.60.40.10,,
4U6V,2.60.40.10,,
4U6V,2.70.240.10,,
4ZBN,2.10.90.10,,
4ZSO,2.60.40.10,,
5B3J,3.40.50.2300,,
5B3J,2.60.40.10,,
5CBA,2.60.40.10,,
5CBA,2.40.50.40,,
5CZX,3.30.70.3310,,
5CZX,2.60.40.10,,
5CZX,3.30.300.320,,
5DHV,6.10.140.630,,
5DHV,2.60.40.10,,
5F71,2.60.40.10,,
5FB8,2.30.42.10,,
5FB8,2.60.40.10,,
5FHX,1.20.1250.10,,
5FHX,2.60.40.10,,
5GGT,2.60.40.10,,
5H35,2.60.40.10,,
5HYS,2.60.40.10,,
5IKC,2.60.40.10,,
5IKC,3.10.20.230,,
5J89,2.60.40.10,,
5JQ6,2.60.40.10,,
5JQ6,2.60.40.1280,,
5JQ6,2.60.40.1290,,
5KW9,2.60.40.10,,
5KW9,2.40.30.120,,
5KW9,2.40.510.10,,
5L0Q,2.60.40.10,,
5MES,2.60.40.10,,
5MES,1.10.437.10,,
5MU8,2.60.120.40,,
5MYA,2.60.40.10,,
5TH6,3.40.390.10,,
