unbound_antigen_name,dynamic_cutoff,number_of_annotated_residues
2EF1,29,18
2VJ2,27,18
1WIO,34,18
3UP1,28,15
1WG3,27,23
3K2O,33,13
7L6K,25,8
5DHV,21,13
5H35,27,21
4KUC,29,13
4CMH,30,25
3PGF,38,23
4JR9,33,11
4OII,26,21
3LEV,27,9
5CBA,22,14
3MXW,26,21
3NH7,24,21
5JQ6,32,21
4ETQ,28,22
3KS0,23,10
3LD8,32,13
3WKM,27,24
5FB8,22,19
2JEL,21,15
2VXQ,23,15
4U6V,31,16
3LIZ,31,18
5MES,25,12
3Q0H,24,20
1PC3,31,20
4ZBN,24,19
5MYA,32,16
3B5H,28,17
2FR0,35,5
1Z3S,27,11
1N26,32,12
1KXG,25,18
5TH6,28,22
1ALY,25,18
2WFO,25,9
1QLP,32,16
1M47,24,12
4NZD,30,11
5W60,26,16
5F71,24,20
4K2U,30,10
4U0R,32,14
5IKC,24,13
1E6J,30,12
3ZKM,32,23
5CZX,29,14
4D3C,27,11
1HYS,35,9
1OB1,23,13
4OT1,24,13
5KW9,30,16
4RGM,29,17
2OJ5,26,18
5W53,31,8
2ZVR,29,5
7TD6,27,11
2Q3A,24,11
1I1B,26,14
3HNB,25,9
6OIL,26,15
6RMT,29,7
1PUO,25,12
5MU8,25,17
5J89,24,12
1VPF,23,11
2GI7,28,15
5Y10,31,18
2NYY,47,23
3PNW,22,15
3KR3,21,19
1FNS,27,12
1FSK,27,16
5B3J,32,14
1LK3,26,17
3RKD,26,20
2Q8A,31,21
3WIH,22,12
1EGJ,24,11
4DTG,21,17
4IB4,34,15
3GI8,33,15
5TIK,31,16
1BTV,27,18
6ZTB,29,2
3ETO,29,20
6N23,34,10
2X9M,33,25
1A8D,35,14
6O6W,26,14
1H0D,24,17
5GGT,24,13
4K94,28,21
3T2N,32,20
1NSN,25,18
4ZSO,29,17
1WEJ,24,11
6IOM,28,16
3VG9,32,26
5L0Q,26,10
1ORS,27,10
2J4W,18,12
5HYS,29,13
2OZ4,31,18
2R56,26,21
2UZI,26,18
5FHX,24,11
3HMX,32,18
3U9P,26,17
2J88,31,10
