Protein,surface res,cutoff res,annotated res
4H8W,258,32,19
3I50,321,34,11
4G6M,119,26,19
5LQB,93,24,13
1ORS,144,27,10
4OT1,90,24,13
5L6Y,101,24,11
4JR9,286,33,11
4BZ2,83,23,18
5CZX,183,29,14
1H0D,99,24,17
5HYS,179,29,13
1BVK,97,24,17
3BGF,816,46,15
4K2U,454,38,10
4KUC,186,29,13
4YDK,257,32,33
4LSU,257,32,35
5C0N,121,26,6
5DUM,160,28,17
2J88,215,31,10
5F96,257,32,23
2BDN,57,21,17
5JQ6,253,32,21
4DN4,57,21,11
4LU5,73,22,15
5DHV,57,21,13
4FP8,355,36,19
4Y5V,170,28,22
3EOA,139,27,14
4IJ3,178,29,20
3PGF,455,38,23
4PP1,162,28,21
1FBI,99,24,15
5MVZ,119,26,18
1UJ3,173,29,20
3HMX,240,32,18
4JPK,128,26,25
4Y5Y,170,28,21
4DGI,92,24,11
1IQD,119,26,16
2ADF,127,26,15
5KVE,107,25,16
5E94,334,35,16
3RKD,367,36,20
2VXQ,82,23,15
5JHL,306,34,8
4HC1,180,29,17
5DUR,160,28,16
5D70,99,24,15
3T2N,258,32,20
2R29,306,34,16
3L5W,101,24,10
5CBA,72,22,14
3SE9,257,32,27
1MLC,97,24,14
1ZTX,101,24,15
5I9Q,259,32,22
5FCU,258,32,20
3IU3,209,30,20
1A2Y,97,24,15
4U6V,235,31,16
2NYY,918,47,23
4FFY,87,23,25
3L5X,101,24,10
5TZ2,99,24,14
4AEI,55,20,15
1WEJ,97,24,11
5HDQ,197,30,14
2Q8A,219,31,21
3KS0,363,36,10
4HCR,169,28,20
4CMH,193,30,25
5F3H,269,33,15
4XAK,161,28,13
4LQF,73,22,11
1NCA,247,32,21
1EGJ,91,24,11
4ZS7,124,26,20
4F15,366,36,10
4D3C,143,27,11
1C08,97,24,17
3GI8,266,33,15
3NGB,257,32,24
4HF5,366,36,18
3WIH,181,29,12
2EIZ,97,24,18
5KW9,199,30,16
3HI6,140,27,19
1TPX,136,27,18
2UZI,122,26,18
4CNI,124,26,14
2QQN,241,32,12
2R56,133,26,21
3LD8,246,32,13
3Q3G,131,26,17
4KI5,820,46,20
5T5F,214,31,13
4GMS,358,36,16
1RJL,121,26,13
5H35,146,27,21
4TSA,97,24,13
1EO8,355,36,15
4AL8,323,35,11
5F9O,257,32,22
4Z5R,127,26,21
4O58,358,36,14
4YPG,127,26,23
5C7X,99,24,23
2OZ4,215,31,18
3CVH,261,32,17
4K94,400,37,21
4U0R,258,32,14
5MES,110,25,12
1QFU,355,36,19
5SY8,112,25,12
4NNP,197,30,13
3NH7,98,24,21
4G6J,119,26,21
4DTG,64,21,17
2DD8,816,46,19
5F3B,269,33,15
2J4W,268,33,12
1HYS,436,38,9
3PNW,71,22,15
4ZPT,165,28,16
5A3I,366,36,16
4OII,133,26,21
5KVD,107,25,20
1BQL,101,24,13
3MXW,128,26,21
5KJR,258,32,17
1FNS,135,27,12
1AHW,173,29,19
1FSK,139,27,16
5GGT,101,24,13
5IKC,95,24,13
3LIZ,225,31,18
5BV7,272,33,23
5TZU,99,24,19
4M62,112,25,15
4BZ1,83,23,12
4O9H,124,26,16
4XWG,272,33,17
1E6J,205,30,12
5K9K,355,36,17
5B3J,259,32,14
1LK3,128,26,17
4YDJ,257,32,26
4YK4,165,28,12
1OB1,88,23,13
1JHL,98,24,10
4JPW,258,32,30
5E8E,396,37,12
3VG9,245,32,26
5FHX,99,24,11
3U9P,130,26,17
4PP2,162,28,20
1JPS,173,29,21
3KR3,58,21,19
5UGY,165,28,24
1NSN,108,25,18
4OGX,175,29,29
5L0Q,125,26,10
1MHP,129,26,12
2YPV,214,31,19
4QTI,219,31,10
3U7Y,257,32,35
2YBR,55,20,13
2FD6,219,31,13
3NFP,209,30,15
4UTA,303,34,3
4LEO,440,38,18
3LEV,144,27,9
5KVF,107,25,15
5TZT,99,24,8
5F9W,257,32,28
5D8J,121,26,18
1A14,240,32,19
4ZSO,177,29,17
5D93,379,36,19
5KVG,107,25,20
3RVV,163,28,15
2JEL,66,21,15
4HKX,165,28,19
5FB8,112,25,19
4RWY,259,32,32
4I77,101,24,19
1FE8,127,26,19
3GJF,300,34,14
3ZKM,253,32,23
4ETQ,166,28,22
4L5F,87,23,13
4RGM,174,29,17
3WKM,149,27,24
