protein,length
3WKM,176
5TZT,113
4XNY,334
1FJ1,251
3PNW,60
1HYS,425
4TSA,68
4M48,532
3LIZ,319
4YPG,159
1EO8,319
2Q8A,316
3GRW,206
3NFP,111
4LEO,601
4LIQ,469
5FCU,104
5C0N,131
4HKX,212
3BGF,178
5D8J,133
1WEJ,104
3U7Y,340
2EIZ,129
3ZKM,375
5UGY,323
3HMX,295
3Q3G,189
1FSK,159
5D93,240
1OB1,96
5BV7,377
4OGX,236
4MWF,171
1JRH,95
1LK3,136
4XVS,342
4PP1,222
1NSN,138
2UZI,166
4OII,177
1YY9,613
1N8Z,581
1E6J,210
2YPV,229
4JR9,409
4UTA,386
5FB8,84
2R56,159
4K3J,499
1OAZ,115
4RWY,337
5KJR,332
4DTG,60
3HI1,289
1JPS,200
4LSU,346
1OSP,251
4CNI,171
3SQO,491
5SX4,191
5KW9,289
4XWG,369
4AL8,98
4LQF,78
1MLC,129
4F15,234
4ETQ,225
4UV7,596
5B3J,329
1BGX,828
3KS0,92
4Y5V,206
5TZU,115
2QQN,154
4Z5R,141
1AR1,252
1JHL,129
4QCI,96
4HWB,111
3G04,228
5C7X,115
2BDN,68
1C08,129
4G6M,150
4BZ2,101
3CVH,274
3SKJ,176
3MA9,197
1FNS,196
1UJ3,205
3WIH,88
1MHP,184
3W9E,229
4PP2,222
4HC1,198
4YQX,122
4ZSO,217
1W72,274
4HF5,317
2OZ4,265
5IES,167
4LF3,95
1A14,385
3EOA,179
1EZV,185
1NCA,386
2XWT,234
4XAK,211
4KI5,154
5TZ2,114
5LQB,128
5IKC,89
4QWW,529
3JWD,360
3MXW,153
4K2U,230
4EDW,106
3D85,133
1BVK,129
3KR3,60
5F96,339
1ZTX,101
4BZ1,96
4J6R,343
4YWG,103
3PGF,358
1TPX,102
2XQB,105
4ZPT,208
5CZX,227
3VI3,427
4KUC,259
4LVN,336
3L5W,101
4IRZ,592
5HDQ,273
4ZS7,139
5T5F,226
3THM,77
1ORS,132
4U0R,288
5F9O,341
2NYY,1267
3U2S,90
1AHW,200
2AEP,388
5DUR,218
5D70,115
4GMS,316
1IQD,156
4Y5Y,195
2VDK,452
2XRA,203
1FBI,129
4O58,317
3IU3,114
3V6O,182
3NGB,347
3Q1S,113
3S37,110
5I9Q,340
5HYS,214
3X3F,71
4DN4,61
5L6Y,94
4FFY,97
5KVF,105
2YBR,65
4NZR,391
1BQL,129
3GJF,276
1RJL,95
3LEV,177
1V7M,145
4G6J,149
4FQJ,292
3SE9,344
3NH7,85
5MVZ,136
4XMP,337
2ARJ,115
5K9K,490
5F9W,342
4QTI,260
4JLR,91
5JHL,385
4D3C,137
5A3I,323
4CMH,240
5GGT,116
4F2M,148
5KVG,107
3GI8,435
3B2U,195
2JEL,85
4I77,97
5JQ6,320
4AEI,64
4K94,195
2FD6,248
5F3B,106
2DD8,192
4LU5,86
3HI6,180
5K59,293
4YK4,206
4OT1,113
2VXQ,92
4YUE,104
5DUM,197
3U9P,169
5SY8,155
3WXV,283
5FHX,122
2J88,319
4JPK,169
5DHV,61
1A2Y,129
1EGJ,101
4L5F,98
4FP8,267
4IJ3,237
4YDK,341
3L5X,101
1QFU,318
5E94,110
3B9K,117
2CMR,195
5KVE,101
1G9M,305
1FE8,190
4NNP,273
4DQO,88
5L0Q,203
4JPW,345
4AG4,341
2ADF,189
4U6V,272
1SY6,168
4HJ0,92
5EN2,141
5CBA,61
4H8W,337
1XIW,91
4JZJ,251
2XQY,464
3RVV,223
4DGI,97
4F37,102
3LD8,334
1H0D,122
3T2N,339
2W9E,99
4HCR,194
2ZCH,223
4OKV,66
4RGM,224
3IDX,306
5E8E,259
3RKD,146
3VG9,297
5F3H,104
4M62,155
4O9H,152
3S35,112
2J4W,34
4YDJ,298
5H35,195
2NY7,290
5MES,151
2R29,97
5KVD,108
3UC0,111
3I50,273
