protein,patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_patch,patch_tot_TP
5DHV,0.4706,0.41,21,21,8
5L6Y,0.4211,0.23,24,27,8
3HI6,0.5769,0.43,27,33,15
5A3I,0.0,0,36,16,0
3PGF,0.0,0,38,29,0
3RVV,0.2456,0.28,28,42,7
1FNS,0.0,0.31,27,17,0
3BGF,0.0,0,46,51,0
5FCU,0.2,0.35,32,40,6
4O58,0.0,0,36,18,0
5KVF,0.1818,0.15,25,18,3
1NSN,0.3846,0.51,25,34,10
5FHX,0.4,0.23,24,24,7
3KR3,0.1277,0.35,21,28,3
5C0N,0.3125,0.19,26,26,5
4O9H,0.3333,0.24,26,20,6
1NCA,0.5373,0.45,32,46,18
1HYS,0.0,0,38,30,0
4UTA,0.0,0.05,34,30,0
4AEI,0.6818,0.51,20,29,15
5IKC,0.0,0.22,24,14,0
1JPS,0.3143,0.28,29,49,11
2Q8A,0.1786,0.08,31,35,5
1MHP,0.4,0.26,26,38,10
4JPW,0.2899,0.23,32,39,10
5TZT,0.0,0.31,24,9,0
3VG9,0.093,0.14,32,17,2
2J4W,0.0,0.04,33,15,0
5KW9,0.0,0,30,30,0
4L5F,0.0,0.06,23,15,0
3GI8,0.0,0.04,33,43,0
4Z5R,0.0312,0.3,26,43,1
4CMH,0.0,0.11,30,30,0
3WIH,0.0,0.15,29,13,0
1BVK,0.3404,0.24,24,30,8
5E94,0.0,0,35,35,0
4Y5Y,0.7302,0.69,28,42,23
5HDQ,0.0,0.05,30,37,0
5DUM,0.0,0.04,28,24,0
4QTI,0.0,0.05,31,26,0
3MXW,0.7059,0.64,26,30,18
1EGJ,0.2222,0.17,24,25,4
4HC1,0.0,0,29,14,0
2BDN,0.0465,0.11,21,26,1
3EOA,0.3256,0.29,27,29,7
4YDK,0.0,0.18,32,43,0
5D70,0.5641,0.41,24,24,11
4JPK,0.3243,0.24,26,49,12
5BV7,0.0,0.07,33,39,0
3NGB,0.0,0.18,32,43,0
3L5W,0.3784,0.35,24,27,7
4FFY,0.0526,0.29,23,13,1
5CZX,0.3333,0.28,29,28,7
5MVZ,0.0,0.18,26,31,0
3LIZ,0.0,0,31,31,0
5F9W,0.0,0.23,32,44,0
3ZKM,0.0,0.07,32,22,0
2OZ4,0.0,0.12,31,23,0
4H8W,0.3103,0.35,32,39,9
2R29,0.0,0.04,34,18,0
4TSA,0.4545,0.32,24,31,10
4LSU,0.0,0.21,32,43,0
2R56,0.1224,0.17,26,28,3
1UJ3,0.3429,0.29,29,50,12
5H35,0.2593,0.21,27,33,7
4KUC,0.0,0.05,29,33,0
4NNP,0.375,0.23,30,35,9
5K9K,0.0,0.04,36,17,0
4D3C,0.1143,0.32,27,24,2
4LU5,0.0769,0.16,22,37,2
3NH7,0.2,0.22,24,19,4
1LK3,0.0,0.19,26,24,0
1C08,0.0,0.1,24,30,0
4YDJ,0.0,0.21,32,43,0
4BZ2,0.1587,0.29,23,45,5
