Protein,Surface Res,Cutoff Res,Annatotaed Res
1A8D,327,35,14
1ALY,115,25,18
1BTV,143,27,18
1I1B,121,26,14
1KXG,114,25,18
1M47,98,24,12
1N26,239,32,12
1PC3,230,31,20
1PUO,111,25,12
1QLP,254,32,16
1VPF,88,23,11
1WG3,141,27,23
1WIO,293,34,18
1Z3S,149,27,11
2EF1,190,29,18
2FR0,332,35,5
2GI7,153,28,15
2OJ5,129,26,18
2Q3A,96,24,11
2VJ2,142,27,18
2WFO,115,25,9
2X9M,292,33,25
2ZVR,176,29,5
3B5H,154,28,17
3ETO,180,29,20
3HNB,115,25,9
3K2O,276,33,13
3Q0H,93,24,20
3UP1,166,28,15
4IB4,316,34,15
4NZD,196,30,11
4ZBN,91,24,19
5F71,90,24,20
5J89,99,24,12
5MU8,114,25,17
5MYA,250,32,16
5TH6,166,28,22
5TIK,233,31,16
5W53,228,31,8
5W60,130,26,16
5Y10,230,31,18
6IOM,152,28,16
6N23,306,34,10
6O6W,132,26,14
6OIL,121,26,15
6RMT,190,29,7
6ZTB,183,29,2
7L6K,103,25,8
7TD6,138,27,11
