5DHV,6.10.140.630,,,
2OJ5,4.10.80.170,,,
1Z3S,4.10.530.10,,,
4DTG,4.10.410.10,,,
1Z3S,3.90.215.10,,,
2NYY,3.90.1240.10,,2.60.40,24
2Q8A,3.50.4.10,,2.60.120,7
2EF1,3.40.50.720,,3.40.50,5
2FR0,3.40.50.720,,1.20.1250,4
1FNS,3.40.50.410,,,
2UZI,3.40.50.300,,,
5B3J,3.40.50.2300,,,
4KUC,3.40.420.10,,,
5TH6,3.40.390.10,,,
1PC3,3.40.190.10,,,
3PGF,3.40.190.10,,,
3ETO,3.30.70.3310,,,
1BTV,3.30.530.20,,,
1FSK,3.30.530.20,,,
1QLP,3.30.497.10,,,
3ETO,3.30.300.320,,,
5CZX,3.30.300.320,,,
3MXW,3.30.1380.10,,,
2JEL,3.30.1340.10,,,
2J88,3.20.20.70,,,
2ZVR,3.20.20.150,,,
3T2N,3.10.250.10,,,
4ETQ,3.10.200.10,,,
5IKC,3.10.20.230,,,
4RGM,3.10.20.120,,,
1H0D,3.10.130.10,,,
3KS0,3.10.120.10,,,
1HYS,3.10.10.10,,,
1I1B,2.80.10.50,,,
1A8D,2.80.10.50,,,
4U6V,2.70.240.10,,,
2OJ5,2.60.90.20,,,
2VXQ,2.60.40.760,,,
3LIZ,2.60.40.1960,,,
3UP1,2.60.40.1870,,,
1WG3,2.60.40.1490,,,
5JQ6,2.60.40.1280,,,
1WIO,2.60.40.10,,,
4NZD,2.60.40.10,,,
5MYA,2.60.40.10,,,
3Q0H,2.60.40.10,,,
5F71,2.60.40.10,,,
3B5H,2.60.40.10,,,
1N26,2.60.40.10,,,
3UP1,2.60.40.10,,,
5J89,2.60.40.10,,,
2GI7,2.60.40.10,,,
2Q3A,2.60.40.10,,,
3HMX,2.60.40.10,,,
3WIH,2.60.40.10,,,
5GGT,2.60.40.10,,,
4K94,2.60.40.10,,,
4ZSO,2.60.40.10,,,
5HYS,2.60.40.10,,,
1EGJ,2.60.40.10,,,
2OZ4,2.60.40.10,,,
3K2O,2.60.120.650,,,
3LD8,2.60.120.650,,,
1KXG,2.60.120.40,,,
1ALY,2.60.120.40,,,
5MU8,2.60.120.40,,,
3HNB,2.60.120.260,,,
1A8D,2.60.120.200,,,
3ZKM,2.40.70.10,,,
5KW9,2.40.510.10,,,
1NSN,2.40.50.90,,,
5CBA,2.40.50.40,,,
4D3C,2.40.20.10,,,
3U9P,2.40.128.20,,,
2R56,2.40.128.20,,,
5FB8,2.30.42.10,,,
3WKM,2.30.42.10,,,
1QLP,2.30.39.10,,,
3PNW,2.30.30.140,,,
4OT1,2.30.29.100,,,
2X9M,2.120.10.10,,,
1VPF,2.10.90.10,,,
4ZBN,2.10.90.10,,,
3NH7,2.10.60.10,,,
1OB1,2.10.25.10,,,
1PUO,1.20.920.50,,,
2EF1,1.20.82.10,,,
4CMH,1.20.82.10,,,
3GI8,1.20.1740.10,,,
3K2O,1.20.1280.270,,,
4JR9,1.20.1250.20,,,
1M47,1.20.1250.10,,,
1LK3,1.20.1250.10,,,
5FHX,1.20.1250.10,,,
1ORS,1.20.120.350,,,
3LEV,1.20.120.1810,,,
4IB4,1.20.120.10,,,
4IB4,1.20.1070.10,,,
3VG9,1.20.1070.10,,,
1WEJ,1.10.760.10,,,
5MES,1.10.437.10,,,
1E6J,1.10.375.10,,,
3KR3,1.10.100.10,,,
5L0Q,,,,
5H35,,,,
4K2U,,,,
3RKD,,,,
2J4W,,,,
4U0R,,,,
4OII,,,,
