4LU5,22,14,4,4,0,0
4FP8,30,17,13,0,0,0
5HDQ,30,15,15,0,0,0
1BVK,24,13,11,0,0,0
5F3H,25,8,17,0,0,0
5L6Y,24,11,13,0,0,0
4PP1,28,14,6,8,0,0
3IU3,25,4,21,0,0,0
4ZS7,26,18,8,0,0,0
2ADF,26,10,7,9,0,0
3BGF,27,5,22,0,0,0
5SY8,25,18,7,0,0,0
4YDK,32,19,13,0,0,0
2BDN,21,11,10,0,0,0
4Y5V,28,24,4,0,0,0
4H8W,32,19,13,0,0,0
5KVE,25,14,6,5,0,0
4GMS,32,31,1,0,0,0
1UJ3,29,24,5,0,0,0
5TZ2,24,12,12,0,0,0
4QTI,31,14,10,7,0,0
4BZ2,23,11,6,6,0,0
5T5F,31,19,12,0,0,0
5BV7,33,23,3,7,0,0
5DUM,28,15,9,4,0,0
4Z5R,26,9,10,7,0,0
5D70,24,10,7,7,0,0
4FFY,23,18,5,0,0,0
4YK4,28,20,4,4,0,0
4G6M,26,12,14,0,0,0
5C0N,26,12,14,0,0,0
