protein,elbow,silhouette,,,,,
5K9K,4,4,,,,,
4OKV,7,2,,,,,
2W9E,6,2,,,,,
4FFY,6,2,,,,,
4OGX,6,2,,,,,
4ZS7,7,3,,,,,
4NZR,6,2,,,,,
1ORS,5,3,,,,,
4BZ2,6,2,,,,,
4Z5R,6,2,,,,,
4IRZ,6,2,,,,,
4LU5,6,2,,,,,
3GJF,7,2,,,,,
4F37,6,2,,,,,
1G9M,6,2,,,,,
3VI3,5,2,,,,,
4XWG,5,2,,,,,
3VG9,7,2,,,,,
1FNS,8,2,,,,,
1FSK,5,4,,,,,
2ARJ,6,5,,,,,
5F9W,6,3,,,,,
5JQ6,7,3,,,,,
1EZV,5,2,,,,,
1SY6,7,2,,,,,
4FP8,7,2,,,,,
5T5F,7,2,,,,,
4LSU,5,3,,,,,
2FD6,6,3,,,,,
4YK4,7,2,,,,,
4HJ0,6,4,,,,,
5HYS,6,2,,,,,
4IJ3,7,2,,,,,
4I77,7,4,,,,,
3Q1S,8,2,,,,,
2J88,6,2,,,,,
1OAZ,8,3,,,,,
5TZT,6,2,,,,,
3D85,6,2,,,,,
4DN4,6,2,,,,,
4Y5V,7,3,,,,,
1HYS,5,2,,,,,
4DGI,6,2,,,,,
5TZ2,7,3,,,,,
4OII,8,2,,,,,
4TSA,6,6,,,,,
1C08,6,3,,,,,
4RGM,6,3,,,,,
3THM,6,2,,,,,
5KW9,7,2,,,,,
4G6M,7,2,,,,,
4QCI,6,2,,,,,
4HKX,7,2,,,,,
4JPK,6,2,,,,,
3U2S,6,3,,,,,
3HI1,7,2,,,,,
3I50,5,2,,,,,
3L5W,6,2,,,,,
2AEP,6,3,,,,,
3B9K,7,2,,,,,
1V7M,8,2,,,,,
2NYY,4,2,,,,,
2EIZ,6,5,,,,,
3KS0,7,3,,,,,
4CNI,6,2,,,,,
4HCR,4,2,,,,,
2XQY,7,2,,,,,
5F3B,7,2,,,,,
5MES,6,2,,,,,
5SX4,6,2,,,,,
3MXW,8,2,,,,,
2R29,6,4,,,,,
1XIW,6,5,,,,,
4LEO,6,3,,,,,
1EGJ,6,3,,,,,
5LQB,8,2,,,,,
2NY7,7,3,,,,,
5CBA,6,2,,,,,
4EDW,6,5,,,,,
4UV7,4,3,,,,,
2ZCH,6,4,,,,,
5KVF,6,2,,,,,
5C7X,7,3,,,,,
4OT1,7,2,,,,,
4XNY,6,3,,,,,
3RVV,6,2,,,,,
4YDK,5,2,,,,,
3U7Y,6,3,,,,,
4U0R,6,2,,,,,
1A2Y,8,2,,,,,
3IU3,6,2,,,,,
1TPX,7,2,,,,,
3RKD,7,2,,,,,
1FJ1,5,2,,,,,
2UZI,6,2,,,,,
4U6V,6,2,,,,,
1BVK,8,2,,,,,
2OZ4,5,2,,,,,
1WEJ,6,3,,,,,
5D70,8,3,,,,,
4HWB,5,2,,,,,
1JHL,7,2,,,,,
4RWY,6,3,,,,,
5MVZ,6,3,,,,,
5KJR,6,2,,,,,
3W9E,6,2,,,,,
3NFP,5,2,,,,,
3JWD,7,2,,,,,
4PP2,7,2,,,,,
5IES,7,2,,,,,
5I9Q,5,3,,,,,
5JHL,5,2,,,,,
3IDX,6,2,,,,,
4F15,7,2,,,,,
1E6J,5,2,,,,,
4O58,6,2,,,,,
2XQB,8,2,,,,,
4D3C,6,2,,,,,
4LQF,6,2,,,,,
3EOA,7,2,,,,,
3WKM,7,2,,,,,
4K94,6,2,,,,,
5FCU,6,2,,,,,
4LVN,5,3,,,,,
1AHW,7,2,,,,,
5F3H,6,2,,,,,
4QWW,8,2,,,,,
5GGT,5,2,,,,,
1YY9,6,2,,,,,
5B3J,8,2,,,,,
5KVD,7,2,,,,,
5SY8,6,2,,,,,
5DHV,6,2,,,,,
2YPV,8,2,,,,,
4UTA,7,2,,,,,
3KR3,5,4,,,,,
3G04,5,4,,,,,
5EN2,6,2,,,,,
2VDK,7,2,,,,,
1NSN,7,6,,,,,
4HC1,6,2,,,,,
3LD8,6,4,,,,,
5HDQ,6,3,,,,,
4AG4,5,2,,,,,
4HF5,5,2,,,,,
4L5F,6,2,,,,,
3S37,6,2,,,,,
3BGF,6,2,,,,,
5F9O,6,2,,,,,
4J6R,5,3,,,,,
2CMR,6,6,,,,,
1UJ3,7,2,,,,,
5CZX,6,2,,,,,
1W72,5,2,,,,,
1BQL,7,2,,,,,
4NNP,7,3,,,,,
5E8E,5,4,,,,,
3NGB,5,3,,,,,
1BGX,5,2,,,,,
5C0N,7,3,,,,,
5DUR,6,6,,,,,
4MWF,6,5,,,,,
4YPG,6,2,,,,,
5K59,7,2,,,,,
4KI5,6,2,,,,,
3Q3G,6,2,,,,,
2ADF,5,2,,,,,
5FB8,7,2,,,,,
2R56,6,2,,,,,
3S35,6,2,,,,,
4DQO,6,2,,,,,
1JRH,5,2,,,,,
1IQD,5,2,,,,,
4JZJ,6,2,,,,,
5.00E+94,7,2,,,,,
1LK3,7,2,,,,,
4F2M,6,2,,,,,
4FQJ,5,2,,,,,
4ETQ,7,5,,,,,
4YWG,6,4,,,,,
3SKJ,6,2,,,,,
5L6Y,5,2,,,,,
1H0D,7,2,,,,,
4AL8,6,3,,,,,
4BZ1,6,2,,,,,
3B2U,7,2,,,,,
5A3I,6,2,,,,,
3GI8,5,4,,,,,
4M62,6,2,,,,,
3ZKM,5,2,,,,,
3V6O,6,2,,,,,
4JR9,6,3,,,,,
4H8W,7,2,,,,,
4YQX,7,2,,,,,
3CVH,7,2,,,,,
4XAK,7,2,,,,,
1FE8,7,2,,,,,
4QTI,7,2,,,,,
5TZU,8,2,,,,,
2DD8,6,2,,,,,
4XVS,7,2,,,,,
2BDN,6,2,,,,,
5KVG,6,2,,,,,
4M48,7,2,,,,,
2JEL,7,2,,,,,
1A14,5,4,,,,,
3LIZ,6,2,,,,,
3L5X,7,2,,,,,
3UC0,5,3,,,,,
1OB1,7,3,,,,,
5DUM,8,2,,,,,
5L0Q,7,2,,,,,
3T2N,6,2,,,,,
1OSP,6,2,,,,,
1EO8,5,2,,,,,
2J4W,8,2,,,,,
5UGY,6,2,,,,,
5BV7,6,3,,,,,
4KUC,5,2,,,,,
2Q8A,7,2,,,,,
4YDJ,7,2,,,,,
1QFU,6,3,,,,,
4PP1,7,2,,,,,
3GRW,5,2,,,,,
4Y5Y,6,2,,,,,
5IKC,6,2,,,,,
4YUE,7,3,,,,,
2VXQ,6,3,,,,,
4JLR,6,2,,,,,
1RJL,7,2,,,,,
4LIQ,6,3,,,,,
3PNW,6,5,,,,,
1JPS,7,2,,,,,
3HI6,6,2,,,,,
3NH7,6,3,,,,,
1FBI,6,3,,,,,
4G6J,6,3,,,,,
2QQN,6,2,,,,,
4LF3,6,2,,,,,
3X3F,6,2,,,,,
5FHX,6,3,,,,,
1MLC,6,2,,,,,
3HMX,7,2,,,,,
4CMH,5,3,,,,,
4JPW,6,2,,,,,
4XMP,7,4,,,,,
1MHP,5,2,,,,,
4K2U,6,3,,,,,
1NCA,6,4,,,,,
5D8J,7,3,,,,,
5KVE,6,3,,,,,
3LEV,8,2,,,,,
4DTG,7,2,,,,,
