protein,percentage_of_annotated_1,percentage_of_predicted_1,percentage_of_annotated_2,percentage_of_predicted_2,dis_total_1_2
5FB8,52.63,50.0,47.37,50.0,13.4823
2XQB,27.27,78.26,72.73,21.74,17.0114
3VI3,0.0,100.0,100.0,0.0,43.0162
3W9E,100.0,75.86,0.0,24.14,28.3142
3Q3G,100.0,69.23,0.0,30.77,28.2835
4D3C,0.0,88.0,100.0,12.0,33.6139
3MA9,100.0,66.67,0.0,33.33,42.0183
4JZJ,100.0,60.0,0.0,40.0,24.5091
4LU5,0.0,77.27,100.0,22.73,20.4798
1JHL,27.27,41.67,72.73,58.33,16.1407
2XQY,0.0,100.0,100.0,0.0,47.8717
4F37,0.0,62.5,100.0,37.5,29.4978
4LSU,100.0,36.36,0.0,63.64,32.8269
5TZU,100.0,29.17,0.0,70.83,25.9988
4FP8,0.0,53.33,100.0,46.67,28.9973
4YWG,58.33,62.5,41.67,37.5,17.0047
1FBI,100.0,54.17,0.0,45.83,19.2786
3IDX,6.25,93.75,93.75,6.25,22.8436
4KI5,45.0,84.0,55.0,16.0,23.2695
1BGX,100.0,57.14,0.0,42.86,61.1226
2OZ4,100.0,64.52,0.0,35.48,81.8862
1A2Y,46.67,58.33,53.33,41.67,16.7527
5HDQ,7.14,66.67,92.86,33.33,21.2967
2XWT,29.63,82.76,70.37,17.24,18.542
3B2U,89.47,46.43,10.53,53.57,20.5636
4QWW,100.0,42.86,0.0,57.14,32.8465
1A14,0.0,62.5,100.0,37.5,27.445
3D85,100.0,76.0,0.0,24.0,27.5723
4JPW,100.0,36.36,0.0,63.64,33.5586
5KW9,0.0,83.33,100.0,16.67,32.6819
5E8E,100.0,73.33,0.0,26.67,28.5947
5JHL,0.0,47.06,100.0,52.94,94.2267
3S35,100.0,25.0,0.0,75.0,30.4716
4YQX,100.0,54.17,0.0,45.83,14.3712
4JPK,68.0,26.92,32.0,73.08,22.053
4XAK,100.0,82.76,0.0,17.24,37.5061
4AL8,100.0,43.48,0.0,56.52,15.1843
4AEI,20.0,95.0,80.0,5.0,13.8836
2VXQ,100.0,73.91,0.0,26.09,16.2095
5TZT,100.0,28.0,0.0,72.0,27.1358
5DHV,30.77,76.19,69.23,23.81,15.3295
4BZ1,100.0,65.22,0.0,34.78,17.57
4J6R,100.0,63.64,0.0,36.36,38.2228
5C7X,73.91,70.83,26.09,29.17,13.8092
1BVK,100.0,66.67,0.0,33.33,21.4979
3HI6,100.0,84.62,0.0,15.38,28.7667
5F96,100.0,37.5,0.0,62.5,31.576
5F3H,0.0,54.17,100.0,45.83,17.4894
4ZSO,100.0,58.62,0.0,41.38,22.2673
3HI1,86.96,34.38,13.04,65.62,21.1632
4XVS,100.0,30.3,0.0,69.7,34.3284
4DGI,0.0,95.65,100.0,4.35,26.1692
5DUR,36.84,71.43,63.16,28.57,16.8823
5L6Y,0.0,47.83,100.0,52.17,16.9038
3WKM,75.0,62.96,25.0,37.04,24.4603
5F9O,100.0,15.62,0.0,84.38,31.696
2YPV,89.47,32.14,10.53,67.86,24.669
3T2N,100.0,81.25,0.0,18.75,37.5212
1HYS,0.0,60.0,100.0,40.0,35.4194
4QCI,42.86,70.83,57.14,29.17,14.8136
5D93,100.0,55.17,0.0,44.83,38.7974
1EO8,100.0,81.25,0.0,18.75,46.2115
4IRZ,100.0,83.78,0.0,16.22,82.221
2W9E,100.0,47.83,0.0,52.17,27.9447
5SX4,80.0,33.33,20.0,66.67,20.0384
2UZI,77.78,65.38,22.22,34.62,16.4986
3SKJ,25.0,59.26,75.0,40.74,18.783
4OT1,30.77,75.0,69.23,25.0,16.2106
2ZCH,0.0,92.86,100.0,7.14,23.3709
4PP1,9.52,100.0,90.48,0.0,22.5725
1MLC,0.0,87.5,100.0,12.5,20.897
4ZPT,100.0,78.57,0.0,21.43,28.3123
3IU3,100.0,50.0,0.0,50.0,27.7755
4ZS7,55.0,56.0,45.0,44.0,18.4647
2ADF,100.0,74.07,0.0,25.93,26.4011
5HYS,0.0,100.0,100.0,0.0,39.0196
4TSA,46.15,42.86,53.85,57.14,11.9529
3LIZ,0.0,96.77,100.0,3.23,29.4932
3LEV,100.0,40.74,0.0,59.26,17.0963
2VDK,10.53,100.0,89.47,0.0,28.4045
5GGT,100.0,87.5,0.0,12.5,31.4036
2EIZ,100.0,54.17,0.0,45.83,18.7026
1BQL,0.0,87.5,100.0,12.5,21.8195
1N8Z,100.0,65.79,0.0,34.21,60.9292
3NGB,100.0,36.36,0.0,63.64,31.391
1OAZ,70.59,56.0,29.41,44.0,12.9165
5LQB,93.75,45.83,6.25,54.17,19.9883
4YDJ,100.0,45.16,0.0,54.84,36.0018
2AEP,100.0,56.25,0.0,43.75,31.4858
1EGJ,36.36,66.67,63.64,33.33,12.755
3RVV,0.0,96.43,100.0,3.57,22.8036
1SY6,0.0,100.0,100.0,0.0,32.1831
2NY7,69.57,22.58,30.43,77.42,21.2858
4KUC,100.0,76.67,0.0,23.33,40.294
5IKC,53.85,45.45,46.15,54.55,13.4807
4O9H,100.0,53.85,0.0,46.15,27.4313
3LD8,100.0,65.62,0.0,34.38,32.2009
3NH7,57.14,100.0,42.86,0.0,18.6651
4LIQ,94.12,41.67,5.88,58.33,40.976
3GRW,66.67,51.72,33.33,48.28,38.8182
3WIH,100.0,77.27,0.0,22.73,20.7459
1MHP,100.0,80.77,0.0,19.23,27.6959
1JRH,100.0,43.48,0.0,56.52,18.9624
3BGF,0.0,62.96,100.0,37.04,23.2448
3X3F,100.0,47.62,0.0,52.38,23.6396
4LEO,0.0,64.1,100.0,35.9,64.6405
1OB1,53.85,56.52,46.15,43.48,14.7462
5JQ6,42.86,87.5,57.14,12.5,16.5385
4RWY,100.0,57.58,0.0,42.42,35.6846
1YY9,0.0,89.74,100.0,10.26,65.1428
5SY8,38.46,44.0,61.54,56.0,14.2074
3MXW,57.14,52.0,42.86,48.0,19.9188
4YDK,100.0,56.25,0.0,43.75,39.455
5EN2,100.0,28.0,0.0,72.0,17.0518
1E6J,100.0,72.41,0.0,27.59,52.285
4OGX,0.0,100.0,100.0,0.0,23.0999
2FD6,0.0,53.33,100.0,46.67,34.2256
5A3I,0.0,84.38,100.0,15.62,68.4501
4UV7,100.0,46.15,0.0,53.85,54.4019
2BDN,76.47,42.86,23.53,57.14,13.7119
1NCA,100.0,53.12,0.0,46.88,25.8603
5I9Q,100.0,36.36,0.0,63.64,33.5657
1G9M,100.0,87.5,0.0,12.5,42.1869
4EDW,88.24,29.17,11.76,70.83,21.8241
4JR9,0.0,100.0,100.0,0.0,27.6432
5MVZ,100.0,56.0,0.0,44.0,19.9936
4CMH,100.0,58.62,0.0,41.38,32.8267
4Y5V,63.64,72.41,36.36,27.59,16.3517
4YPG,100.0,42.31,0.0,57.69,23.0467
4FQJ,100.0,74.19,0.0,25.81,49.8002
4CNI,0.0,88.46,100.0,11.54,30.9363
5KVD,55.0,78.26,45.0,21.74,19.7319
4YUE,80.0,73.91,20.0,26.09,15.9855
3THM,94.44,50.0,5.56,50.0,26.5882
4H8W,100.0,68.75,0.0,31.25,32.1824
1FE8,100.0,55.56,0.0,44.44,24.0488
4F15,100.0,51.72,0.0,48.28,33.711
5CZX,0.0,62.07,100.0,37.93,29.0978
4Y5Y,100.0,60.71,0.0,39.29,23.8386
4AG4,100.0,81.25,0.0,18.75,45.4741
3ZKM,100.0,60.61,0.0,39.39,39.5142
3B9K,100.0,29.17,0.0,70.83,16.5489
5KVE,75.0,26.09,25.0,73.91,12.567
1V7M,0.0,96.0,100.0,4.0,16.8817
3SQO,0.0,88.57,100.0,11.43,35.7276
4GMS,22.22,100.0,77.78,0.0,23.5552
4DQO,100.0,65.22,0.0,34.78,19.8497
3PGF,100.0,78.12,0.0,21.88,27.2779
4F2M,100.0,38.46,0.0,61.54,37.8527
3U9P,100.0,50.0,0.0,50.0,20.0272
1WEJ,0.0,91.67,100.0,8.33,15.4559
1QFU,5.26,75.0,94.74,25.0,20.9544
2JEL,6.67,68.18,93.33,31.82,18.5245
4LVN,100.0,26.67,0.0,73.33,29.3808
1ORS,0.0,76.92,100.0,23.08,20.4511
2R29,81.25,26.09,18.75,73.91,18.0907
4L5F,100.0,30.43,0.0,69.57,23.7467
3S37,22.22,37.5,77.78,62.5,23.3602
1FNS,100.0,61.54,0.0,38.46,31.0113
1UJ3,0.0,100.0,100.0,0.0,44.3394
4XMP,76.92,43.75,23.08,56.25,26.907
5TZ2,100.0,50.0,0.0,50.0,23.4691
1LK3,100.0,33.33,0.0,66.67,28.0809
4QTI,0.0,60.0,100.0,40.0,36.0402
4BZ2,36.84,56.52,63.16,43.48,16.6678
1IQD,100.0,84.0,0.0,16.0,31.326
5FHX,0.0,54.17,100.0,45.83,26.2301
4RGM,88.24,17.86,11.76,82.14,16.6537
3JWD,0.0,100.0,100.0,0.0,58.6637
2XRA,56.25,70.37,43.75,29.63,14.9166
4IJ3,100.0,37.93,0.0,62.07,41.925
5T5F,100.0,60.71,0.0,39.29,32.2919
1AR1,100.0,36.67,0.0,63.33,35.1336
1TPX,88.89,34.78,11.11,65.22,22.2667
4XNY,82.35,53.12,17.65,46.88,30.3638
4NZR,64.15,69.7,35.85,30.3,30.4029
4OII,23.81,84.62,76.19,15.38,18.6262
2YBR,46.15,55.0,53.85,45.0,10.8821
4UTA,100.0,41.18,0.0,58.82,87.2682
1H0D,100.0,50.0,0.0,50.0,25.7507
5BV7,100.0,48.48,0.0,51.52,37.9006
4I77,84.21,30.43,15.79,69.57,15.7938
5B3J,100.0,37.5,0.0,62.5,45.6235
2J4W,25.0,55.56,75.0,44.44,10.8218
4MWF,91.67,70.37,8.33,29.63,15.9987
5L0Q,91.67,82.76,8.33,17.24,28.3303
1W72,100.0,32.26,0.0,67.74,45.5864
5MES,100.0,48.0,0.0,52.0,13.8601
3G04,34.78,78.57,65.22,21.43,17.2885
5DUM,0.0,85.19,100.0,14.81,21.9151
5KJR,100.0,62.5,0.0,37.5,29.387
4NNP,100.0,66.67,0.0,33.33,21.1771
3KS0,0.0,78.26,100.0,21.74,12.8393
4Z5R,100.0,48.0,0.0,52.0,21.0934
4ETQ,68.18,85.71,31.82,14.29,19.6451
4HKX,100.0,39.29,0.0,60.71,30.4567
5F3B,100.0,80.0,0.0,20.0,34.1169
4K2U,100.0,51.72,0.0,48.28,37.2175
5F9W,100.0,28.12,0.0,71.88,31.8716
1NSN,22.22,100.0,77.78,0.0,17.3766
2J88,0.0,77.42,100.0,22.58,46.5503
4PP2,0.0,100.0,100.0,0.0,23.7649
3I50,0.0,35.48,100.0,64.52,70.118
2CMR,47.06,74.07,52.94,25.93,15.1653
3NFP,100.0,29.17,0.0,70.83,21.2582
5IES,36.36,65.38,63.64,34.62,22.9193
1FSK,25.0,88.89,75.0,11.11,20.6645
4M48,100.0,45.71,0.0,54.29,35.2372
3CVH,100.0,25.81,0.0,74.19,50.0327
1JPS,0.0,100.0,100.0,0.0,41.4025
5H35,100.0,48.15,0.0,51.85,27.5039
4DN4,100.0,50.0,0.0,50.0,15.2743
3V6O,100.0,60.71,0.0,39.29,27.1061
4O58,100.0,50.0,0.0,50.0,20.7133
5D70,53.33,70.83,46.67,29.17,12.9412
1AHW,0.0,100.0,100.0,0.0,41.4058
1RJL,0.0,79.17,100.0,20.83,18.7926
4XWG,100.0,84.38,0.0,15.62,25.0659
4FFY,84.0,65.22,16.0,34.78,18.4437
3HMX,100.0,21.88,0.0,78.12,47.4854
4JLR,100.0,65.22,0.0,34.78,33.121
4YK4,100.0,42.86,0.0,57.14,27.0461
4HCR,0.0,53.57,100.0,46.43,47.4244
4G6J,0.0,92.31,100.0,7.69,17.1274
5D8J,100.0,92.0,0.0,8.0,33.9346
3UC0,0.0,100.0,100.0,0.0,16.7719
4G6M,100.0,19.23,0.0,80.77,20.0021
4HF5,100.0,50.0,0.0,50.0,77.383
2NYY,100.0,76.6,0.0,23.4,74.8309
3KR3,36.84,60.0,63.16,40.0,13.0612
4M62,66.67,64.0,33.33,36.0,15.1905
4HJ0,64.71,56.52,35.29,43.48,12.6467
