Protein Name,% annotated in cluster 1,% predicted in cluster 1,% annotated in cluster 2,% predicted in cluster 2,% annotated in cluster 3,% predicted in cluster 3,distance 1-2,distance 2-3,distance 1-3
5FB8,47.37,50,42.11,36.36,10.53,13.64,11.3484,13.4308,22.108
2XQB,72.73,21.74,27.27,39.13,0,39.13,17.0156,13.818,20.211
3VI3,0,70.59,100,0,0,29.41,46.1935,37.707,18.8826
3W9E,64,44.83,0,24.14,36,31.03,28.2863,31.1685,16.463
3Q3G,70.59,38.46,0,30.77,29.41,30.77,27.9348,30.4766,12.3388
4D3C,0,64,100,12,0,24,30.6927,41.8509,12.8805
3MA9,56,51.85,0,33.33,44,14.81,47.2227,32.7077,16.2161
4JZJ,100,36.67,0,40,0,23.33,25.1185,28.302,20.1039
4LU5,100,22.73,0,50,0,27.27,23.4048,14.5005,17.8928
1JHL,72.73,58.33,9.09,25,18.18,16.67,20.564,16.0056,14.4586
2XQY,0,74.29,100,0,0,25.71,52.0225,37.6583,20.893
4F37,100,37.5,0,33.33,0,29.17,37.0118,16.1183,20.9173
4LSU,48.57,36.36,0,63.64,51.43,0,33.3466,37.9395,26.003
5TZU,100,0,0,70.83,0,29.17,28.9189,20.432,15.5547
4FP8,100,46.67,0,36.67,0,16.67,20.5581,29.0905,48.4016
4YWG,41.67,37.5,16.67,37.5,41.67,25,18.0299,14.9082,19.0885
1FBI,66.67,29.17,0,45.83,33.33,25,17.0132,25.8347,16.6695
3IDX,0,53.12,93.75,6.25,6.25,40.62,25.4944,21.9859,14.6154
4KI5,0,72,55,16,45,12,28.1205,17.2084,14.64
1BGX,67.31,40.48,0,42.86,32.69,16.67,70.3982,43.0742,33.3854
2OZ4,61.11,32.26,0,35.48,38.89,32.26,76.1735,89.4481,18.0572
1A2Y,53.33,41.67,46.67,33.33,0,25,14.7113,18.0113,25.9413
5HDQ,92.86,33.33,7.14,33.33,0,33.33,25.6768,28.2876,25.4239
2XWT,70.37,17.24,29.63,65.52,0,17.24,19.4895,22.3628,23.899
3B2U,10.53,53.57,73.68,17.86,15.79,28.57,23.2621,14.3645,18.6888
4QWW,0,57.14,52.63,28.57,47.37,14.29,32.2162,14.3806,35.4843
1A14,100,37.5,0,40.62,0,21.88,31.1899,29.5916,30.2424
3D85,94.12,28,0,24,5.88,48,30.1664,25.5666,15.7467
4JPW,83.33,12.12,0,63.64,16.67,24.24,34.9129,36.2884,23.9948
5KW9,100,16.67,0,50,0,33.33,27.1787,15.1631,41.2335
5E8E,0,73.33,0,26.67,100,0,29.1128,33.2137,22.9327
5JHL,100,52.94,0,23.53,0,23.53,97.2347,19.5038,92.1573
3S35,38.89,25,0,75,61.11,0,34.5903,27.0272,14.8
4YQX,42.86,50,0,45.83,57.14,4.17,14.961,16.2949,11.8487
4JPK,32,73.08,68,0,0,26.92,22.0823,17.5564,26.4864
4XAK,0,17.24,64.29,55.17,35.71,27.59,35.5318,15.442,42.9057
4AL8,27.27,34.78,0,56.52,72.73,8.7,17.8345,16.0111,15.2641
4AEI,13.33,65,80,5,6.67,30,13.055,17.7254,10.3901
2VXQ,66.67,26.09,0,26.09,33.33,47.83,16.8767,17.5408,11.5765
5TZT,0,72,25,28,75,0,24.5636,14.7366,32.6517
5DHV,69.23,23.81,15.38,47.62,15.38,28.57,18.4938,9.6334,11.4076
4BZ1,83.33,34.78,0,34.78,16.67,30.43,15.9499,23.2659,13.6374
4J6R,75,33.33,0,36.36,25,30.3,38.1088,45.5331,30.026
5C7X,34.78,45.83,26.09,29.17,39.13,25,11.8901,18.0434,11.3822
1BVK,52.94,33.33,0,33.33,47.06,33.33,18.5124,26.177,13.6622
3HI6,100,65.38,0,15.38,0,19.23,29.3681,32.1923,22.9028
5F96,95.65,6.25,0,62.5,4.35,31.25,33.9677,33.9797,26.9924
5F3H,100,45.83,0,41.67,0,12.5,14.0272,23.4899,33.0764
4ZSO,94.12,34.48,0,41.38,5.88,24.14,19.7481,33.6205,19.4909
3HI1,13.04,65.62,73.91,9.38,13.04,25,24.4917,16.9676,18.9032
4XVS,0,69.7,66.67,12.12,33.33,18.18,39.7278,25.385,31.2272
4DGI,0,69.57,100,4.35,0,26.09,27.9716,24.3341,15.1779
5DUR,63.16,28.57,36.84,46.43,0,25,17.3106,20.8745,23.7896
5L6Y,100,52.17,0,17.39,0,30.43,25.4954,17.314,13.6599
3WKM,33.33,40.74,25,37.04,41.67,22.22,24.7199,26.7973,15.7668
5F9O,0,84.38,95.45,0,4.55,15.62,33.0209,26.8451,35.5677
2YPV,10.53,67.86,52.63,17.86,36.84,14.29,29.4352,12.5145,18.6353
3T2N,95,65.62,0,18.75,5,15.62,36.833,45.5566,19.375
1HYS,100,40,0,28.57,0,31.43,39.8263,23.7181,34.9422
4QCI,42.86,45.83,57.14,29.17,0,25,11.9956,23.5307,12.7524
5D93,50,55.17,0,44.83,50,0,42.5787,29.621,15.4412
1EO8,0,50,0,18.75,100,31.25,52.8407,43.0878,19.029
4IRZ,88,43.24,0,16.22,12,40.54,86.9118,73.6356,22.2791
2W9E,66.67,30.43,0,52.17,33.33,17.39,26.0004,32.5826,11.2397
5SX4,20,66.67,70,14.81,10,18.52,21.7942,15.1595,19.4454
2UZI,22.22,34.62,50,38.46,27.78,26.92,17.4587,12.2486,17.6786
3SKJ,75,40.74,0,37.04,25,22.22,23.834,14.1766,15.4283
