Protein,surface res,cutoff res,annotated res
4FP8,170,20,19 
2XRA,170,20,16 
5TZ2,170,20,14 
4H8W,170,20,19 
3JWD,170,20,15 
2Q8A,170,20,21 
4U0R,170,20,15 
3THM,170,20,18 
4BZ1,170,20,12 
1HYS,170,20,9 
2R56,170,20,21 
3U7Y,170,20,35 
4ZS7,170,20,20 
2XWT,170,20,27 
2W9E,170,20,15 
4IJ3,170,20,20 
4LEO,170,20,18 
2QQN,170,20,12 
1WEJ,170,20,11 
4LU5,170,20,15 
3ZKM,170,20,26 
2J4W,170,20,12 
3T2N,170,20,20 
4KI5,170,20,20 
3W9E,170,20,25 
4KUC,170,20,13 
4TSA,170,20,13 
4JPK,170,20,25 
3EOA,170,20,14 
1E6J,170,20,12 
3WXV,170,20,16 
5MVZ,170,20,18 
1OB1,170,20,13 
1OAZ,170,20,17 
5SY8,170,20,13 
1QFU,170,20,19 
4O9H,170,20,16 
4HF5,170,20,19 
5KJR,170,20,17 
4DQO,170,20,11 
2NY7,170,20,23 
4HWB,170,20,21 
5L6Y,170,20,11 
5K59,170,20,11 
4DGI,170,20,11 
5C0N,170,20,6 
4YK4,170,20,12 
3U2S,170,20,14 
5BV7,170,20,23 
5D70,170,20,15 
2ZCH,170,20,16 
4HKX,170,20,19 
3LD8,170,20,13 
5HDQ,170,20,14 
4JZJ,170,20,18 
3HMX,170,20,18 
5E94,170,20,16 
3HI1,170,20,23 
5F9W,170,20,28 
1YY9,170,20,19 
5FHX,170,20,11 
2BDN,170,20,17 
5TZT,170,20,8 
4K2U,170,20,11 
3KR3,170,20,19 
1FNS,170,20,12 
4FQJ,170,20,19 
1EZV,170,20,17 
4J6R,170,20,32 
4QWW,170,20,19 
4Y5V,170,20,22 
3GJF,170,20,14 
2DD8,170,20,19 
3SQO,170,20,14 
4DN4,170,20,11 
3B2U,170,20,19 
4ZSO,170,20,17 
1H0D,170,20,17 
1FE8,170,20,19 
4OKV,170,20,12 
4JPW,170,20,30 
4LIQ,170,20,17 
1A2Y,170,20,15 
5DHV,170,20,13 
4UV7,170,20,9 
1EO8,170,20,15 
5KW9,170,20,17 
1RJL,170,20,13 
2ARJ,170,20,18 
4BZ2,170,20,19 
1W72,170,20,15 
2UZI,170,20,18 
5C7X,170,20,23 
5TZU,170,20,19 
3V6O,170,20,13 
5DUM,170,20,17 
5FB8,170,20,19 
3NFP,170,20,15 
4F37,170,20,9 
5K9K,170,20,17 
5D93,170,20,20 
5MES,170,20,12 
3SKJ,170,20,16 
4FFY,170,20,25 
1FJ1,170,20,17 
1MHP,170,20,15 
4XMP,170,20,39 
5GGT,170,20,13 
4M48,170,20,14 
4JLR,170,20,12 
5F9O,170,20,22 
4LSU,170,20,35 
2VXQ,170,20,15 
1ORS,170,20,10 
3BGF,170,20,15 
4YPG,170,20,25 
5SX4,170,20,20 
4U6V,170,20,16 
4OII,170,20,21 
5UGY,170,20,25 
5JHL,170,20,8 
4XNY,170,20,34 
3LEV,170,20,9 
3VG9,170,20,27 
2VDK,170,20,19 
4NZR,170,20,53 
3CVH,170,20,17 
3IU3,170,20,20 
4XAK,170,20,14 
1TPX,170,20,18 
5T5F,170,20,13 
4HJ0,170,20,17 
1JRH,170,20,15 
4I77,170,20,19 
5DUR,170,20,19 
4Z5R,170,20,21 
1V7M,170,20,17 
4CNI,170,20,15 
4F15,170,20,11 
5F96,170,20,23 
4GMS,170,20,18 
4QCI,170,20,14 
1OSP,170,20,19 
4RGM,170,20,17 
1C08,170,20,17 
2R29,170,20,16 
5FCU,170,20,20 
3SE9,170,20,27 
1A14,170,20,19 
1FSK,170,20,16 
2CMR,170,20,17 
4K3J,170,20,18 
5IES,170,20,22 
4K94,170,20,21 
5F3H,170,20,15 
4LQF,170,20,11 
4NNP,170,20,13 
4ETQ,170,20,22 
3WIH,170,20,13 
1FBI,170,20,15 
4M62,170,20,15 
4Y5Y,170,20,21 
4OGX,170,20,32 
4JR9,170,20,11 
3HI6,170,20,19 
4G6J,170,20,21 
1EGJ,170,20,11 
2YBR,170,20,13 
4LVN,170,20,16 
4L5F,170,20,13 
3D85,170,20,17 
5F3B,170,20,15 
1JPS,170,20,21 
3LIZ,170,20,18 
3U9P,170,20,17 
3VI3,170,20,18 
4YDK,170,20,33 
2AEP,170,20,21 
5JQ6,170,20,21 
2FD6,170,20,13 
5CZX,170,20,14 
3I50,170,20,11 
5A3I,170,20,16 
4F2M,170,20,12 
1BGX,170,20,52 
2EIZ,170,20,18 
4RWY,170,20,34 
5KVE,170,20,16 
4YWG,170,20,12 
3X3F,170,20,12 
1IQD,170,20,16 
3L5X,170,20,10 
2ADF,170,20,15 
1G9M,170,20,12 
1BVK,170,20,17 
4PP2,170,20,20 
4HCR,170,20,20 
5L0Q,170,20,12 
3NGB,170,20,24 
4O58,170,20,17 
5E8E,170,20,12 
5I9Q,170,20,22 
1ZTX,170,20,15 
4IRZ,170,20,25 
3Q1S,170,20,12 
2J88,170,20,10 
