Protein,Surface Res,Cutoff Res
4H8W.A_4DVV.A,258,32
3I50.A_2I69.A,321,34
4G6M.A_5R8B.A,119,26
5LQB.A_1M4C.A,0,0
1ORS.A_2KYH.A,0,0
4OT1.A_4OSN.A,0,0
5L6Y.A_1IK0.A,0,0
4JR9.A_4U4W.A,286,33
4BZ2.A_3WE1.A,83,23
5CZX.A_4ZLP.A,183,29
1H0D.A_1HBY.A,99,24
5HYS.A_4GT7.A,179,29
1BVK.A_4KXI.A,97,24
3BGF.A_5X58.A,816,46
4K2U.A_1ZRL.A,454,38
4KUC.A_4Q2V.A,0,0
4YDK.A_3TGT.A,0,0
4LSU.A_3TGT.A,257,32
5C0N.A_2QM9.A,121,26
5DUM.A_5DUT.A,160,28
2J88.A_1FCQ.A,215,31
5F96.A_3TGT.A,257,32
2BDN.A_3IFD.A,57,21
5JQ6.A_1N67.A,253,32
4DN4.A_3IFD.A,0,0
4LU5.B_3K7B.A,73,22
5DHV.A_6BSY.A,57,21
4FP8.A_6WXB.A,355,36
4Y5V.A_1ERN.A,170,28
3EOA.A_1ZOO.A,139,27
4IJ3.A_3Q6O.A,178,29
3PGF.A_5EDU.B,455,38
4PP1.A_3F5V.A,0,0
1FBI.A_1HHL.A,99,24
5MVZ.A_5R8B.A,0,0
1UJ3.A_1BOY.A,173,29
3HMX.A_1F42.A,0,0
4JPK.A_4JPJ.A,128,26
4Y5Y.A_1ERN.A,170,28
4DGI.A_1QLX.A,92,24
1IQD.A_1D7P.M,119,26
2ADF.A_1ATZ.A,127,26
5KVE.A_5OMZ.A,107,25
5E94.A_7LCK.R,334,35
3RKD.A_2ZZQ.A,367,36
2VXQ.A_1BMW.A,82,23
5JHL.A_5JHM.A,306,34
4HC1.A_4HBQ.A,180,29
5DUR.B_5DUT.A,160,28
5D70.A_2GMF.A,99,24
3T2N.A_5CE1.A,258,32
2R29.A_1OAN.A,306,34
3L5W.A_1IK0.A,101,24
5CBA.A_7JNY.A,72,22
3SE9.A_3TGT.A,257,32
1MLC.A_4KXI.A,0,0
1ZTX.A_1S6N.A,0,0
5I9Q.A_5FA2.A,259,32
5FCU.A_4DVV.A,0,0
3IU3.A_6VWU.A,209,30
1A2Y.A_4KXI.A,0,0
4U6V.A_6U49.A,235,31
2NYY.A_3BTA.A,918,47
4FFY.A_3IRC.A,0,0
3L5X.A_1IK0.A,101,24
5TZ2.A_2VSC.A,99,24
4AEI.A_1PTX.A,0,0
1WEJ.A_1LC1.A,0,0
5HDQ.A_4NNO.A,0,0
2Q8A.A_1Z40.A,219,31
3KS0.A_1LDC.A,363,36
4HCR.A_4HD9.A,169,28
4CMH.A_6EDR.A,193,30
5F3H.B_5NXS.A,0,0
4XAK.A_7C02.A,0,0
4LQF.A_3K7B.A,73,22
1NCA.A_6D3B.A,247,32
1EGJ.A_1C8P.A,91,24
4ZS7.A_1ALU.A,124,26
4F15.A_7KNA.A,0,0
4D3C.A_5COE.A,143,27
1C08.A_4KXI.A,97,24
3GI8.A_3GIA.A,266,33
3NGB.A_3TGT.A,257,32
4HF5.A_2WRC.A,366,36
3WIH.A_4HLJ.A,181,29
2EIZ.A_4KXI.A,97,24
5KW9.A_3BY2.A,0,0
3HI6.A_1XDG.A,0,0
1TPX.A_2N53.A,136,27
2UZI.A_2Q21.A,122,26
4CNI.A_1ALU.A,124,26
2QQN.A_2QQI.A,0,0
2R56.A_6GF9.A,133,26
3LD8.A_6MEV.A,0,0
3Q3G.A_1BHQ.1,131,26
4KI5.A_6MF2.A,820,46
5T5F.A_2KC0.A,214,31
4GMS.A_6MXU.A,0,0
1RJL.A_1P4P.A,121,26
5H35.A_5WTR.A,146,27
4TSA.A_4KXI.A,97,24
1EO8.A_6WXB.A,355,36
4AL8.A_4GSX.A,323,35
5F9O.A_3TGT.A,257,32
4Z5R.A_1ITF.A,0,0
4O58.A_6MXU.A,358,36
4YPG.A_1ITF.A,0,0
5C7X.A_2GMF.A,99,24
2OZ4.A_1P53.A,215,31
3CVH.A_2QRI.A,0,0
4K94.A_2EC8.A,0,0
4U0R.A_4WAT.A,0,0
5MES.A_5KU9.A,110,25
1QFU.A_6WXB.A,355,36
5SY8.A_3LF6.A,112,25
4NNP.A_4NNO.A,197,30
3NH7.A_2K3G.A,98,24
4G6J.A_5R8B.A,0,0
4DTG.A_1ADZ.A,64,21
2DD8.A_5X58.A,816,46
5F3B.A_5NXS.A,269,33
2J4W.A_1W8K.A,0,0
1HYS.B_3LAN.A,0,0
3PNW.A_2D9T.A,0,0
4ZPT.A_4ZPW.R,165,28
5A3I.A_6PCX.A,366,36
4OII.A_4OIE.A,133,26
5KVD.A_5OMZ.A,107,25
1BQL.A_1DKJ.A,101,24
3MXW.A_3M1N.A,128,26
5KJR.A_4DVV.A,258,32
1FNS.A_1AUQ.A,135,27
1AHW.A_1BOY.A,173,29
1FSK.A_1BV1.A,139,27
5GGT.A_5NIU.A,101,24
5IKC.A_1MJD.A,95,24
3LIZ.A_1YG9.A,225,31
5BV7.A_5TXF.A,272,33
5TZU.A_2VSC.A,99,24
4M62.A_3LF6.A,112,25
4BZ1.A_3WE1.A,83,23
4O9H.A_1ALU.A,124,26
4XWG.A_5TXF.A,272,33
1E6J.A_6SMU.A,205,30
5K9K.A_6WXB.A,0,0
5B3J.D_3JPY.A,259,32
1LK3.A_1INR.A,128,26
4YDJ.A_3TGT.A,257,32
4YK4.A_6CHX.A,165,28
1OB1.A_1CEJ.A,88,23
1JHL.A_1GHL.A,98,24
4JPW.A_4DVV.A,258,32
5E8E.A_5EDK.A,396,37
3VG9.A_3RFM.A,245,32
5FHX.A_2B8U.A,99,24
3U9P.A_3S26.A,130,26
4PP2.A_3F5V.A,162,28
1JPS.A_1BOY.A,173,29
3KR3.A_1IGL.A,58,21
5UGY.A_6CHX.A,165,28
1NSN.A_1KDC.A,108,25
4OGX.A_2ANY.A,175,29
5L0Q.A_2AO7.A,125,26
1MHP.A_1CK4.A,129,26
2YPV.A_2KC0.A,214,31
4QTI.A_3U74.U,219,31
3U7Y.A_3TGT.A,257,32
2YBR.A_1CN2.A,55,20
2FD6.B_3U74.U,219,31
3NFP.A_6VWU.A,209,30
4UTA.A_4UTC.A,303,34
4LEO.A_1M6B.A,440,38
3LEV.A_3LES.A,144,27
5KVF.A_5OMZ.A,107,25
5TZT.A_2VSC.A,99,24
5F9W.A_3TGT.A,0,0
5D8J.A_2QM9.A,121,26
1A14.A_6HCX.A,240,32
4ZSO.A_3PV7.A,177,29
5D93.A_3T59.A,379,36
5KVG.A_5OMZ.A,107,25
3RVV.A_3D6S.A,163,28
2JEL.A_1HDN.A,66,21
4HKX.A_6CHX.A,165,28
5FB8.A_1I16.A,112,25
4RWY.A_3TGQ.A,259,32
4I77.A_1IK0.A,101,24
1FE8.A_1ATZ.A,127,26
3GJF.A_6APN.A,300,34
3ZKM.A_6UJ1.A,253,32
4ETQ.A_4E9O.X,166,28
4L5F.A_3IRC.A,87,23
4RGM.A_1SE3.A,174,29
3WKM.A_3WKL.A,149,27
