Protein,surface res,cutoff res,annotated res
4H8W.A_4DVV.A,258,32,19
3I50.A_2I69.A,321,34,11
4G6M.A_5R8B.A,119,26,19
5LQB.A_1M4C.A,93,24,13
1ORS.A_2KYH.A,144,27,10
4OT1.A_4OSN.A,90,24,13
5L6Y.A_1IK0.A,101,24,11
4JR9.A_4U4W.A,286,33,11
4BZ2.A_3WE1.A,83,23,18
5CZX.A_4ZLP.A,183,29,14
1H0D.A_1HBY.A,99,24,17
5HYS.A_4GT7.A,179,29,13
1BVK.A_4KXI.A,97,24,17
3BGF.A_5X58.A,816,46,15
4K2U.A_1ZRL.A,454,38,10
4KUC.A_4Q2V.A,186,29,13
4YDK.A_3TGT.A,257,32,33
4LSU.A_3TGT.A,257,32,35
5C0N.A_2QM9.A,121,26,6
5DUM.A_5DUT.A,160,28,17
2J88.A_1FCQ.A,215,31,10
5F96.A_3TGT.A,257,32,23
2BDN.A_3IFD.A,57,21,17
5JQ6.A_1N67.A,253,32,21
4DN4.A_3IFD.A,57,21,11
4LU5.B_3K7B.A,73,22,15
5DHV.A_6BSY.A,57,21,13
4FP8.A_6WXB.A,355,36,19
4Y5V.A_1ERN.A,170,28,22
3EOA.A_1ZOO.A,139,27,14
4IJ3.A_3Q6O.A,178,29,20
3PGF.A_5EDU.B,455,38,23
4PP1.A_3F5V.A,162,28,21
1FBI.A_1HHL.A,99,24,15
5MVZ.A_5R8B.A,119,26,18
1UJ3.A_1BOY.A,173,29,20
3HMX.A_1F42.A,240,32,18
4JPK.A_4JPJ.A,128,26,25
4Y5Y.A_1ERN.A,170,28,21
4DGI.A_1QLX.A,92,24,11
1IQD.A_1D7P.M,119,26,16
2ADF.A_1ATZ.A,127,26,15
5KVE.A_5OMZ.A,107,25,16
5E94.A_7LCK.R,334,35,16
3RKD.A_2ZZQ.A,367,36,20
2VXQ.A_1BMW.A,82,23,15
5JHL.A_5JHM.A,306,34,8
4HC1.A_4HBQ.A,180,29,17
5DUR.B_5DUT.A,160,28,16
5D70.A_2GMF.A,99,24,15
3T2N.A_5CE1.A,258,32,20
2R29.A_1OAN.A,306,34,16
3L5W.A_1IK0.A,101,24,10
5CBA.A_7JNY.A,72,22,14
3SE9.A_3TGT.A,257,32,27
1MLC.A_4KXI.A,97,24,14
1ZTX.A_1S6N.A,101,24,15
5I9Q.A_5FA2.A,259,32,22
5FCU.A_4DVV.A,258,32,20
3IU3.A_6VWU.A,209,30,20
1A2Y.A_4KXI.A,97,24,15
4U6V.A_6U49.A,235,31,16
2NYY.A_3BTA.A,918,47,23
4FFY.A_3IRC.A,87,23,25
3L5X.A_1IK0.A,101,24,10
5TZ2.A_2VSC.A,99,24,14
4AEI.A_1PTX.A,55,20,15
1WEJ.A_1LC1.A,97,24,11
5HDQ.A_4NNO.A,197,30,14
2Q8A.A_1Z40.A,219,31,21
3KS0.A_1LDC.A,363,36,10
4HCR.A_4HD9.A,169,28,20
4CMH.A_6EDR.A,193,30,25
5F3H.B_5NXS.A,269,33,15
4XAK.A_7C02.A,161,28,13
4LQF.A_3K7B.A,73,22,11
1NCA.A_6D3B.A,247,32,21
1EGJ.A_1C8P.A,91,24,11
4ZS7.A_1ALU.A,124,26,20
4F15.A_7KNA.A,366,36,10
4D3C.A_5COE.A,143,27,11
1C08.A_4KXI.A,97,24,17
3GI8.A_3GIA.A,266,33,15
3NGB.A_3TGT.A,257,32,24
4HF5.A_2WRC.A,366,36,18
3WIH.A_4HLJ.A,181,29,12
2EIZ.A_4KXI.A,97,24,18
5KW9.A_3BY2.A,199,30,16
3HI6.A_1XDG.A,140,27,19
1TPX.A_2N53.A,136,27,18
2UZI.A_2Q21.A,122,26,18
4CNI.A_1ALU.A,124,26,14
2QQN.A_2QQI.A,241,32,12
2R56.A_6GF9.A,133,26,21
3LD8.A_6MEV.A,246,32,13
3Q3G.A_1BHQ.1,131,26,17
4KI5.A_6MF2.A,820,46,20
5T5F.A_2KC0.A,214,31,13
4GMS.A_6MXU.A,358,36,16
1RJL.A_1P4P.A,121,26,13
5H35.A_5WTR.A,146,27,21
4TSA.A_4KXI.A,97,24,13
1EO8.A_6WXB.A,355,36,15
4AL8.A_4GSX.A,323,35,11
5F9O.A_3TGT.A,257,32,22
4Z5R.A_1ITF.A,127,26,21
4O58.A_6MXU.A,358,36,14
4YPG.A_1ITF.A,127,26,23
5C7X.A_2GMF.A,99,24,23
2OZ4.A_1P53.A,215,31,18
3CVH.A_2QRI.A,261,32,17
4K94.A_2EC8.A,400,37,21
4U0R.A_4WAT.A,258,32,14
5MES.A_5KU9.A,110,25,12
1QFU.A_6WXB.A,355,36,19
5SY8.A_3LF6.A,112,25,12
4NNP.A_4NNO.A,197,30,13
3NH7.A_2K3G.A,98,24,21
4G6J.A_5R8B.A,119,26,21
4DTG.A_1ADZ.A,64,21,17
2DD8.A_5X58.A,816,46,19
5F3B.A_5NXS.A,269,33,15
2J4W.A_1W8K.A,268,33,12
1HYS.B_3LAN.A,436,38,9
3PNW.A_2D9T.A,71,22,15
4ZPT.A_4ZPW.R,165,28,16
5A3I.A_6PCX.A,366,36,16
4OII.A_4OIE.A,133,26,21
5KVD.A_5OMZ.A,107,25,20
1BQL.A_1DKJ.A,101,24,13
3MXW.A_3M1N.A,128,26,21
5KJR.A_4DVV.A,258,32,17
1FNS.A_1AUQ.A,135,27,12
1AHW.A_1BOY.A,173,29,19
1FSK.A_1BV1.A,139,27,16
5GGT.A_5NIU.A,101,24,13
5IKC.A_1MJD.A,95,24,13
3LIZ.A_1YG9.A,225,31,18
5BV7.A_5TXF.A,272,33,23
5TZU.A_2VSC.A,99,24,19
4M62.A_3LF6.A,112,25,15
4BZ1.A_3WE1.A,83,23,12
4O9H.A_1ALU.A,124,26,16
4XWG.A_5TXF.A,272,33,17
1E6J.A_6SMU.A,205,30,12
5K9K.A_6WXB.A,355,36,17
5B3J.D_3JPY.A,259,32,14
1LK3.A_1INR.A,128,26,17
4YDJ.A_3TGT.A,257,32,26
4YK4.A_6CHX.A,165,28,12
1OB1.A_1CEJ.A,88,23,13
1JHL.A_1GHL.A,98,24,10
4JPW.A_4DVV.A,258,32,30
5E8E.A_5EDK.A,396,37,12
3VG9.A_3RFM.A,245,32,26
5FHX.A_2B8U.A,99,24,11
3U9P.A_3S26.A,130,26,17
4PP2.A_3F5V.A,162,28,20
1JPS.A_1BOY.A,173,29,21
3KR3.A_1IGL.A,58,21,19
5UGY.A_6CHX.A,165,28,24
1NSN.A_1KDC.A,108,25,18
4OGX.A_2ANY.A,175,29,29
5L0Q.A_2AO7.A,125,26,10
1MHP.A_1CK4.A,129,26,12
2YPV.A_2KC0.A,214,31,19
4QTI.A_3U74.U,219,31,10
3U7Y.A_3TGT.A,257,32,35
2YBR.A_1CN2.A,55,20,13
2FD6.B_3U74.U,219,31,13
3NFP.A_6VWU.A,209,30,15
4UTA.A_4UTC.A,303,34,3
4LEO.A_1M6B.A,440,38,18
3LEV.A_3LES.A,144,27,9
5KVF.A_5OMZ.A,107,25,15
5TZT.A_2VSC.A,99,24,8
5F9W.A_3TGT.A,257,32,28
5D8J.A_2QM9.A,121,26,18
1A14.A_6HCX.A,240,32,19
4ZSO.A_3PV7.A,177,29,17
5D93.A_3T59.A,379,36,19
5KVG.A_5OMZ.A,107,25,20
3RVV.A_3D6S.A,163,28,15
2JEL.A_1HDN.A,66,21,15
4HKX.A_6CHX.A,165,28,19
