protein,ispred_percentage_of_annotated_1,ispred_percentage_of_predicted_1,ispred_percentage_of_annotated_2,ispred_percentage_of_predicted_2,ispred_dis_total_1_2,dockpred_percentage_of_annotated_1,dockpred_percentage_of_predicted_1,dockpred_percentage_of_annotated_2,dockpred_percentage_of_predicted_2,dockpred_dis_total_1_2,vorffip_percentage_of_annotated_1,vorffip_percentage_of_predicted_1,vorffip_percentage_of_annotated_2,vorffip_percentage_of_predicted_2,vorffip_dis_total_1_2,metappisp_percentage_of_annotated_1,metappisp_percentage_of_predicted_1,metappisp_percentage_of_annotated_2,metappisp_percentage_of_predicted_2,metappisp_dis_total_1_2
5E94,100.0,45.71,0.0,54.29,41.4374,18.75,100.0,81.25,0.0,38.3142,0.0,80.0,100.0,20.0,48.5121,0.0,100.0,100.0,0.0,48.7514
4U6V,100.0,51.61,0.0,48.39,43.8882,100.0,38.71,0.0,61.29,33.3593,100.0,45.16,0.0,54.84,37.0679,0.0,100.0,100.0,0.0,41.6151
4JPK,32.0,76.92,68.0,23.08,24.2911,32.0,96.15,68.0,3.85,22.1511,32.0,96.15,68.0,3.85,22.017,32.0,100.0,68.0,0.0,24.9922
4U0R,100.0,53.12,0.0,46.88,51.7411,100.0,81.25,0.0,18.75,67.3718,100.0,50.0,0.0,50.0,62.3116,100.0,25.0,0.0,75.0,64.0765
3NFP,100.0,60.0,0.0,40.0,36.9951,100.0,56.67,0.0,43.33,26.9309,100.0,46.67,0.0,53.33,30.5885,100.0,16.67,0.0,83.33,28.9045
4AL8,100.0,82.86,0.0,17.14,64.0722,100.0,82.86,0.0,17.14,69.5281,100.0,82.86,0.0,17.14,75.9022,100.0,42.86,0.0,57.14,75.0834
2J88,100.0,61.29,0.0,38.71,40.6305,0.0,70.97,100.0,29.03,48.888,0.0,67.74,100.0,32.26,39.2429,0.0,100.0,100.0,0.0,41.4055
5FB8,100.0,68.0,0.0,32.0,40.4555,31.58,48.0,68.42,52.0,17.086,0.0,88.0,100.0,12.0,31.2174,57.89,100.0,42.11,0.0,18.5002
4HF5,100.0,52.78,0.0,47.22,73.2484,0.0,91.67,100.0,8.33,58.554,0.0,97.22,100.0,2.78,64.2921,0.0,100.0,100.0,0.0,65.9932
1MHP,100.0,61.54,0.0,38.46,29.9026,83.33,57.69,16.67,42.31,15.3121,83.33,46.15,16.67,53.85,14.7319,83.33,50.0,16.67,50.0,13.7323
2OZ4,0.0,80.65,100.0,19.35,53.9965,100.0,35.48,0.0,64.52,81.2374,100.0,64.52,0.0,35.48,67.7429,100.0,48.39,0.0,51.61,78.4115
1EGJ,9.09,66.67,90.91,33.33,29.7605,100.0,79.17,0.0,20.83,24.27,100.0,79.17,0.0,20.83,22.0269,81.82,37.5,18.18,62.5,11.6691
3ZKM,100.0,53.12,0.0,46.88,30.5685,100.0,71.88,0.0,28.12,32.5105,26.09,75.0,73.91,25.0,16.5791,30.43,81.25,69.57,18.75,15.4904
3KR3,52.63,80.95,47.37,19.05,13.106,89.47,85.71,10.53,14.29,19.1304,89.47,80.95,10.53,19.05,20.5336,31.58,57.14,68.42,42.86,11.0033
2YPV,100.0,41.94,0.0,58.06,27.1808,89.47,32.26,10.53,67.74,25.9724,78.95,32.26,21.05,67.74,24.9807,78.95,12.9,21.05,87.1,30.941
3WKM,75.0,44.44,25.0,55.56,30.6494,75.0,66.67,25.0,33.33,27.6395,75.0,77.78,25.0,22.22,29.3958,50.0,40.74,50.0,59.26,22.1032
5FCU,0.0,53.12,100.0,46.88,31.5105,100.0,68.75,0.0,31.25,34.7129,100.0,46.88,0.0,53.12,35.4999,0.0,100.0,100.0,0.0,31.1456
5DHV,100.0,85.71,0.0,14.29,29.9658,92.31,47.62,7.69,52.38,16.1658,69.23,76.19,30.77,23.81,12.801,69.23,80.95,30.77,19.05,12.6178
4FFY,80.0,30.43,20.0,69.57,15.3823,76.0,60.87,24.0,39.13,22.3649,84.0,60.87,16.0,39.13,21.7509,72.0,8.7,28.0,91.3,15.6663
5KW9,100.0,33.33,0.0,66.67,29.5214,0.0,100.0,100.0,0.0,33.6101,100.0,43.33,0.0,56.67,35.3721,0.0,96.67,100.0,3.33,37.1333
5JQ6,100.0,81.25,0.0,18.75,40.51,19.05,96.88,80.95,3.12,18.6649,66.67,37.5,33.33,62.5,22.919,61.9,6.25,38.1,93.75,21.1418
4H8W,0.0,53.12,100.0,46.88,30.2866,100.0,68.75,0.0,31.25,32.6628,100.0,46.88,0.0,53.12,32.9998,0.0,100.0,100.0,0.0,26.604
4G6M,0.0,84.62,100.0,15.38,18.1127,100.0,26.92,0.0,73.08,19.3023,100.0,30.77,0.0,69.23,19.9197,100.0,30.77,0.0,69.23,17.829
1JHL,100.0,83.33,0.0,16.67,24.9866,20.0,41.67,80.0,58.33,15.5855,100.0,87.5,0.0,12.5,27.3677,80.0,58.33,20.0,41.67,18.0173
