Protein,fscore,mcc
1A14,0.51,0.5
1A2Y,0.15,0.01
1AHW,0.17,0.07
1BQL,0.38,0.3
1BVK,0.15,-0.01
1C08,0.15,-0.01
1E6J,0,-0.1
1EGJ,0.57,0.55
1EO8,0,-0.05
1FBI,0.15,0.01
1FE8,0.31,0.22
1FNS,0.41,0.4
1FSK,0.37,0.29
1H0D,0.44,0.34
1HYS,0.05,0.03
1IQD,0.52,0.47
1JHL,0.18,0.09
1JPS,0.16,0.05
1LK3,0.56,0.49
1MHP,0.16,0.09
1MLC,0.42,0.35
1NSN,0,-0.19
1OB1,0.22,0.06
1ORS,0,-0.13
1QFU,0,-0.05
1RJL,0.61,0.59
1TPX,0.04,-0.13
1UJ3,0.16,0.06
1WEJ,0.23,0.11
1ZTX,0.1,-0.07
2ADF,0.05,-0.06
2BDN,0.32,0.04
2DD8,0.26,0.24
2EIZ,0.14,-0.02
2FD6,0.23,0.19
2J4W,0,-0.04
2J88,0.49,0.55
2JEL,0.5,0.38
2NYY,0.03,0.0
2OZ4,0.16,0.08
2Q8A,0.12,0.04
2QQN,0.16,0.12
2R29,0.05,0.0
2R56,0.13,-0.02
2UZI,0.18,0.07
2VXQ,0.11,-0.11
2YBR,0,-0.33
2YPV,0.08,-0.02
3BGF,0.14,0.13
3EOA,0.2,0.11
3GI8,0.37,0.37
3GJF,0.04,-0.01
3HI6,0.17,0.06
3HMX,0.08,0.0
3I50,0.33,0.35
3IU3,0,-0.09
3KR3,0.1,-0.28
3KS0,0,-0.03
3L5W,0.18,0.07
3L5X,0.18,0.07
3LD8,0,-0.06
3LEV,0,-0.1
3MXW,0.09,-0.07
3NFP,0.15,0.09
3NGB,0.43,0.38
3NH7,0.18,-0.05
3PGF,0,-0.04
3PNW,0.05,-0.23
3Q3G,0.09,-0.02
3RKD,0,-0.05
3RVV,0.23,0.17
3SE9,0.47,0.43
3T2N,0.38,0.35
3U7Y,0.39,0.32
3U9P,0.14,0.02
3VG9,0.38,0.31
3WIH,0,-0.08
3WKM,0.39,0.29
3ZKM,0,-0.08
4AEI,0.57,0.42
4AL8,0,-0.04
4BZ1,0.34,0.23
4BZ2,0.44,0.3
4CMH,0,-0.12
4CNI,0.45,0.4
4D3C,0.37,0.34
4DGI,0.46,0.41
4DN4,0.31,0.13
4DTG,0.11,-0.22
4ETQ,0.24,0.15
4FFY,0.21,-0.03
4FP8,0.08,0.04
4GMS,0.08,0.04
4H8W,0,-0.08
4HC1,0.04,-0.07
4HCR,0.25,0.15
4HF5,0.16,0.13
4HKX,0.47,0.41
4I77,0,-0.23
4IJ3,0,-0.12
4JPK,0.59,0.52
4JPW,0.35,0.29
4JR9,0.41,0.45
4K2U,0,-0.03
4K94,0.16,0.12
4KI5,0,-0.02
4KUC,0.05,-0.03
4L5F,0.06,-0.13
4LEO,0.04,-0.01
4LQF,0.55,0.49
4LSU,0.39,0.32
4LU5,0.59,0.5
4M62,0.1,-0.03
4NNP,0.05,-0.02
4O58,0.04,0.0
4O9H,0.05,-0.09
4OII,0.26,0.14
4OT1,0.11,-0.06
4PP1,0.04,-0.08
4PP2,0.25,0.16
4QTI,0,-0.07
4RGM,0.17,0.1
4RWY,0.28,0.21
4TSA,0.32,0.24
4U0R,0,-0.07
4U6V,0.55,0.55
4UTA,0.05,0.08
4XAK,0.29,0.25
4XWG,0.04,-0.02
4Y5V,0.36,0.28
4Y5Y,0.33,0.24
4YDJ,0.21,0.14
4YDK,0.28,0.2
4YK4,0.3,0.27
4YPG,0.12,-0.03
4Z5R,0.04,-0.12
4ZPT,0.27,0.2
4ZS7,0.09,-0.07
4ZSO,0.04,-0.07
5A3I,0,-0.05
5B3J,0.13,0.09
5BV7,0.04,-0.04
5C7X,0.43,0.29
5CBA,0.33,0.16
5CZX,0.09,0.02
5D70,0.46,0.38
5D93,0,-0.05
5DHV,0.06,-0.32
5DUM,0.22,0.14
5DUR,0.09,-0.01
5E8E,0.05,0.02
5E94,0,-0.05
5F3B,0,-0.07
5F3H,0,-0.07
5F96,0.44,0.39
5F9O,0.44,0.41
5F9W,0.4,0.34
5FB8,0.1,-0.07
5FCU,0,-0.08
5FHX,0.46,0.42
5GGT,0,-0.16
5H35,0.12,0.01
5HDQ,0,-0.08
5HYS,0.14,0.07
5I9Q,0.33,0.28
5IKC,0.32,0.22
5JHL,0.19,0.21
5JQ6,0,-0.08
5K9K,0,-0.05
5KJR,0,-0.07
5KVD,0.09,-0.13
5KVE,0.2,0.03
5KVF,0.15,-0.02
5KVG,0,-0.24
5KW9,0.39,0.36
5L0Q,0.11,0.02
5L6Y,0.17,0.05
5LQB,0.59,0.56
5MES,0.11,-0.0
5SY8,0.11,0.0
5T5F,0.55,0.57
5TZ2,0,-0.19
5TZT,0.06,-0.06
5TZU,0.05,-0.17
5UGY,0.5,0.43
