1UJ3,100.0,46.43,0.0,53.57,44.2826,0.0,100.0,100.0,0.0,44.3394
5H35,100.0,51.85,0.0,48.15,29.3191,100.0,48.15,0.0,51.85,27.5039
3G04,73.91,64.29,26.09,35.71,24.002,34.78,78.57,65.22,21.43,17.2885
2R56,42.86,69.23,57.14,30.77,17.8976,100.0,76.92,0.0,23.08,19.4145
4NNP,100.0,86.67,0.0,13.33,40.6539,100.0,66.67,0.0,33.33,21.1771
5K9K,0.0,66.67,100.0,33.33,58.9821,0.0,83.33,100.0,16.67,63.1806
4KUC,0.0,80.0,100.0,20.0,31.5134,100.0,76.67,0.0,23.33,40.294
3NH7,66.67,63.64,33.33,36.36,15.5846,57.14,100.0,42.86,0.0,18.6651
1LK3,100.0,87.5,0.0,12.5,28.8664,100.0,33.33,0.0,66.67,28.0809
5IES,36.36,61.54,63.64,38.46,17.3233,36.36,65.38,63.64,34.62,22.9193
4LU5,100.0,27.27,0.0,72.73,21.5598,0.0,77.27,100.0,22.73,20.4798
4D3C,0.0,52.0,100.0,48.0,25.6724,0.0,88.0,100.0,12.0,33.6139
4LF3,33.33,30.43,66.67,69.57,19.1563,46.67,65.22,53.33,34.78,17.2274
4BZ2,100.0,65.22,0.0,34.78,23.7569,36.84,56.52,63.16,43.48,16.6678
4LIQ,100.0,44.44,0.0,55.56,66.1349,94.12,41.67,5.88,58.33,40.976
1C08,100.0,45.83,0.0,54.17,17.5414,100.0,45.83,0.0,54.17,17.7905
1BGX,100.0,57.14,0.0,42.86,43.3054,100.0,57.14,0.0,42.86,61.1226
4YDJ,100.0,38.71,0.0,61.29,28.7023,100.0,45.16,0.0,54.84,36.0018
4K3J,100.0,63.89,0.0,36.11,43.1207,100.0,61.11,0.0,38.89,52.1396
4FFY,72.0,52.17,28.0,47.83,14.3144,84.0,65.22,16.0,34.78,18.4437
3NGB,29.17,69.7,70.83,30.3,33.237,100.0,36.36,0.0,63.64,31.391
4LVN,100.0,16.67,0.0,83.33,24.8085,100.0,26.67,0.0,73.33,29.3808
3L5W,0.0,60.87,100.0,39.13,20.1923,100.0,43.48,0.0,56.52,23.5107
3LIZ,0.0,80.65,100.0,19.35,35.7949,0.0,96.77,100.0,3.23,29.4932
1OAZ,52.94,52.0,47.06,48.0,13.8212,70.59,56.0,29.41,44.0,12.9165
5F9W,35.71,68.75,64.29,31.25,26.3231,100.0,28.12,0.0,71.88,31.8716
5CZX,78.57,68.97,21.43,31.03,22.8222,0.0,62.07,100.0,37.93,29.0978
5MVZ,44.44,88.0,55.56,12.0,16.8382,100.0,56.0,0.0,44.0,19.9936
4H8W,0.0,68.75,100.0,31.25,27.6269,100.0,68.75,0.0,31.25,32.1824
1V7M,82.35,68.0,17.65,32.0,23.5323,0.0,96.0,100.0,4.0,16.8817
2R29,75.0,43.48,25.0,56.52,16.8372,81.25,26.09,18.75,73.91,18.0907
3ZKM,100.0,66.67,0.0,33.33,43.6287,100.0,60.61,0.0,39.39,39.5142
2OZ4,100.0,77.42,0.0,22.58,71.7048,100.0,64.52,0.0,35.48,81.8862
4TSA,100.0,61.9,0.0,38.1,17.6284,46.15,42.86,53.85,57.14,11.9529
4LSU,48.57,75.76,51.43,24.24,24.6996,100.0,36.36,0.0,63.64,32.8269
3IDX,100.0,56.25,0.0,43.75,55.2512,6.25,93.75,93.75,6.25,22.8436
3U7Y,54.29,68.75,45.71,31.25,28.7818,77.14,34.38,22.86,65.62,30.3462
4K94,100.0,46.43,0.0,53.57,43.2026,100.0,57.14,0.0,42.86,39.253
4PP2,100.0,46.43,0.0,53.57,30.0422,0.0,100.0,100.0,0.0,23.7649
5L0Q,91.67,58.62,8.33,41.38,37.398,91.67,82.76,8.33,17.24,28.3303
2YBR,100.0,75.0,0.0,25.0,17.0555,46.15,55.0,53.85,45.0,10.8821
4NZR,64.15,60.61,35.85,39.39,32.9324,64.15,69.7,35.85,30.3,30.4029
1FJ1,52.94,58.06,47.06,41.94,13.2439,100.0,64.52,0.0,35.48,52.7208
4JZJ,0.0,100.0,100.0,0.0,43.7332,100.0,60.0,0.0,40.0,24.5091
5TZU,100.0,66.67,0.0,33.33,29.516,100.0,29.17,0.0,70.83,25.9988
4LEO,0.0,48.72,100.0,51.28,59.4818,0.0,64.1,100.0,35.9,64.6405
4AL8,100.0,52.17,0.0,47.83,14.437,100.0,43.48,0.0,56.52,15.1843
1OB1,53.85,60.87,46.15,39.13,14.7648,53.85,56.52,46.15,43.48,14.7462
3MA9,100.0,70.37,0.0,29.63,31.9386,100.0,66.67,0.0,33.33,42.0183
4YK4,0.0,46.43,100.0,53.57,23.6144,100.0,42.86,0.0,57.14,27.0461
3Q1S,33.33,58.33,66.67,41.67,20.977,33.33,50.0,66.67,50.0,15.7054
2XWT,48.15,62.07,51.85,37.93,21.562,29.63,82.76,70.37,17.24,18.542
4DTG,76.47,50.0,23.53,50.0,14.8466,70.59,50.0,29.41,50.0,13.7043
4M62,100.0,64.0,0.0,36.0,21.9801,66.67,64.0,33.33,36.0,15.1905
3IU3,100.0,54.17,0.0,45.83,29.7941,100.0,50.0,0.0,50.0,27.7755
3WKM,66.67,29.63,33.33,70.37,22.7644,75.0,62.96,25.0,37.04,24.4603
5JHL,0.0,61.76,100.0,38.24,80.4596,0.0,47.06,100.0,52.94,94.2267
3HMX,0.0,100.0,100.0,0.0,51.4899,100.0,21.88,0.0,78.12,47.4854
2QQN,0.0,68.0,100.0,32.0,24.002,100.0,64.0,0.0,36.0,28.2668
3S37,0.0,54.17,100.0,45.83,24.8074,22.22,37.5,77.78,62.5,23.3602
4LQF,9.09,85.71,90.91,14.29,19.2538,0.0,90.48,100.0,9.52,19.7178
4YWG,100.0,70.83,0.0,29.17,25.1321,58.33,62.5,41.67,37.5,17.0047
3V6O,100.0,57.14,0.0,42.86,47.308,100.0,60.71,0.0,39.29,27.1061
5KVG,100.0,56.52,0.0,43.48,22.4687,100.0,30.43,0.0,69.57,25.445
4HCR,100.0,75.0,0.0,25.0,56.9926,0.0,53.57,100.0,46.43,47.4244
5EN2,76.19,68.0,23.81,32.0,18.9269,100.0,28.0,0.0,72.0,17.0518
1IQD,100.0,76.0,0.0,24.0,27.7236,100.0,84.0,0.0,16.0,31.326
3Q3G,100.0,69.23,0.0,30.77,27.386,100.0,69.23,0.0,30.77,28.2835
2ZCH,100.0,50.0,0.0,50.0,22.5457,0.0,92.86,100.0,7.14,23.3709
4ZPT,100.0,67.86,0.0,32.14,34.7675,100.0,78.57,0.0,21.43,28.3123
4MWF,0.0,85.19,100.0,14.81,22.3505,91.67,70.37,8.33,29.63,15.9987
4XVS,3.7,63.64,96.3,36.36,29.898,100.0,30.3,0.0,69.7,34.3284
4I77,63.16,69.57,36.84,30.43,14.3241,84.21,30.43,15.79,69.57,15.7938
1OSP,100.0,29.03,0.0,70.97,49.19,100.0,38.71,0.0,61.29,42.3483
1NCA,100.0,71.88,0.0,28.12,31.5099,100.0,53.12,0.0,46.88,25.8603
