1UJ3,100.0,46.43,0.0,53.57,44.2826
5H35,100.0,51.85,0.0,48.15,29.3191
3G04,73.91,64.29,26.09,35.71,24.002
2R56,42.86,69.23,57.14,30.77,17.8976
4NNP,100.0,86.67,0.0,13.33,40.6539
5K9K,0.0,66.67,100.0,33.33,58.9821
4KUC,0.0,80.0,100.0,20.0,31.5134
3NH7,66.67,63.64,33.33,36.36,15.5846
1LK3,100.0,87.5,0.0,12.5,28.8664
5IES,36.36,61.54,63.64,38.46,17.3233
4LU5,100.0,27.27,0.0,72.73,21.5598
4D3C,0.0,52.0,100.0,48.0,25.6724
4LF3,33.33,30.43,66.67,69.57,19.1563
4BZ2,100.0,65.22,0.0,34.78,23.7569
4LIQ,100.0,44.44,0.0,55.56,66.1349
1C08,100.0,45.83,0.0,54.17,17.5414
1BGX,100.0,57.14,0.0,42.86,43.3054
4YDJ,100.0,38.71,0.0,61.29,28.7023
4K3J,100.0,63.89,0.0,36.11,43.1207
4FFY,72.0,52.17,28.0,47.83,14.3144
3NGB,29.17,69.7,70.83,30.3,33.237
4LVN,100.0,16.67,0.0,83.33,24.8085
3L5W,0.0,60.87,100.0,39.13,20.1923
3LIZ,0.0,80.65,100.0,19.35,35.7949
1OAZ,52.94,52.0,47.06,48.0,13.8212
5F9W,35.71,68.75,64.29,31.25,26.3231
5CZX,78.57,68.97,21.43,31.03,22.8222
5MVZ,44.44,88.0,55.56,12.0,16.8382
4H8W,0.0,68.75,100.0,31.25,27.6269
1V7M,82.35,68.0,17.65,32.0,23.5323
2R29,75.0,43.48,25.0,56.52,16.8372
3ZKM,100.0,66.67,0.0,33.33,43.6287
2OZ4,100.0,77.42,0.0,22.58,71.7048
4TSA,100.0,61.9,0.0,38.1,17.6284
4LSU,48.57,75.76,51.43,24.24,24.6996
3IDX,100.0,56.25,0.0,43.75,55.2512
3U7Y,54.29,68.75,45.71,31.25,28.7818
4K94,100.0,46.43,0.0,53.57,43.2026
4PP2,100.0,46.43,0.0,53.57,30.0422
5L0Q,91.67,58.62,8.33,41.38,37.398
2YBR,100.0,75.0,0.0,25.0,17.0555
4NZR,64.15,60.61,35.85,39.39,32.9324
1FJ1,52.94,58.06,47.06,41.94,13.2439
4JZJ,0.0,100.0,100.0,0.0,43.7332
5TZU,100.0,66.67,0.0,33.33,29.516
4LEO,0.0,48.72,100.0,51.28,59.4818
4AL8,100.0,52.17,0.0,47.83,14.437
1OB1,53.85,60.87,46.15,39.13,14.7648
3MA9,100.0,70.37,0.0,29.63,31.9386
4YK4,0.0,46.43,100.0,53.57,23.6144
3Q1S,33.33,58.33,66.67,41.67,20.977
2XWT,48.15,62.07,51.85,37.93,21.562
4DTG,76.47,50.0,23.53,50.0,14.8466
4M62,100.0,64.0,0.0,36.0,21.9801
3IU3,100.0,54.17,0.0,45.83,29.7941
3WKM,66.67,29.63,33.33,70.37,22.7644
5JHL,0.0,61.76,100.0,38.24,80.4596
3HMX,0.0,100.0,100.0,0.0,51.4899
2QQN,0.0,68.0,100.0,32.0,24.002
3S37,0.0,54.17,100.0,45.83,24.8074
4LQF,9.09,85.71,90.91,14.29,19.2538
4YWG,100.0,70.83,0.0,29.17,25.1321
3V6O,100.0,57.14,0.0,42.86,47.308
5KVG,100.0,56.52,0.0,43.48,22.4687
4HCR,100.0,75.0,0.0,25.0,56.9926
5EN2,76.19,68.0,23.81,32.0,18.9269
1IQD,100.0,76.0,0.0,24.0,27.7236
3Q3G,100.0,69.23,0.0,30.77,27.386
2ZCH,100.0,50.0,0.0,50.0,22.5457
4ZPT,100.0,67.86,0.0,32.14,34.7675
4MWF,0.0,85.19,100.0,14.81,22.3505
4XVS,3.7,63.64,96.3,36.36,29.898
4I77,63.16,69.57,36.84,30.43,14.3241
1OSP,100.0,29.03,0.0,70.97,49.19
1NCA,100.0,71.88,0.0,28.12,31.5099
1HYS,100.0,57.14,0.0,42.86,32.0896
5FHX,0.0,41.67,100.0,58.33,28.7713
1NSN,38.89,64.0,61.11,36.0,16.2577
3KR3,52.63,50.0,47.37,50.0,11.989
5C0N,100.0,48.0,0.0,52.0,22.294
4XMP,53.85,75.0,46.15,25.0,27.1452
4O9H,100.0,50.0,0.0,50.0,23.7217
2Q8A,0.0,48.39,100.0,51.61,37.861
1JPS,23.81,57.14,76.19,42.86,33.8042
4UTA,0.0,64.71,100.0,35.29,71.6626
5IKC,100.0,59.09,0.0,40.91,21.715
1G9M,100.0,75.0,0.0,25.0,31.3941
4AEI,20.0,70.0,80.0,30.0,14.3198
4XNY,47.06,59.38,52.94,40.62,27.1253
4JPW,43.33,66.67,56.67,33.33,26.026
1MHP,100.0,69.23,0.0,30.77,29.0572
4F2M,100.0,46.15,0.0,53.85,39.6008
