2J88,0.34,0.37
3L5W,0.29,0.22
3T2N,0.12,0.05
5D70,0.41,0.32
1LK3,0.09,-0.08
4D3C,0.37,0.34
3U9P,0.05,-0.09
5GGT,0.38,0.3
3LEV,0.17,0.12
5KJR,0.29,0.25
2YBR,0.36,0.17
4RGM,0.39,0.35
5HYS,0.05,-0.04
4PP1,0,-0.12
3SE9,0.07,-0.02
4YDK,0.15,0.07
5L0Q,0.5,0.51
4BZ2,0.44,0.3
4YDJ,0.1,0.02
3WIH,0.47,0.45
4IJ3,0.24,0.16
5LQB,0.43,0.36
5FCU,0.31,0.26
5DHV,0.53,0.37
4TSA,0.38,0.3
4AEI,0.46,0.26
5C0N,0.12,0.08
4JPW,0.16,0.08
2OZ4,0.12,0.04
5F96,0.07,-0.01
2NYY,0.03,0.0
4GMS,0,-0.05
1A14,0.04,-0.02
3L5X,0.29,0.22
4G6J,0.13,-0.03
4KI5,0.17,0.16
4OGX,0.41,0.33
3GJF,0.31,0.3
4I77,0.14,-0.06
4BZ1,0.17,0.01
4M62,0.5,0.45
4PP2,0,-0.12
3KS0,0,-0.03
3LIZ,0,-0.08
4DGI,0.17,0.03
5CBA,0.28,0.08
4K94,0.12,0.08
5JHL,0.33,0.4
1BQL,0.16,0.04
4LEO,0.07,0.03
1A2Y,0.56,0.51
5DUM,0.04,-0.06
4QTI,0.1,0.05
5A3I,0.08,0.04
3ZKM,0.25,0.2
1IQD,0.62,0.59
2FD6,0,-0.08
2BDN,0.05,-0.33
3RKD,0,-0.05
5KW9,0,-0.09
5FHX,0.23,0.14
1NCA,0.04,-0.03
1OB1,0.11,-0.08
5K9K,0,-0.05
2EIZ,0.05,-0.14
1EO8,0.04,0.0
5I9Q,0.04,-0.04
5T5F,0.18,0.13
1RJL,0,-0.14
5DUR,0.27,0.21
3VG9,0.07,-0.03
3MXW,0.04,-0.12
5E8E,0.14,0.13
4ZPT,0.27,0.2
5MES,0.32,0.26
4LQF,0.06,-0.15
4U6V,0.17,0.11
5TZU,0.14,-0.06
2DD8,0.09,0.07
5D8J,0.45,0.36
1FBI,0.05,-0.11
5TZT,0.19,0.11
3PNW,0.32,0.13
1QFU,0,-0.05
5JQ6,0.23,0.17
1FSK,0.51,0.46
2JEL,0.39,0.24
4ZSO,0.09,-0.02
1NSN,0.19,0.04
5E94,0,-0.05
3RVV,0,-0.1
4NNP,0.09,0.03
5B3J,0.04,-0.01
3NGB,0.11,0.03
4G6M,0,-0.17
4O58,0,-0.05
4F15,0,-0.04
5F9O,0.07,-0.0
1MLC,0.32,0.22
1JPS,0.16,0.05
4Z5R,0.38,0.28
4CNI,0.25,0.16
4JR9,0.05,0.01
4CMH,0,-0.12
2QQN,0,-0.06
5BV7,0.04,-0.04
3HI6,0.26,0.16
3LD8,0,-0.06
4L5F,0,-0.2
4YPG,0.16,0.02
4HF5,0,-0.05
4XAK,0.49,0.48
1MHP,0.42,0.4
5FB8,0.15,-0.01
1EGJ,0.4,0.33
3IU3,0,-0.09
5L6Y,0.23,0.12
4FFY,0.29,0.08
5D93,0,-0.05
4LU5,0.05,-0.21
3CVH,0,-0.06
5C7X,0.51,0.39
4U0R,0,-0.07
4O9H,0.1,-0.04
4K2U,0,-0.03
4KUC,0.14,0.09
4XWG,0.4,0.39
4UTA,0,-0.03
5IKC,0.16,0.02
4ZS7,0.09,-0.07
5UGY,0.12,-0.01
5CZX,0.28,0.24
4Y5Y,0.61,0.57
1BVK,0.54,0.46
2R56,0.04,-0.12
4JPK,0.12,-0.04
2Q8A,0.31,0.25
5SY8,0.38,0.33
4RWY,0.19,0.1
3U7Y,0.15,0.06
4HCR,0.46,0.39
4AL8,0,-0.04
1FNS,0.41,0.4
5F3H,0.05,-0.02
4Y5V,0.6,0.55
3BGF,0.05,0.03
2J4W,0,-0.04
1JHL,0.41,0.38
2UZI,0.32,0.23
2VXQ,0.47,0.36
3KR3,0.25,-0.07
5KVG,0.04,-0.19
3HMX,0.08,0.0
2R29,0.05,0.0
3NH7,0.22,0.0
4H8W,0.24,0.18
1H0D,0.39,0.28
1E6J,0,-0.1
1WEJ,0.06,-0.11
5TZ2,0,-0.19
3I50,0.23,0.23
5F3B,0.05,-0.02
3EOA,0.1,-0.0
3Q3G,0.33,0.25
2YPV,0.16,0.07
4YK4,0.1,0.03
1UJ3,0.16,0.06
4ETQ,0.08,-0.03
2ADF,0.44,0.39
4OII,0.04,-0.1
4FP8,0,-0.05
1ZTX,0.05,-0.14
3NFP,0,-0.08
4HKX,0.13,0.03
1ORS,0.11,0.01
4DN4,0.37,0.22
5KVF,0.1,-0.08
5MVZ,0.05,-0.11
4OT1,0.05,-0.13
5KVD,0.18,-0.02
3PGF,0.2,0.17
1HYS,0.09,0.08
1TPX,0.09,-0.08
4LSU,0.18,0.09
4DTG,0.32,0.07
4HC1,0.04,-0.07
5H35,0.38,0.29
1C08,0,-0.19
3GI8,0,-0.05
3WKM,0.39,0.29
5HDQ,0,-0.08
5F9W,0.13,0.05
1FE8,0.62,0.58
5KVE,0.15,-0.03
1AHW,0.17,0.07
