4YUE,0.1429,13,2,clusters:1
4NZR,0.2469,28,10,clusters:2
2R29,0.125,16,2,clusters:1
2VXQ,0.1818,18,3,clusters:2
3VG9,0.3396,26,9,clusters:1
4K94,0.2222,24,5,clusters:1
4G6J,0.1111,15,2,clusters:2
4Y5Y,0.3784,16,7,clusters:1
2NY7,0.0816,26,2,clusters:1
3U2S,0.375,18,6,clusters:1
5EN2,0.0571,14,1,clusters:2
4G6M,0.0606,14,1,clusters:2
3EOA,0.0714,14,1,clusters:1
4KI5,0.2632,18,5,clusters:1
4ETQ,0.2778,14,5,clusters:1
5SX4,0.0541,17,1,clusters:2
4RWY,0.3175,29,10,clusters:1
2XWT,0.0455,17,1,clusters:1
2XQB,0.1081,15,2,clusters:1
2AEP,0.0513,18,1,clusters:2
5DUM,0.2,23,4,clusters:1
1OB1,0.1481,14,2,clusters:1
4ZPT,0.129,15,2,clusters:1
4XAK,0.2667,16,4,clusters:1
1W72,0.129,16,2,clusters:1
4OII,0.2222,15,4,clusters:1
