,ispred_fscore,ispred_mcc,sppider_fscore,sppider_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc,xgboost_fscore,xgboost_mcc
2R29,0.47619047619047616,0.48781831828142963,0.04761904761904761,-0.037116611173587034,0.0,-0.09544271444636666,0.23809523809523808,0.1961878019175315,0.09523809523809522,0.02120949209919259,0.04761904761904761,-0.037116611173587034,0.14285714285714288,0.07953559537197222
4O58,0.17142857142857143,0.03068169366221022,0.5142857142857142,0.4777578013115591,0.34285714285714286,0.2542197474868847,0.4,0.3287324320951095,0.4,0.3287324320951095,0.34285714285714286,0.2542197474868847,0.17142857142857143,0.03068169366221022
3BGF,0.10256410256410255,-0.0491362316063668,0.3076923076923077,0.1994352929905476,0.25641025641025644,0.137292411841319,0.25641025641025644,0.137292411841319,0.25641025641025644,0.137292411841319,0.35897435897435903,0.2615781741397762,0.4102564102564102,0.3237210552890048
3GJF,0.6666666666666667,0.6434844704953027,0.380952380952381,0.30432193742761277,0.761904761904762,0.7565386481845326,0.6666666666666667,0.6434844704953027,0.6666666666666667,0.6434844704953027,0.5714285714285714,0.5304302928060727,0.5238095238095238,0.47390320396145774
5F3B,0.28,0.18914661974755115,0.08,-0.040749329369576114,0.0,-0.132707709016427,0.04,-0.08672851919300156,0.04,-0.08672851919300156,0.04,-0.08672851919300156,0.04,-0.08672851919300156
4GMS,0.3684210526315789,0.28149445897705094,0.15789473684210525,0.025319607421216223,0.052631578947368425,-0.10276781835670114,0.052631578947368425,-0.10276781835670114,0.052631578947368425,-0.10276781835670114,0.10526315789473685,-0.03872410546774246,0.15789473684210525,0.025319607421216223
2DD8,0.4528301886792453,0.4249741228296085,0.0,-0.07211682084381235,0.0,-0.07211682084381235,0.07547169811320754,0.010731669768424457,0.03773584905660377,-0.030692575537693945,0.03773584905660377,-0.030692575537693945,0.03773584905660377,-0.030692575537693945
2QQN,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.19607843137254902,0.13596033063158647,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.0,-0.0846099089293803
3CVH,0.27777777777777773,0.13246584043956416,0.0,-0.2250413993831232,0.0,-0.2250413993831232,0.0,-0.2250413993831232,0.0,-0.2250413993831232,0.0,-0.2250413993831232,0.05555555555555555,-0.15353995141858573
5A3I,0.15384615384615385,-0.008287419301647449,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.10256410256410255,-0.07182430061427789
5F3H,0.3414634146341463,0.27827368386481793,0.3414634146341463,0.27827368386481793,0.5853658536585367,0.5633647631027161,0.6341463414634146,0.6203829789502957,0.6341463414634146,0.6203829789502957,0.3902439024390244,0.3352918997123976,0.43902439024390244,0.3923101155599772
3NFP,0.0,-0.1925243804447558,0.2380952380952381,0.09492521535817822,0.28571428571428575,0.152415134518765,0.14285714285714288,-0.020054622962995396,0.1904761904761905,0.03743529619759141,0.14285714285714288,-0.020054622962995396,0.1904761904761905,0.03743529619759141
1RJL,0.4,-0.020646003475383347,0.33333333333333337,-0.14108102374845288,0.6666666666666667,0.46109407761689475,0.26666666666666666,-0.2615160440215224,0.26666666666666666,-0.2615160440215224,0.26666666666666666,-0.2615160440215224,0.33333333333333337,-0.14108102374845288
1IQD,0.5,0.37880720420707903,0.0,-0.2651650429449553,0.3333333333333333,0.16414978848973424,0.2222222222222222,0.021044844678171058,0.2222222222222222,0.021044844678171058,0.2777777777777778,0.09259731658395265,0.3333333333333333,0.16414978848973424
