,ispred_fscore,ispred_mcc,sppider_fscore,sppider_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc,xgboost_fscore,xgboost_mcc
4F15,0.6511627906976744,0.6282399949672103,0.13953488372093023,0.015758528301853102,0.046511627906976744,-0.09560173836457547,0.3255813953488372,0.23847906163471025,0.27906976744186046,0.18279892830149597,0.0,-0.15128187169778975,0.046511627906976744,-0.09560173836457547
2QQN,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.19607843137254902,0.13596033063158647,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.0,-0.0846099089293803,0.0,-0.0846099089293803
5A3I,0.15384615384615385,-0.008287419301647449,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.05128205128205127,-0.13536118192690832,0.10256410256410255,-0.07182430061427789
5F3H,0.3414634146341463,0.27827368386481793,0.3414634146341463,0.27827368386481793,0.5853658536585367,0.5633647631027161,0.6341463414634146,0.6203829789502957,0.6341463414634146,0.6203829789502957,0.3902439024390244,0.3352918997123976,0.43902439024390244,0.3923101155599772
5D8J,0.3157894736842105,0.2569951740823651,0.0,-0.13101714757140182,0.05263157894736842,-0.066348427295774,0.05263157894736842,-0.066348427295774,0.0,-0.13101714757140182,0.0,-0.13101714757140182,0.15789473684210525,0.06298901325548165
4LQF,0.15384615384615383,-0.05184518715056446,0.05128205128205128,-0.18246812620523334,0.15384615384615383,-0.05184518715056446,0.0,-0.24777959573256778,0.0,-0.24777959573256778,0.10256410256410256,-0.1171566566778989,0.15384615384615383,-0.05184518715056446
3Q3G,0.43478260869565216,0.3630423198789143,0.21739130434782608,0.11027375745365643,0.043478260869565216,-0.09194109248654983,0.21739130434782608,0.11027375745365643,0.17391304347826086,0.05972004496860487,0.21739130434782608,0.11027375745365643,0.17391304347826086,0.05972004496860487
2YPV,0.35,0.07457822756302887,0.5500000000000002,0.3601062988043394,0.5500000000000002,0.3601062988043394,0.6,0.4314883166146671,0.6,0.4314883166146671,0.5500000000000002,0.3601062988043394,0.5500000000000002,0.3601062988043394
4Y5V,0.35294117647058826,0.2952941708227841,0.11764705882352941,-0.009438626464655198,0.4117647058823529,0.3714773701446439,0.23529411764705882,0.14292777217906444,0.29411764705882354,0.21911097150092423,0.23529411764705882,0.14292777217906444,0.17647058823529413,0.06674457285720461
4BZ1,0.22222222222222224,0.0033623751814933467,0.044444444444444446,-0.2252791371600542,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.0,-0.28243951524544114,0.044444444444444446,-0.2252791371600542
4G6J,0.13793103448275862,0.04393428890448207,0.13793103448275862,0.04393428890448207,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.0,-0.11010038665219603,0.034482758620689655,-0.0715917177630265
1UJ3,0.2926829268292683,0.1079890462789148,0.2926829268292683,0.1079890462789148,0.4390243902439025,0.2950415014406065,0.3902439024390244,0.23269068305337595,0.3902439024390244,0.23269068305337595,0.2926829268292683,0.1079890462789148,0.34146341463414637,0.17033986466614537
2ADF,0.28571428571428575,0.18266339873353113,0.4,0.3310774102045252,0.17142857142857143,0.03424938726253709,0.4571428571428572,0.4052844159400222,0.4,0.3310774102045252,0.4571428571428572,0.4052844159400222,0.4,0.3310774102045252
