,ispred_fscore,ispred_mcc,sppider_fscore,sppider_mcc,dockpred_fscore,dockpred_mcc,logisticregresion_fscore,logisticregresion_mcc,linearregression_fscore,linearregression_mcc,randomforest_fscore,randomforest_mcc,xgboost_fscore,xgboost_mcc
1HYS,0.4313725490196078,0.40953508486465096,0.0,-0.06803205781358136,0.0,-0.06803205781358136,0.0784313725490196,0.018798331764279058,0.0392156862745098,-0.02461686302465115,0.0,-0.06803205781358136,0.0,-0.06803205781358136
1QFU,0.25641025641025644,0.137292411841319,0.2051282051282051,0.07514953069209039,0.4615384615384615,0.3858639364382334,0.3076923076923077,0.1994352929905476,0.3076923076923077,0.1994352929905476,0.25641025641025644,0.137292411841319,0.25641025641025644,0.137292411841319
3IU3,0.25,0.16294608635688945,0.041666666666666664,-0.07748485225362575,0.0,-0.1255710399757288,0.0,-0.1255710399757288,0.0,-0.1255710399757288,0.0,-0.1255710399757288,0.0,-0.1255710399757288
5E94,0.0,-0.1600492535027828,0.0,-0.1600492535027828,0.05405405405405406,-0.09387504291990144,0.0,-0.1600492535027828,0.0,-0.1600492535027828,0.0,-0.1600492535027828,0.0,-0.1600492535027828
3I50,0.24390243902439027,0.10819684664096832,0.24390243902439027,0.10819684664096832,0.4390243902439025,0.3437646646440892,0.2926829268292683,0.16708880114174857,0.2926829268292683,0.16708880114174857,0.24390243902439027,0.10819684664096832,0.24390243902439027,0.10819684664096832
4KI5,0.09756097560975609,-0.06847901686137235,0.2926829268292683,0.16708880114174857,0.34146341463414637,0.22598075564252879,0.19512195121951217,0.0493048921401881,0.24390243902439027,0.10819684664096832,0.19512195121951217,0.0493048921401881,0.19512195121951217,0.0493048921401881
2R29,0.47619047619047616,0.48781831828142963,0.04761904761904761,-0.037116611173587034,0.0,-0.09544271444636666,0.23809523809523808,0.1961878019175315,0.09523809523809522,0.02120949209919259,0.04761904761904761,-0.037116611173587034,0.14285714285714288,0.07953559537197222
4O58,0.17142857142857143,0.03068169366221022,0.5142857142857142,0.4777578013115591,0.34285714285714286,0.2542197474868847,0.4,0.3287324320951095,0.4,0.3287324320951095,0.34285714285714286,0.2542197474868847,0.17142857142857143,0.03068169366221022
1EO8,0.0,-0.07467835059375158,0.0,-0.07467835059375158,0.2127659574468085,0.17191578626269893,0.0,-0.07467835059375158,0.0,-0.07467835059375158,0.0,-0.07467835059375158,0.0,-0.07467835059375158
3BGF,0.10256410256410255,-0.0491362316063668,0.3076923076923077,0.1994352929905476,0.25641025641025644,0.137292411841319,0.25641025641025644,0.137292411841319,0.25641025641025644,0.137292411841319,0.35897435897435903,0.2615781741397762,0.4102564102564102,0.3237210552890048
