3LEV,0.1053,10,1,0.0,6,0,11
1BGX,0.0,12,0,0.2927,30,12,0
1EZV,0.0,13,0,0.0,15,0,0
5JQ6,0.0,16,0,0.1622,16,3,0
1OB1,0.0,12,0,0.0909,9,1,2
4FQJ,0.1212,14,2,0.0,17,0,0
1WEJ,0.0,8,0,0.0,6,0,10
4QWW,0.2857,23,6,0.0,12,0,0
4F37,0.6923,17,9,0.0,7,0,0
3KR3,0.4,11,6,0.1667,5,2,4
3LIZ,0.0,22,0,0.0,9,0,0
4QCI,0.0,12,0,0.2308,12,3,0
4F2M,0.0,15,0,0.5217,11,6,0
4CMH,0.0,16,0,0.1579,13,3,0
4JZJ,0.0541,19,1,0.0,11,0,0
2VXQ,0.1905,6,2,0.0952,6,1,5
1AR1,0.0,21,0,0.0,4,0,5
3VG9,0.093,16,2,0.0,7,0,9
5FHX,0.0,14,0,0.381,10,4,0
4EDW,0.3571,11,5,0.1333,13,2,0
3GI8,0.0,14,0,0.0,9,0,10
3NH7,0.1111,15,2,0.1538,5,2,2
4JR9,0.0,15,0,0.0,18,0,0
1ORS,0.2857,18,4,0.0,8,0,0
1E6J,0.0,19,0,0.0,10,0,0
4JLR,0.4286,16,6,0.0,7,0,0
5MES,0.2308,14,3,0.0,11,0,0
