complete protein name,cluster 1 fscore,complete protein name,cluster 2 fscore
5SY8_3LF6,0,5SY8_3LF6,0.5517
4M62_3LF6,0.3478,4M62_3LF6,0.5625
5F3B_5NXS,0,5F3B_5NXS,0.9333
5F3H_5NXS,0,5F3H_5NXS,0.9333
1UJ3_1BOY,0.6111,1UJ3_1BOY,0
1JPS_1BOY,0.5946,1JPS_1BOY,0
1AHW_1BOY,0.5714,1AHW_1BOY,0
4FP8_6WXB,0.3429,4FP8_6WXB,0
1QFU_6WXB,0,1QFU_6WXB,0.2424
5K9K_6WXB,0,5K9K_6WXB,0
1EO8_6WXB,0,1EO8_6WXB,0.1379
2FD6_3U74,0,2FD6_3U74,0
4QTI_3U74,0.24,4QTI_3U74,0
4FFY_3IRC,0.359,4FFY_3IRC,0.1765
4L5F_3IRC,0,4L5F_3IRC,0.0909
4GMS_6MXU,0.3158,4GMS_6MXU,0
4O58_6MXU,0.1667,4O58_6MXU,0
4PP1_3F5V,0,4PP1_3F5V,0.6452
4PP2_3F5V,0.2105,4PP2_3F5V,0
4YDJ_3TGT,0,4YDJ_3TGT,0.3556
4YDK_3TGT,0,4YDK_3TGT,0.3846
3NGB_3TGT,0,3NGB_3TGT,0.3721
4LSU_3TGT,0,4LSU_3TGT,0.3704
3SE9_3TGT,0,3SE9_3TGT,0.4348
5F9O_3TGT,0,5F9O_3TGT,0.439
3U7Y_3TGT,0,3U7Y_3TGT,0.3704
5F96_3TGT,0,5F96_3TGT,0.4286
5F9W_3TGT,0,5F9W_3TGT,0.2979
5TZT_2VSC,0.0769,5TZT_2VSC,0
5TZU_2VSC,0.1622,5TZU_2VSC,0
5TZ2_2VSC,0.0625,5TZ2_2VSC,0
4G6J_5R8B,0.2,4G6J_5R8B,0.0526
4G6M_5R8B,0.2143,4G6M_5R8B,0.0556
5MVZ_5R8B,0.3704,5MVZ_5R8B,0.0571
4LU5_3K7B,0.3,4LU5_3K7B,0
4LQF_3K7B,0.375,4LQF_3K7B,0
4BZ1_3WE1,0,4BZ1_3WE1,0.1935
4BZ2_3WE1,0.0909,4BZ2_3WE1,0.4865
5D70_2GMF,0.6452,5D70_2GMF,0
5C7X_2GMF,0.5128,5C7X_2GMF,0.1935
4YPG_1ITF,0.1081,4YPG_1ITF,0.4571
4Z5R_1ITF,0.5714,4Z5R_1ITF,0
5UGY_6CHX,0.4,5UGY_6CHX,0
4YK4_6CHX,0.3571,4YK4_6CHX,0
4HKX_6CHX,0.3429,4HKX_6CHX,0
4Y5Y_1ERN,0.5882,4Y5Y_1ERN,0.5
4Y5V_1ERN,0.6286,4Y5V_1ERN,0.4324
4DN4_3IFD,0.3158,4DN4_3IFD,0
2BDN_3IFD,0.16,2BDN_3IFD,0.2667
2DD8_5X58,0,2DD8_5X58,0.7879
3BGF_5X58,0,3BGF_5X58,0.6207
2ADF_1ATZ,0.1429,2ADF_1ATZ,0.7143
1FE8_1ATZ,0,1FE8_1ATZ,0.1875
5D8J_2QM9,0.5714,5D8J_2QM9,0
5C0N_2QM9,0.1739,5C0N_2QM9,0
5KVE_5OMZ,0.1739,5KVE_5OMZ,0.2941
5KVD_5OMZ,0,5KVD_5OMZ,0.1053
5KVF_5OMZ,0.2727,5KVF_5OMZ,0.303
5KVG_5OMZ,0.1481,5KVG_5OMZ,0
3L5X_1IK0,0.6667,3L5X_1IK0,0
3L5W_1IK0,0.6667,3L5W_1IK0,0
4I77_1IK0,0.0556,4I77_1IK0,0.0769
5L6Y_1IK0,0.6429,5L6Y_1IK0,0
2YPV_2KC0,0.1538,2YPV_2KC0,0.2
5T5F_2KC0,0.4242,5T5F_2KC0,0
4ZS7_1ALU,0.4737,4ZS7_1ALU,0
4O9H_1ALU,0.4118,4O9H_1ALU,0
4CNI_1ALU,0,4CNI_1ALU,0.5455
4H8W_4DVV,0,4H8W_4DVV,0.6857
4JPW_4DVV,0.4348,4JPW_4DVV,0
5KJR_4DVV,0,5KJR_4DVV,0.7273
5FCU_4DVV,0,5FCU_4DVV,0.7778
3NFP_6VWU,0,3NFP_6VWU,0.5161
3IU3_6VWU,0,3IU3_6VWU,0.3333
4NNP_4NNO,0.3846,4NNP_4NNO,0
5HDQ_4NNO,0.4444,5HDQ_4NNO,0.0645
5BV7_5TXF,0,5BV7_5TXF,0.2439
4XWG_5TXF,0.5,4XWG_5TXF,0
1BVK_4KXI,0.1429,1BVK_4KXI,0.4
1MLC_4KXI,0.16,1MLC_4KXI,0
1C08_4KXI,0.4286,1C08_4KXI,0
1A2Y_4KXI,0.1538,1A2Y_4KXI,0.4286
2EIZ_4KXI,0.3448,2EIZ_4KXI,0
4TSA_4KXI,0.25,4TSA_4KXI,0.5385
5DUM_5DUT,0.1818,5DUM_5DUT,0.069
5DUR_5DUT,0.25,5DUR_5DUT,0.0714
