protein,fscore
2R56,0.2564
5SX4,0.1538
4NZR,0.2
3NGB,0.0851
2VDK,0.0526
5F9O,0.1026
3GRW,0.12
2DD8,0.6341
3B2U,0.1176
4XMP,0.0656
4YDK,0.037
3WKM,0.186
4HWB,0.0571
2XQB,0.3529
4XAK,0.2069
5BV7,0.0455
2YPV,0.0556
4QWW,0.3902
4RGM,0.1143
4KI5,0.2105
5D70,0.5882
4ZSO,0.0571
4XNY,0.0385
4OGX,0.0784
5I9Q,0.1778
4RWY,0.1071
2EIZ,0.0571
4LSU,0.0755
4FQJ,0.2286
2ADF,0.1765
5C7X,0.4737
4Z5R,0.4706
4YDJ,0.0435
3G04,0.2703
4OT1,0.27
4FFY,0.42
4LF3,0.26
2J4W,0.6
4OII,0.13
2UZI,0.64
3MXW,0.57
5KVD,0.37
2JEL,0.7
5TZ2,0.37
1TPX,0.29
5EN2,0.26
1OAZ,0.33
1C08,0.2
4DN4,0.58
5FCU,0.47
5KVF,0.21
5IES,0.46
4ETQ,0.48
4DTG,0.22
4YUE,0.32
3RVV,0.14
4I77,0.33
5KVE,0.26
4BZ1,0.46
1NSN,0.42
1JHL,0.4
3KS0,0.55
4DGI,0.18
5DHV,0.59
3NH7,0.56
3PNW,0.33
2VXQ,0.47
5FB8,0.54
4TSA,0.29
3SKJ,0.19
3KR3,0.56
4EDW,0.44
2OZ4,0.0952
1ZTX,0.0952
5LQB,0.5
4H8W,0.4138
4L5F,0.087
3RKD,0.0571
4YPG,0.2286
3VG9,0.125
5MVZ,0.0769
3U9P,0.4615
4UTA,0.2667
4XVS,0.4082
3ZKM,0.3556
4O9H,0.4375
4HJ0,0.6667
1V7M,0.2857
4YQX,0.5517
4MWF,0.2857
2ARJ,0.129
2XWT,0.4255
4LEO,0.1364
3LD8,0.15
3Q3G,0.6857
2CMR,0.2857
5F3H,0.5625
2AEP,0.0541
1WEJ,0.6154
3SE9,0.5641
3NFP,0.0645
5E8E,0.2069
3D85,0.2759
5SY8,0.4828
3W9E,0.4186
1FNS,0.6923
1JRH,0.3333
3U2S,0.1429
3L5X,0.3478
3X3F,0.6
1IQD,0.5143
4J6R,0.4906
1FSK,0.5946
3V6O,0.2759
3S37,0.4
3EOA,0.3226
1HYS,0.4286
5L6Y,0.4762
1FE8,0.2308
1BGX,0.0732
4M62,0.5806
1BQL,0.3478
4QCI,0.303
5JQ6,0.359
4F2M,0.5833
2XQY,0.0714
4HCR,0.5854
4ZS7,0.4
5F96,0.6857
5F3B,0.3448
5DUM,0.0526
2NYY,0.2439
5K59,0.2581
1RJL,0.5926
5TZU,0.5143
1MLC,0.5517
1H0D,0.5455
5L0Q,0.3448
5D8J,0.4286
1G9M,0.3243
5CBA,0.5926
2ZCH,0.3333
4DQO,0.2667
5GGT,0.303
5C0N,0.25
2J88,0.5185
3JWD,0.2857
3LEV,0.4444
1LK3,0.4615
4CMH,0.2
4F37,0.4
3L5W,0.6
3U7Y,0.4583
3S35,0.4516
1XIW,0.0769
4BZ2,0.1875
5KJR,0.3125
4PP2,0.303
5IKC,0.3846
4LQF,0.3529
5KW9,0.1333
3WXV,0.3333
5H35,0.2857
2QQN,0.381
4OKV,0.5
4AEI,0.48
1EGJ,0.5161
3Q1S,0.48
3PGF,0.4186
3VI3,0.3333
5A3I,0.2857
4HKX,0.359
2YBR,0.6897
3HI6,0.5946
1NCA,0.5455
4M48,0.0625
1W72,0.2581
5JHL,0.5185
3GJF,0.0645
1FBI,0.3077
4K94,0.2941
3MA9,0.2927
4G6J,0.1935
3WIH,0.5
4PP1,0.1875
1E6J,0.8333
5D93,0.4848
4Y5V,0.4865
1EO8,0.2069
4HC1,0.7273
1A14,0.4
5MES,0.6667
5FHX,0.5
4AG4,0.5517
4CNI,0.3333
5HDQ,0.0714
3B9K,0.4
2NY7,0.45
4NNP,0.6316
4JPW,0.5333
1OSP,0.0714
2R29,0.1379
4FP8,0.0444
4KUC,0.2222
2W9E,0.5
4Y5Y,0.1579
2Q8A,0.5
5KVG,0.0667
1A2Y,0.5333
4AL8,0.2727
5E94,0.5
1BVK,0.4848
3UC0,0.3333
3IDX,0.1765
1JPS,0.6111
4IJ3,0.5161
3SQO,0.1429
5CZX,0.3448
4XWG,0.3429
1QFU,0.0541
3CVH,0.15
1MHP,0.375
5K9K,0.2759
3THM,0.5
1SY6,0.25
1N8Z,0.1176
4ZPT,0.3889
4F15,0.0588
5DUR,0.1143
4QTI,0.069
1FJ1,0.7059
5F9W,0.5
4D3C,0.3226
4G6M,0.129
4LU5,0.381
5TZT,0.5
2XRA,0.4516
3BGF,0.4286
1ORS,0.2857
4K2U,0.0714
1UJ3,0.4242
4UV7,0.4211
3GI8,0.2286
1AHW,0.2941
3HI1,0.0408
4YWG,0.3448
3T2N,0.6111
4JLR,0.5385
1OB1,0.6
5T5F,0.6316
3I50,0.6087
3LIZ,0.0556
4JPK,0.4615
4HF5,0
4LIQ,0
1EZV,0
5UGY,0
1AR1,0
5HYS,0
4JZJ,0
2FD6,0
2BDN,0
4U0R,0
4JR9,0
4GMS,0
4YK4,0
5B3J,0
4IRZ,0
4LVN,0
4U6V,0
4O58,0
3IU3,0
3HMX,0
1YY9,0
4K3J,0
