protein,dockpred,ispred,linearreg,logreg,randomforest,sppider,xgboost
5L0Q,0.3889,0.3448,0.3571,0.3571,0.2857,0.2222,0.3571
3WKM,0.4878,0.186,0.5142857142857142,0.5142857142857142,0.1463,0.1667,0.571428571
4ZPT,0.6667,0.3889,0.5405,0.5405,0.4118,0.4516,0.4615
4ZS7,0.0588,0.4,0.0556,0.1111,0.0556,0.1765,0.0588
4ZSO,0.0625,0.0571,0.2857,0.2857,0.0526,0.1667,0.1667
2YPV,0.2,0.0556,0.0571,0.0556,0.4737,0.2857,0.0541
4KI5,0.1463,0.2105,0.0606,0.1176,0.0571,0,0.0571
4NZR,0.4225,0.2,0.3514,0.3467,0.1644,0.2571,0.2703
4FFY,0.25,0.42,0.5454545454545454,0.5454545454545454,0.303030303,0.25,0.484848485
1TPX,0.0606,0.29,0.25,0.34146341463414637,0.243902439,0.1429,0.292682927
5IES,0.1538,0.46,0.1,0.1,0.072727273,0.093,0.109090909
5IKC,0.46,0.3846,0.4286,0.4286,0.4138,0.5714,0.5
4HJ0,0.8,0.6667,0.0,0.0,0.5882,0.35,0.6667
2XQB,0.36,0.3529,0.2162,0.2162,0.311111111,0.49,0.444444444
4U6V,0.57,0,0.4444,0.5333,0.6061,0.5641,0.6154
2J4W,0.27,0.6,0.5333333333333333,0.6,0.5,0.2609,0.533333333
4QCI,0.58,0.303,0.4118,0.3529,0.5161,0.2308,0.4848
4TSA,0.59,0.29,0.20895522388059704,0.23880597014925375,0.268656716,0.12,0.298507463
3HI1,0.29,0.0408,0.15,0.2,0.1739,0,0.1429
2VXQ,0.53,0.47,0.5263157894736841,0.5789473684210527,0.421052632,0.37,0.473684211
3G04,0.31,0.2703,0.2927,0.2927,0.0513,0.2222,0.3
2ARJ,0.1,0.129,0.0714,0.0714,0.142857143,0.19,0.0625
2CMR,0.5,0.2857,0.45,0.45,0.2353,0.3784,0.4865
5DHV,0.35,0.59,0.40816326530612246,0.40816326530612246,0.285714286,0.41,0.448979592
3SKJ,0.47,0.19,0.1765,0.1875,0.2941,0.2143,0.303
4LF3,0.68,0.26,0.10526315789473684,0.10526315789473684,0.140350877,0.47,0.105263158
5DUR,0.47,0.1143,0.2286,0.2632,0.045454545,0.13,0.1212
3B2U,0.43,0.1176,0.1081,0.1081,0.1622,0.15,0.1579
5SX4,0.43,0.1538,0.2564,0.2632,0.4,0.2727,0.279069767
4AEI,0.17,0.48,0.3728813559322034,0.3728813559322034,0.2857,0.46,0.4
4BZ2,0.33,0.1875,0.0645,0.0645,0.0645,0.1176,0.1212
4YUE,0.58,0.32,0.3157894736842105,0.5,0.2857,0.0645,0.5185
1JHL,0.51,0.4,0.4571428571428572,0.4571428571428572,0.4,0.2143,0.4
5FB8,0.83,0.54,0.23333333333333334,0.23333333333333334,0.7027,0.5455,0.133333333
4MWF,0.56,0.2857,0.3704,0.3704,0.32,0.4667,0.3704
4M62,0.7,0.5806,0.6061,0.5455,0.5333,0.45,0.625
4YQX,0.32,0.5517,0.4138,0.4667,0.4444,0.2727,0.4
1A2Y,0.15,0.5333,0.4118,0.4118,0.2759,0.2143,0.3529
2BDN,0.16,0,0.1379,0.1379,0.157894737,0.1379,0.1379
5MES,0.38,0.6667,0.6364,0.6364,0.4545,0.3,0.56
4BZ1,0.17,0.46,0.5385,0.5385,0.5385,0.51,0.5217
2UZI,0.64,0.64,0.7272727272727274,0.7272727272727274,0.5946,0.64,0.636363636
4OT1,0.16,0.27,0.0645,0.0645,0.121212121,0,0.129
5C7X,0.72,0.4737,0.12903225806451613,0.12903225806451613,0.064516129,0.6,0.258064516
1FBI,0.26,0.3077,0.32,0.32,0.3478,0.2727,0.3704
3KS0,0.18,0.55,0.5454545454545454,0.5454545454545454,0.363636364,0.55,0.7619
5LQB,0.4,0.5,0.5294,0.6061,0.5,0.56,0.5625
5D70,0.62,0.5882,0.6286,0.6286,0.4848,0.4848,0.279069767
1QFU,0.16,0.0541,0.0952,0.0952,0.1765,0,0.16
5CBA,0.53,0.5926,0.6207,0.6207,0.510638298,0.5926,0.595744681
5KVE,0.41,0.26,0.2353,0.2353,0.325581395,0.1818,0.325581395
4EDW,0.39,0.44,0.1818,0.1818,0.2424,0.1333,0.2941
1BVK,0.2,0.4848,0.3871,0.4516,0.4375,0.1429,0.4375
2XRA,0.56,0.4516,0.5116279069767441,0.5116279069767441,0.2353,0.33,0.372093023
1OAZ,0.71,0.33,0.6190476190476191,0.6190476190476191,0.5161,0.52,0.380952381
1HYS,0.6957,0.4286,0.4444,0.4324,0.3226,0.3333,0.4375
5GGT,0.6471,0.303,0.5806,0.5806,0.2963,0.3333,0.24
4JPW,0.3333,0.5333,0.3265,0.3265,0.2553,0.1,0.2
2AEP,0.1538,0.0541,0.0476,0.0488,0,0,0
4G6J,0.0714,0.1935,0.1875,0.0976,0.3684,0.26,0.375
4K94,0.1875,0.2941,0.2424,0.2424,0.2857,0.0556,0.1818
4G6M,0.1667,0.129,0.0667,0.0667,0.0588,0.0645,0.125
3ZKM,0.4681,0.3556,0.4314,0.44,0.25,0.4151,0.4583
3T2N,0.7391,0.6111,0.65,0.6667,0.4103,0.7222,0.5882
1IQD,0.8108,0.5143,0.6857,0.6667,0.4242,0.56,0.7742
4XAK,0.6316,0.2069,0.4,0.3902,0.4118,0.3333,0.5263
4D3C,0.2857,0.3226,0.381,0.381,0.1379,0.6667,0.4444
5FCU,0.5625,0.47,0.5365853658536586,0.5853658536585366,0.6111,0.56,0.6154
3THM,0.6207,0.5,0.4615,0.4615,0.5517,0.4444,0.4444
3IDX,0.1176,0.1765,0.1714,0.1667,0.0833,0,0.0476
4GMS,0.0435,0,0,0,0,0,0
1YY9,0.087,0,0,0,0,0.0526,0
3HI6,0.5366,0.5946,0.65,0.6341,0.5946,0.49,0.6
2FD6,0.0741,0,0,0,0.1053,0,0
3S37,0.5455,0.4,0.625,0.625,0.4,0.5,0.5625
3LEV,0.32,0.4444,0.48,0.4615,0.1379,0.1,0.25
4LEO,0.375,0.1364,0.15,0.1463,0.1951,0.0571,0.1667
3I50,0.5806,0.6087,0.6667,0.6087,0.3571,0.4545,0.4444
2R29,0.1212,0.1379,0,0,0.0714,0,0.129
4HWB,0.0571,0.0571,0.0541,0.0571,0.1111,0.0488,0.0588
2ZCH,0.0667,0.3333,0.2353,0.2857,0.0667,0.2667,0.2759
4RWY,0.1111,0.1071,0.2373,0.2759,0.1111,0.1111,0.1
3L5X,0.0909,0.3478,0.2,0.1905,0,0.2222,0.0952
5C0N,0.5,0.25,0.2222,0.2222,0.1,0.1,0.381
3Q3G,0.5714,0.6857,0.6857,0.6857,0.5625,0.6857,0.6452
5KVF,0.2778,0.21,0.125,0.125,0.358974359,0.1538,0.0606
5F3B,0.1176,0.3448,0.1935,0.1935,0.303,0.4828,0.3226
1N8Z,0.2381,0.1176,0.1176,0.2222,0.2857,0.129,0.3125
3X3F,0.4167,0.6,0.6154,0.6154,0.48,0.2105,0.5926
1JRH,0.56,0.3333,0.303,0.303,0.3333,0.0571,0.3636
4FP8,0.186,0.0444,0.0465,0.0465,0.0976,0,0
5F9W,0.0541,0.5,0.2979,0.2979,0.0851,0.1395,0.1778
5KJR,0.6111,0.3125,0.3333,0.3333,0.2778,0.3902,0.4571
4ETQ,0.2791,0.48,0.39024390243902435,0.39024390243902435,0.2286,0.4103,0.5946
4F2M,0.6364,0.5833,0.5833,0.6087,0.4545,0.5217,0.6957
3U7Y,0.2609,0.4583,0.1961,0.1961,0.2642,0.12,0.2308
3V6O,0.3448,0.2759,0.3333,0.3333,0.2069,0.2143,0.25
2ADF,0.8,0.1765,0.5882,0.5882,0.16,0.5161,0.4242
5E94,0.5833,0.5,0.6429,0.6429,0.5,0.75,0.6429
1FSK,0.069,0.5946,0.5455,0.5143,0.25,0.1667,0.375
4FQJ,0.381,0.2286,0.2105,0.2105,0.2222,0.0541,0.2222
3NFP,0.4444,0.0645,0.2222,0.1429,0.1429,0.48,0.2143
5D8J,0.5854,0.4286,0.4828,0.4828,0.4118,0.375,0.4667
5DUM,0.0625,0.0526,0,0,0.069,0,0
3BGF,0.2667,0.4286,0.3871,0.4,0.3226,0.1081,0.1818
5F3H,0.1143,0.5625,0.375,0.25,0.3226,0.5517,0.375
4YWG,0.6154,0.3448,0.4615,0.4615,0.263157895,0.44,0.5714
5JQ6,0.3158,0.359,0.3182,0.3556,0.1579,0.1622,0.0952
1W72,0.24,0.2581,0.2143,0.2222,0.3226,0,0.375
4HCR,0.4103,0.5854,0.6154,0.6154,0.35,0.359,0.6842
3WIH,0.7333,0.5,0.6207,0.6207,0.4667,0.2069,0.444444444
4XMP,0.1379,0.0656,0.2903,0.2903,0.2069,0.1017,0.1967
3PNW,0.4667,0.33,0.4444444444444445,0.4444444444444445,0.388888889,0.5,0.444444444
1G9M,0.55,0.3243,0.4,0.4,0.3125,0.0909,0.3636
2QQN,0.4286,0.381,0.4211,0.4,0.4,0,0.3077
4HC1,0.2,0.7273,0.7059,0.7273,0.1818,0.2222,0.303
4Y5V,0.7273,0.4865,0.6316,0.6154,0.4545,0.4242,0.5946
5L6Y,0.4348,0.4762,0.4348,0.4348,0.3636,0,0.4762
5A3I,0.1905,0.2857,0.0952,0.1667,0.0909,0,0
1OB1,0.24,0.6,0.3888888888888889,0.6957,0.333333333,0.25,0.333333333
4XWG,0.6818,0.3429,0.4103,0.4211,0.3429,0.381,0.4
4YPG,0.3,0.2286,0.1622,0.1622,0,0.2162,0
5H35,0.0625,0.2857,0.3429,0.3429,0.1935,0.125,0.129
2XWT,0.449,0.4255,0.2857,0.2791,0.321428571,0.1333,0.4348
5D93,0.3333,0.4848,0.6061,0.6061,0.4242,0.5714,0.6111
3WXV,0.0556,0.3333,0.2439,0.3429,0.4516,0,0.2174
4J6R,0.0377,0.4906,0.2963,0.0702,0.12,0.1481,0.2807
2YBR,0.5217,0.6897,0.6154,0.6154,0.5,0.55,0.484848485
4AL8,0.0645,0.2727,0.20408163265306123,0.24489795918367344,0.12244898,0.47,0.12244898
3MA9,0.4651,0.2927,0.3902,0.4651,0.35,0.3111,0.4878
2OZ4,0.7368,0.0952,0.2439,0.2381,0.1765,0.1053,0.2632
4O9H,0.0667,0.4375,0.4375,0.4375,0.3846,0.5143,0.4444
1H0D,0.7586,0.5455,0.6923,0.6667,0.5333,0.25,0.6923
4CNI,0.2222,0.3333,0.1667,0.3,0.3478,0.0625,0.4
2R56,0.2632,0.2564,0.3158,0.359,0.1667,0.17,0.3125
3U9P,0.0667,0.4615,0.2143,0.2759,0.1875,0.3571,0.2143
1ORS,0.069,0.2857,0.25,0.25,0.3,0.2857,0.2857
1V7M,0.0625,0.2857,0.2632,0.2632,0.1765,0.1143,0.2105
3LD8,0.0667,0.15,0.1579,0.1579,0.1379,0.2,0.1176
3PGF,0.7234,0.4186,0.5714,0.6122,0.290909091,0.55,0.509090909
3GRW,0.0408,0.12,0.12,0.12,0.0816,0.0357,0.0833
1LK3,0.3077,0.4615,0.303,0.3529,0.2069,0,0.2424
4JZJ,0.3684,0,0,0.0645,0.1379,0.0541,0.2
2EIZ,0.4138,0.0571,0.2667,0.2581,0.333333333,0.0625,0.1143
3MXW,0.2424,0.57,0.391304347826087,0.391304347826087,0.3333,0,0.391304348
4DN4,0.2,0.58,0.6087,0.6087,0.6957,0.72,0.6667
4RGM,0.2667,0.1143,0.3333333333333333,0.3333333333333333,0.1143,0.2381,0.1111
4UV7,0.2667,0.4211,0.4138,0.3333,0.1818,0.4118,0.2759
4H8W,0.5854,0.4138,0.3784,0.4324,0.5714,0.2632,0.4865
3W9E,0.766,0.4186,0.6522,0.6522,0.4545,0.5366,0.5333
4KUC,0.2222,0.2222,0.3636,0.381,0.2069,0,0.2609
2JEL,0.5455,0.7,0.8889,0.8889,0.6957,0,0.8
1XIW,0.0667,0.0769,0.0769,0.0769,0,0,0
4DTG,0.1538,0.22,0.303,0.25,0.176470588,0.32,0.3429
5UGY,0.0667,0,0,0,0.0588,0,0
1BGX,0.3188,0.0732,0.1333,0.137,0.0526,0.2927,0.1687
1OSP,0.3871,0.0714,0.0741,0.0741,0.069,0,0
4O58,0.1875,0,0,0,0,0,0
3IU3,0.3871,0,0.1538,0.1538,0.303,0.087,0.0833
4JLR,0.2308,0.5385,0.6,0.5926,0.56,0.5,0.4138
4LIQ,0.0476,0,0,0,0,0,0
5CZX,0.56,0.3448,0.4375,0.4118,0.125,0.1053,0.375
1AR1,0.069,0,0,0,0.0606,0,0
3Q1S,0.2308,0.48,0.4138,0.4444,0.2727,0.5455,0.3478
3L5W,0.1,0.6,0.4,0.4,0.3636,0.4,0.3529
5K59,0.55,0.2581,0.6061,0.6061,0.4516,0.4571,0.4118
1MHP,0.6111,0.375,0.6111,0.6111,0.3226,0.5714,0.4865
2NY7,0.2745,0.45,0.3137,0.439,0.1463,0.1053,0.0488
4K3J,0.3,0,0,0,0.0909,0,0.0556
4I77,0.0571,0.33,0.3871,0.3871,0.2941,0,0.4516
5HDQ,0.2759,0.0714,0.3125,0.3125,0.1333,0.4444,0.2222
1ZTX,0.08,0.0952,0.087,0.0833,0.1481,0.1,0.1739
4YDK,0.1176,0.037,0.2593,0.25,0.1176,0.087,0.2593
3NGB,0.1111,0.0851,0.1905,0.2667,0.2609,0.1111,0.1429
3NH7,0.129,0.56,0.4186046511627907,0.4186046511627907,0.4,0.19,0.279069767
4QWW,0.4571,0.3902,0.4737,0.4737,0.35,0.2703,0.45
4F37,0.7368,0.4,0.6667,0.6667,0.6316,0.6667,0.6154
4NNP,0.6452,0.6316,0.65,0.65,0.4828,0.7027,0.7027
2J88,0.7059,0.5185,0.5926,0.6154,0.4,0.375,0.72
1FE8,0.5294,0.2308,0.2424,0.2424,0.2667,0.2564,0.25
4DQO,0.2222,0.2667,0.125,0.125,0.2222,0.12,0.2069
4DGI,0.1176,0.18,0.1818,0.0952,0.166666667,0.5,0.1905
1EGJ,0.8333,0.5161,0.5714285714285715,0.5714285714285715,0.6154,0.63,0.514285714
3U2S,0.2143,0.1429,0.1935,0.1935,0.1538,0.1875,0.2
5MVZ,0.125,0.0769,0.0645,0.0645,0.3226,0.2667,0.375
4LU5,0.0769,0.381,0.2857,0.381,0,0.0769,0.2105
4JPK,0.1364,0.4615,0.087,0.087,0.0952,0.08,0.093
5SY8,0.6207,0.4828,0.4667,0.4828,0.4138,0.58,0.5
4QTI,0.4348,0.069,0.0769,0.0714,0.2759,0,0.2667
4YDJ,0.1,0.0435,0.1429,0.1395,0.2,0.0488,0.15
1FNS,0.2857,0.6923,0.6667,0.7407,0.4,0.3846,0.5926
3KR3,0.6429,0.56,0.46153846153846156,0.6,0.41025641,0.46,0.512820513
1EO8,0.1463,0.2069,0.2353,0.2353,0.2667,0,0.24
5F96,0.1111,0.6857,0.4286,0.5238,0.0476,0.1333,0.3256
2DD8,0.4706,0.6341,0.45,0.5366,0.4737,0.05,0.45
5JHL,0.6154,0.5185,0.5714,0.5517,0.3333,0.6667,0.5
4XNY,0.1569,0.0385,0.0741,0.0755,0.2326,0.0357,0.2667
3EOA,0.2857,0.3226,0.2857,0.2857,0.2308,0.2581,0.2581
5EN2,0.0526,0.26,0.2857,0.2857,0.2105,0.3226,0.2632
4OII,0.186,0.13,0.2069,0.1304,0.05,0.1176,0.0889
1C08,0.3571,0.2,0.3448,0.3448,0.146341463,0.0625,0.2857
4Z5R,0.6061,0.4706,0.2286,0.2286,0.4242,0.1053,0.2222
5T5F,0.6,0.6316,0.6486,0.6486,0.2857,0.6471,0.5405
3D85,0.3529,0.2759,0.5,0.5,0.3333,0.4286,0.2857
