5KJR,0.3333,19,6,clusters:2
3S35,0.1176,16,2,clusters:2
2XQB,0.2162,15,4,clusters:1
3B2U,0.1081,18,2,clusters:1
4HWB,0.0571,14,1,clusters:2
5IES,0.1,18,2,clusters:1
5L0Q,0.3571,16,5,clusters:1
4ZS7,0.1111,16,2,clusters:1
4J6R,0.0702,25,2,clusters:2
3GRW,0.12,17,3,clusters:2
4NZR,0.3467,22,13,clusters:2
2XWT,0.2791,16,6,clusters:1
4OT1,0.0645,18,1,clusters:2
4JPK,0.087,21,2,clusters:1
4EDW,0.1818,16,3,clusters:2
5DUR,0.2632,19,5,clusters:2
3G04,0.2927,18,6,clusters:2
3SKJ,0.1875,16,3,clusters:1
4Z5R,0.2286,14,4,clusters:2
5HDQ,0.3125,18,5,clusters:1
4FQJ,0.2105,19,4,clusters:2
4KI5,0.1176,14,2,clusters:2
4XNY,0.0755,19,2,clusters:1
4ZSO,0.2857,18,5,clusters:2
2YPV,0.0556,17,1,clusters:1
