5C7X,115,,,,,,Bins,test,training 1,training 2,training 3,training 4,training 5
4O9H,152,,,,,,100,4,1,4,2,6,5
3JWD,360,,,,,,200,10,8,10,13,9,14
5F9W,342,,,,,,300,7,7,5,5,6,1
4YDJ,298,,,,,,400,4,8,7,4,5,6
5KVG,107,,,,,,500,0,0,0,1,0,0
4L5F,98,,,,,,600,0,1,0,1,0,0
4BZ2,101,,,,,,700,1,1,0,0,0,0
2YPV,229,,,,,,,0,0,0,0,0,0
2ADF,189,,,,,,,,,,,,
5DUR,218,,,,,,,,,,,,
4ZS7,139,,,,,,,,,,,,
4LQF,78,,,,,,,,,,,,
4LU5,86,,,,,,,,,,,,
2XWT,234,,,,,,,,,,,,
5UGY,323,,,,,,,,,,,,
5C0N,131,,,,,,,,,,,,
3THM,77,,,,,,,,,,,,
1FE8,190,,,,,,,,,,,,
2QQN,154,,,,,,,,,,,,
4F15,234,,,,,,,,,,,,
1UJ3,205,,,,,,,,,,,,
3G04,228,,,,,,,,,,,,
2AEP,388,,,,,,,,,,,,
1YY9,613,,,,,,,,,,,,
5SX4,191,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3L5W,101,,,,,,,,,,,,
4CNI,171,,,,,,,,,,,,
3U7Y,340,,,,,,,,,,,,
5F9O,341,,,,,,,,,,,,
5I9Q,340,,,,,,,,,,,,
4RWY,337,,,,,,,,,,,,
3S35,112,,,,,,,,,,,,
5T5F,226,,,,,,,,,,,,
4HCR,194,,,,,,,,,,,,
4AL8,98,,,,,,,,,,,,
3Q3G,189,,,,,,,,,,,,
4HKX,212,,,,,,,,,,,,
4XAK,211,,,,,,,,,,,,
1A14,385,,,,,,,,,,,,
4OGX,236,,,,,,,,,,,,
4PP1,222,,,,,,,,,,,,
4YK4,206,,,,,,,,,,,,
4G6M,150,,,,,,,,,,,,
1JHL,129,,,,,,,,,,,,
5BV7,377,,,,,,,,,,,,
4XWG,369,,,,,,,,,,,,
4LEO,601,,,,,,,,,,,,
4UV7,596,,,,,,,,,,,,
3RVV,223,,,,,,,,,,,,
3B2U,195,,,,,,,,,,,,
5JHL,385,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4YPG,159,,,,,,,,,,,,
5D70,115,,,,,,,,,,,,
4LSU,346,,,,,,,,,,,,
4XNY,334,,,,,,,,,,,,
4YDK,341,,,,,,,,,,,,
4XMP,337,,,,,,,,,,,,
5KVE,101,,,,,,,,,,,,
5KVF,105,,,,,,,,,,,,
5TZT,113,,,,,,,,,,,,
1XIW,91,,,,,,,,,,,,
5HDQ,273,,,,,,,,,,,,
1QFU,318,,,,,,,,,,,,
4YWG,103,,,,,,,,,,,,
1NCA,386,,,,,,,,,,,,
1FBI,129,,,,,,,,,,,,
3IU3,114,,,,,,,,,,,,
1OSP,251,,,,,,,,,,,,
1BVK,129,,,,,,,,,,,,
4AEI,64,,,,,,,,,,,,
2BDN,68,,,,,,,,,,,,
1EO8,319,,,,,,,,,,,,
2FD6,248,,,,,,,,,,,,
2ZCH,223,,,,,,,,,,,,
4PP2,222,,,,,,,,,,,,
3U2S,90,,,,,,,,,,,,
5SY8,155,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4YUE,104,,,,,,,,,,,,
3L5X,101,,,,,,,,,,,,
4J6R,343,,,,,,,,,,,,
3SE9,344,,,,,,,,,,,,
3NGB,347,,,,,,,,,,,,
3HI1,289,,,,,,,,,,,,
1ZTX,101,,,,,,,,,,,,
5TZ2,114,,,,,,,,,,,,
4Y5Y,195,,,,,,,,,,,,
5TZU,115,,,,,,,,,,,,
1MHP,184,,,,,,,,,,,,
5DUM,197,,,,,,,,,,,,
5D93,240,,,,,,,,,,,,
4QTI,260,,,,,,,,,,,,
5E8E,259,,,,,,,,,,,,
4IJ3,237,,,,,,,,,,,,
4HJ0,92,,,,,,,,,,,,
4HF5,317,,,,,,,,,,,,
4M62,155,,,,,,,,,,,,
1N8Z,581,,,,,,,,,,,,
4HC1,198,,,,,,,,,,,,
1TPX,102,,,,,,,,,,,,
1A2Y,129,,,,,,,,,,,,
4DQO,88,,,,,,,,,,,,
3MA9,197,,,,,,,,,,,,
5K9K,490,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4I77,97,,,,,,,,,,,,
4Z5R,141,,,,,,,,,,,,
2NY7,290,,,,,,,,,,,,
4H8W,337,,,,,,,,,,,,
4XVS,342,,,,,,,,,,,,
1G9M,305,,,,,,,,,,,,
1SY6,168,,,,,,,,,,,,
2R29,97,,,,,,,,,,,,
1JPS,200,,,,,,,,,,,,
3S37,110,,,,,,,,,,,,
3HI6,180,,,,,,,,,,,,
4O58,317,,,,,,,,,,,,
5A3I,323,,,,,,,,,,,,
4NNP,273,,,,,,,,,,,,
2W9E,99,,,,,,,,,,,,
5L6Y,94,,,,,,,,,,,,
5D8J,133,,,,,,,,,,,,
3GJF,276,,,,,,,,,,,,
4Y5V,206,,,,,,,,,,,,
4ZPT,208,,,,,,,,,,,,
1BQL,129,,,,,,,,,,,,
3NFP,111,,,,,,,,,,,,
3BGF,178,,,,,,,,,,,,
3X3F,71,,,,,,,,,,,,
1W72,274,,,,,,,,,,,,
4LF3,95,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5LQB,128,,,,,,,,,,,,
4YQX,122,,,,,,,,,,,,
5F96,339,,,,,,,,,,,,
3IDX,306,,,,,,,,,,,,
5KJR,332,,,,,,,,,,,,
4JPW,345,,,,,,,,,,,,
5KVD,108,,,,,,,,,,,,
1AHW,200,,,,,,,,,,,,
4BZ1,96,,,,,,,,,,,,
4FFY,97,,,,,,,,,,,,
3EOA,179,,,,,,,,,,,,
4GMS,316,,,,,,,,,,,,
3CVH,274,,,,,,,,,,,,
1RJL,95,,,,,,,,,,,,
1MLC,129,,,,,,,,,,,,
4DN4,61,,,,,,,,,,,,
4G6J,149,,,,,,,,,,,,
2DD8,192,,,,,,,,,,,,
1C08,129,,,,,,,,,,,,
5MVZ,136,,,,,,,,,,,,
4UTA,386,,,,,,,,,,,,
5F3B,106,,,,,,,,,,,,
1IQD,156,,,,,,,,,,,,
4DGI,97,,,,,,,,,,,,
5F3H,104,,,,,,,,,,,,
2EIZ,129,,,,,,,,,,,,
