protein,dynamic_patch_fscore,dynamic_cutoff_fscore,dynamic_cutoff,number_predicted_by_dynamic_patch,dynamic_patch_tot_TP
5DHV,0.4615,0.41,21,26,9
5L6Y,0.3137,0.23,24,40,8
3HI6,0.4828,0.43,27,39,14
5A3I,0.0,0,36,44,0
3PGF,0.0,0,38,60,0
3RVV,0.2258,0.28,28,47,7
1FNS,0.3529,0.31,27,39,9
3BGF,0.0,0,46,78,0
5FCU,0.3284,0.35,32,47,11
4O58,0.0,0,36,46,0
5KVF,0.1702,0.15,25,32,4
1NSN,0.4074,0.51,25,36,11
5FHX,0.3256,0.23,24,32,7
3KR3,0.3137,0.35,21,32,8
5C0N,0.1778,0.19,26,39,4
4O9H,0.3051,0.24,26,43,9
1NCA,0.5143,0.45,32,49,18
1HYS,0.0,0,38,48,0
4UTA,0.04,0.05,34,47,1
4AEI,0.65,0.51,20,25,13
5IKC,0.1818,0.22,24,31,4
1JPS,0.2609,0.28,29,48,9
2Q8A,0.1714,0.08,31,49,6
1MHP,0.3214,0.26,26,44,9
4JPW,0.241,0.23,32,53,10
5TZT,0.3243,0.31,24,29,6
3VG9,0.1159,0.14,32,43,4
2J4W,0.0364,0.04,33,43,1
5KW9,0.0,0,30,47,0
4L5F,0.0755,0.06,23,40,2
3GI8,0.0323,0.04,33,47,1
4Z5R,0.2029,0.3,26,48,7
4CMH,0.0845,0.11,30,46,3
3WIH,0.1509,0.15,29,41,4
1BVK,0.1961,0.24,24,34,5
5E94,0.0,0,35,56,0
4Y5Y,0.6667,0.69,28,39,20
5HDQ,0.037,0.05,30,40,1
5DUM,0.0345,0.04,28,41,1
4QTI,0.04,0.05,31,40,1
3MXW,0.5862,0.64,26,37,17
1EGJ,0.186,0.17,24,32,4
4HC1,0.0,0,29,43,0
2BDN,0.0909,0.11,21,27,2
3EOA,0.2642,0.29,27,39,7
4YDK,0.1379,0.18,32,54,6
5D70,0.4255,0.41,24,32,10
4JPK,0.3562,0.24,26,48,13
5BV7,0.0506,0.07,33,56,2
3NGB,0.1282,0.18,32,54,5
3L5W,0.36,0.35,24,40,9
4FFY,0.2769,0.29,23,40,9
5CZX,0.3279,0.28,29,47,10
5MVZ,0.1404,0.18,26,39,4
3LIZ,0.0,0,31,51,0
5F9W,0.1707,0.23,32,54,7
3ZKM,0.0597,0.07,32,44,2
2OZ4,0.1,0.12,31,42,3
4H8W,0.3056,0.35,32,53,11
2R29,0.0299,0.04,34,51,1
4TSA,0.3404,0.32,24,34,8
4LSU,0.1573,0.21,32,54,7
2R56,0.1875,0.17,26,43,6
1UJ3,0.2353,0.29,29,48,8
5H35,0.25,0.21,27,43,8
4KUC,0.037,0.05,29,41,1
4NNP,0.2264,0.23,30,40,6
5K9K,0.0317,0.04,36,46,1
4D3C,0.25,0.32,27,37,6
4LU5,0.1633,0.16,22,34,4
3NH7,0.2807,0.22,24,36,8
1LK3,0.1455,0.19,26,38,4
1C08,0.0784,0.1,24,34,2
4YDJ,0.15,0.21,32,54,6
4BZ2,0.2353,0.29,23,33,6
2QQN,0.0714,0.09,32,44,2
4LQF,0.1333,0.12,22,34,3
1IQD,0.6122,0.67,26,33,15
4HCR,0.0656,0.08,28,41,2
5KVG,0.08,0.09,25,30,2
4I77,0.1017,0.14,24,40,3
3Q3G,0.3929,0.47,26,39,11
4ZPT,0.2182,0.23,28,39,6
3U7Y,0.1348,0.18,32,54,6
4PP2,0.4545,0.42,28,46,15
4K94,0.0789,0.1,37,55,3
5L0Q,0.381,0.28,26,32,8
2YBR,0.4651,0.36,20,30,10
4YK4,0.2353,0.2,28,39,6
4DTG,0.4091,0.42,21,27,9
5TZU,0.25,0.23,24,29,6
4LEO,0.0,0,38,63,0
4AL8,0.027,0,35,63,1
1OB1,0.2222,0.22,23,32,5
3IU3,0.0606,0,30,46,2
3WKM,0.2258,0.2,27,38,7
4M62,0.4681,0.45,25,32,11
5JHL,0.2258,0.19,34,54,7
3HMX,0.0312,0.04,32,46,1
4DN4,0.3158,0.25,21,27,6
4Y5V,0.6885,0.68,28,39,21
5JQ6,0.3562,0.3,32,52,13
4JR9,0.0,0,33,50,0
1QFU,0.0,0,36,46,0
4ZSO,0.125,0.17,29,47,4
4XWG,0.0,0,33,56,0
4GMS,0.0,0,36,46,0
1FSK,0.5769,0.65,27,36,15
3LEV,0.3556,0.39,27,36,8
5D8J,0.4444,0.36,26,36,12
4G6J,0.2,0.26,26,39,6
1WEJ,0.0426,0.06,24,36,1
2ADF,0.2593,0.34,26,39,7
3T2N,0.1176,0.12,32,48,4
2UZI,0.5926,0.73,26,36,16
3PNW,0.2326,0.27,22,28,5
4K2U,0.0308,0.04,38,55,1
2EIZ,0.0,0,24,34,0
5SY8,0.3673,0.43,25,37,9
4FP8,0.0,0,36,45,0
5B3J,0.2069,0.22,32,44,6
1BQL,0.0,0,24,33,0
5UGY,0.2857,0.23,28,39,9
1EO8,0.0,0,36,46,0
5KVE,0.1304,0.1,25,30,3
5DUR,0.1356,0.14,28,43,4
1RJL,0.4255,0.36,26,34,10
4U6V,0.0,0,31,44,0
5LQB,0.3704,0.32,24,41,10
4F15,0.0,0,36,52,0
4OT1,0.1702,0.22,24,34,4
1A2Y,0.2041,0.26,24,34,5
4HF5,0.0,0,36,55,0
4G6M,0.0,0,26,39,0
4CNI,0.4082,0.35,26,35,10
5CBA,0.0889,0.11,22,31,2
2J88,0.3279,0.29,31,51,10
5TZ2,0.093,0.05,24,29,2
1ZTX,0.12,0.15,24,35,3
2VXQ,0.2,0.11,23,35,5
1FE8,0.1034,0.13,26,39,3
5F3B,0.0,0,33,43,0
4KI5,0.0238,0.03,46,64,1
1FBI,0.0833,0.1,24,33,2
4HKX,0.2759,0.21,28,39,8
1JHL,0.381,0.41,24,32,8
2NYY,0.0204,0.03,47,75,1
4ZS7,0.2545,0.26,26,35,7
4XAK,0.2308,0.29,28,39,6
2JEL,0.4186,0.5,21,28,9
