1C08,0.146341463,24,3,clusters:1_2
4OT1,0.121212121,24,3,clusters:1_2
4TSA,0.268656716,21,7,clusters:1_2
2BDN,0.157894737,21,3,clusters:1_2
4FFY,0.303030303,23,9,clusters:1_2
5DUR,0.045454545,28,5,clusters:1_2
5KVD,0.204081633,23,7,clusters:1_2
1JHL,0.4,24,7,clusters:1_2
4LF3,0.140350877,23,5,clusters:1_2
5DHV,0.285714286,21,8,clusters:1_2
2EIZ,0.333333333,24,7,clusters:1_2
2XQB,0.311111111,23,7,clusters:1_2
3RKD,0.133333333,25,3,clusters:1_2
3KR3,0.41025641,20,8,clusters:1_2
3PNW,0.388888889,20,7,clusters:1_2
2VXQ,0.421052632,23,8,clusters:1_2
5KVE,0.325581395,23,7,clusters:1_2
4DTG,0.176470588,20,5,clusters:1_2
3KS0,0.363636364,23,6,clusters:1_2
4YWG,0.263157895,24,6,clusters:1_2
3UC0,0.139534884,24,3,clusters:1_2
3RVV,0.093023256,28,2,clusters:1_2
5CBA,0.510638298,20,6,clusters:1_2
5KVF,0.358974359,23,3,clusters:1_2
2XWT,0.321428571,29,9,clusters:1_2
4AL8,0.12244898,23,4,clusters:1_2
2ARJ,0.142857143,24,3,clusters:1_2
4DGI,0.166666667,23,2,clusters:1_2
4YPG,0,26,4,clusters:1_2
1TPX,0.243902439,23,5,clusters:1_2
5C7X,0.064516129,24,12,clusters:1_2
3PGF,0.290909091,32,9,clusters:1_2
1OB1,0.333333333,23,6,clusters:1_2
5IES,0.072727273,26,5,clusters:1_2
