,test,,,training 1,,,training 2,,,training 3
3LIZ,319,,2Q8A,316,,1HYS,425,,3WKM,176
1WEJ,104,,1FSK,159,,4M48,532,,3PNW,60
1OB1,96,,1LK3,136,,4LIQ,469,,3GRW,206
1E6J,210,,2UZI,166,,3HMX,295,,3ZKM,375
4JR9,409,,1OAZ,115,,4MWF,171,,1NSN,138
1BGX,828,,4DTG,60,,1JRH,95,,5FB8,84
1AR1,252,,1FNS,196,,4OII,177,,2R56,159
4QCI,96,,4ZSO,217,,4ETQ,225,,4K3J,499
1EZV,185,,3MXW,153,,5B3J,329,,3SQO,491
4QWW,529,,3D85,133,,3KS0,92,,5KW9,289
4EDW,106,,3PGF,358,,3WIH,88,,4HWB,111
3KR3,60,,5CZX,227,,3W9E,229,,3SKJ,176
1ORS,132,,3VI3,427,,5IKC,89,,2OZ4,265
3LEV,177,,4KUC,259,,4K2U,230,,4LVN,336
4FQJ,292,,2NYY,1267,,2XQB,105,,4IRZ,592
3NH7,85,,5HYS,214,,4U0R,288,,2VDK,452
4JLR,91,,4NZR,391,,3V6O,182,,1V7M,145
4CMH,240,,5GGT,116,,3Q1S,113,,2ARJ,115
4F2M,148,,2JEL,85,,5K59,293,,4D3C,137
3GI8,435,,4K94,195,,3WXV,283,,4OT1,113
5JQ6,320,,2J88,319,,4U6V,272,,3U9P,169
2VXQ,92,,5DHV,61,,5EN2,141,,1EGJ,101
5FHX,122,,3B9K,117,,1H0D,122,,4AG4,341
4JZJ,251,,5L0Q,203,,4RGM,224,,5CBA,61
4F37,102,,2XQY,464,,3RKD,146,,3LD8,334
3VG9,297,,3T2N,339,,2J4W,34,,3UC0,111
5MES,151,,4OKV,66,,5H35,195,,,
