,test,,,training 1,,,training 2,,,training 3
3GI8,433,,2NYY,1277,,4K2U,583,,3PNW,78
3VG9,291,,5DHV,58,,1H0D,122,,1NSN,137
4CMH,249,,5GGT,126,,3Q1S,142,,4OT1,110
4JR9,438,,4K94,464,,5H35,197,,3ZKM,367
1E6J,220,,4KUC,259,,4U0R,332,,5CBA,80
3KR3,67,,3T2N,361,,1HYS,553,,3SQO,92
3LEV,179,,3PGF,723,,3HMX,297,,3U9P,169
3NH7,102,,4NZR,259,,4OII,177,,5KW9,280
5JQ6,332,,2XQY,432,,5IKC,113,,3SKJ,160
1WEJ,104,,1FNS,208,,4LIQ,298,,1EGJ,102
4F37,86,,1FSK,159,,4ETQ,230,,3LD8,341
1ORS,147,,3MXW,164,,3KS0,478,,4AG4,274
2VXQ,94,,4ZSO,212,,5B3J,358,,4D3C,173
1OB1,96,,5CZX,241,,3RKD,483,,3UC0,237
3LIZ,319,,4DTG,71,,3W9E,176,,3WKM,180
5FHX,129,,1LK3,132,,2J4W,362,,5FB8,130
5MES,149,,5L0Q,146,,4RGM,239,,2OZ4,250
,,,2Q8A,311,,3WIH,223,,2R56,161
,,,5HYS,212,,4U6V,293,,,
,,,2JEL,85,,,,,,
,,,2J88,314,,,,,,
,,,2UZI,171,,,,,,
