2YPV,0.093,24,2,clusters:1
4G6J,0.3043478260869565,26,7,clusters:1_2
4Y5V,0.68,28,17,clusters:1_2
2ADF,0.3414634146341463,26,7,clusters:1_2
4O9H,0.303,17,5,clusters:1
3Q3G,0.5405,20,10,clusters:1
5F3H,0.3478,8,4,clusters:2
1FE8,0.1818,14,3,clusters:2
4M62,0.6207,14,9,clusters:2
4ZS7,0.3243,17,6,clusters:1
5D8J,0.4324,19,8,clusters:1
5C0N,0.24,19,3,clusters:1
4BZ2,0.3636,15,6,clusters:2
4LQF,0.25,5,2,clusters:1
4I77,0.1714,16,3,clusters:2
2QQN,0.6364,10,7,clusters:1
5A3I,0.125,16,2,clusters:2
4BZ1,0.3704,15,5,clusters:2
5C7X,0.4103,16,8,clusters:1
5KVG,0.1333,10,2,clusters:2
4YDJ,0.2667,19,6,clusters:1
1JPS,0.3889,15,7,clusters:2
5DUR,0.2,14,3,clusters:2
5F9W,0.2979,19,7,clusters:1
4LU5,0.3,5,3,clusters:1
1UJ3,0.4,15,7,clusters:2
5T5F,0.3,7,3,clusters:2
