4O9H,0.303,17,5,clusters:1
3Q3G,0.5405,20,10,clusters:1
3L5X,0.4615,16,6,clusters:2
1FE8,0.1818,14,3,clusters:2
4M62,0.6207,14,9,clusters:2
4ZS7,0.3243,17,6,clusters:1
5D8J,0.4324,19,8,clusters:1
4DN4,0.32,14,4,clusters:2
5C0N,0.24,19,3,clusters:1
4BZ2,0.3636,15,6,clusters:2
4LQF,0.25,5,2,clusters:1
4I77,0.1714,16,3,clusters:2
2QQN,0.5,12,6,clusters:2
5A3I,0.125,16,2,clusters:2
3HI6,0.5714,16,10,clusters:1
4NNP,0.3448,16,5,clusters:1
5C7X,0.4103,16,8,clusters:1
5KVG,0.1333,10,2,clusters:2
1A2Y,0.3704,12,5,clusters:2
4YDJ,0.2667,19,6,clusters:1
5DUR,0.2,14,3,clusters:2
4LU5,0.3,5,3,clusters:1
1UJ3,0.4,15,7,clusters:2
