complete_protein_name,bound_length, unbound_length, matching_residues,percent_of_matching_in_bound,percent_of_matching_in_unbound
1A2Y_4KXI,129,129,128,0.992,0.992
1FNS_1AUQ,196,208,194,0.99,0.933
3RVV_3D6S,223,223,223,1.0,1.0
5K9K_6WXB,490,485,482,0.984,0.994
5L6Y_1IK0,94,113,94,1.0,0.832
3NGB_3TGT,347,342,342,0.986,1.0
1NCA_6D3B,386,386,386,1.0,1.0
4LEO_1M6B,601,549,548,0.912,0.998
4LU5_3K7B,86,85,85,0.988,1.0
4F15_7KNA,234,481,224,0.957,0.466
3HI6_1XDG,180,182,178,0.989,0.978
4HKX_6CHX,212,214,212,1.0,0.991
3Q3G_1BHQ,189,189,188,0.995,0.995
4XWG_5TXF,369,378,365,0.989,0.966
5C0N_2QM9,131,139,131,1.0,0.942
4DTG_1ADZ,60,71,58,0.967,0.817
5UGY_6CHX,323,214,213,0.659,0.995
5MES_5KU9,151,149,149,0.987,1.0
4O58_6MXU,317,486,301,0.95,0.619
2Q8A_1Z40,316,311,300,0.949,0.965
3I50_2I69,273,403,273,1.0,0.677
4TSA_4KXI,68,129,67,0.985,0.519
3MXW_3M1N,153,164,150,0.98,0.915
3T2N_5CE1,339,361,333,0.982,0.922
5A3I_6PCX,323,491,317,0.981,0.646
5B3J_3JPY,329,358,327,0.994,0.913
4KUC_4Q2V,259,259,259,1.0,1.0
2ADF_1ATZ,189,184,184,0.974,1.0
4KI5_6MF2,154,1222,154,1.0,0.126
5D70_2GMF,115,121,115,1.0,0.95
4H8W_4DVV,337,339,335,0.994,0.988
4D3C_5COE,137,173,135,0.985,0.78
4NNP_4NNO,273,278,273,1.0,0.982
4ZSO_3PV7,217,212,211,0.972,0.995
4YK4_6CHX,206,214,206,1.0,0.963
4HF5_2WRC,317,474,306,0.965,0.646
4PP1_3F5V,222,221,219,0.986,0.991
4OGX_2ANY,236,222,220,0.932,0.991
2R56_6GF9,159,161,159,1.0,0.988
5BV7_5TXF,377,378,372,0.987,0.984
4K94_2EC8,195,464,182,0.933,0.392
5E8E_5EDK,259,518,254,0.981,0.49
4RWY_3TGQ,337,336,333,0.988,0.991
1MHP_1CK4,184,193,180,0.978,0.933
5F3H_5NXS,104,290,95,0.913,0.328
2VXQ_1BMW,92,94,92,1.0,0.979
5H35_5WTR,195,197,195,1.0,0.99
3L5W_1IK0,101,113,101,1.0,0.894
3GJF_6APN,276,384,271,0.982,0.706
1H0D_1HBY,122,122,122,1.0,1.0
5KVE_5OMZ,101,115,101,1.0,0.878
5DHV_6BSY,61,58,58,0.951,1.0
4IJ3_3Q6O,237,228,226,0.954,0.991
5TZ2_2VSC,114,114,113,0.991,0.991
1FE8_1ATZ,190,184,184,0.968,1.0
4FFY_3IRC,97,104,97,1.0,0.933
1OB1_1CEJ,96,96,93,0.969,0.969
4ZPT_4ZPW,208,208,208,1.0,1.0
3NFP_6VWU,111,258,109,0.982,0.422
1JHL_1GHL,129,130,128,0.992,0.985
4Y5V_1ERN,206,207,197,0.956,0.952
4O9H_1ALU,152,157,152,1.0,0.968
5LQB_1M4C,128,114,113,0.883,0.991
5CZX_4ZLP,227,241,227,1.0,0.942
4UTA_4UTC,386,391,379,0.982,0.969
1HYS_3LAN,425,553,423,0.995,0.765
4JR9_4U4W,409,438,408,0.998,0.932
3LIZ_1YG9,319,319,317,0.994,0.994
4K2U_1ZRL,230,583,226,0.983,0.388
1BQL_1DKJ,129,129,129,1.0,1.0
5IKC_1MJD,89,113,88,0.989,0.779
4QTI_3U74,260,263,254,0.977,0.966
3PGF_5EDU,358,723,353,0.986,0.488
4BZ2_3WE1,101,97,91,0.901,0.938
1ORS_2KYH,132,147,132,1.0,0.898
4OT1_4OSN,113,110,107,0.947,0.973
2YPV_2KC0,229,242,228,0.996,0.942
2FD6_3U74,248,263,245,0.988,0.932
2DD8_5X58,192,1054,192,1.0,0.182
2J88_1FCQ,319,314,314,0.984,1.0
5F96_3TGT,339,342,338,0.997,0.988
4Z5R_1ITF,141,165,141,1.0,0.855
4M62_3LF6,155,154,154,0.994,1.0
2JEL_1HDN,85,85,85,1.0,1.0
3IU3_6VWU,114,258,111,0.974,0.43
4U0R_4WAT,288,332,286,0.993,0.861
5MVZ_5R8B,136,152,136,1.0,0.895
1TPX_2N53,102,143,101,0.99,0.706
5KVD_5OMZ,108,115,107,0.991,0.93
5F3B_5NXS,106,290,96,0.906,0.331
2NYY_3BTA,1267,1277,1267,1.0,0.992
1IQD_1D7P,156,159,156,1.0,0.981
2UZI_2Q21,166,171,166,1.0,0.971
4YPG_1ITF,159,165,157,0.987,0.952
4G6J_5R8B,149,152,149,1.0,0.98
1QFU_6WXB,318,485,316,0.994,0.652
5KVG_5OMZ,107,115,106,0.991,0.922
3KS0_1LDC,92,478,88,0.957,0.184
4FP8_6WXB,267,485,267,1.0,0.551
1A14_6HCX,385,388,384,0.997,0.99
5T5F_2KC0,226,242,226,1.0,0.934
5D8J_2QM9,133,139,132,0.992,0.95
4HCR_4HD9,194,198,194,1.0,0.98
3NH7_2K3G,85,102,85,1.0,0.833
5DUR_5DUT,218,213,212,0.972,0.995
5CBA_7JNY,61,80,61,1.0,0.762
5I9Q_5FA2,340,336,332,0.976,0.988
3ZKM_6UJ1,375,367,360,0.96,0.981
4I77_1IK0,97,113,97,1.0,0.858
3U9P_3S26,169,169,166,0.982,0.982
3WIH_4HLJ,88,223,85,0.966,0.381
4BZ1_3WE1,96,97,91,0.948,0.938
5F9W_3TGT,342,342,340,0.994,0.994
5HDQ_4NNO,273,278,273,1.0,0.982
1E6J_6SMU,210,220,210,1.0,0.955
4L5F_3IRC,98,104,98,1.0,0.942
4AL8_4GSX,98,390,98,1.0,0.251
3CVH_2QRI,274,398,274,1.0,0.688
5GGT_5NIU,116,126,116,1.0,0.921
4CNI_1ALU,171,157,156,0.912,0.994
4GMS_6MXU,316,486,301,0.953,0.619
1UJ3_1BOY,205,211,205,1.0,0.972
4HC1_4HBQ,198,206,198,1.0,0.961
5L0Q_2AO7,203,146,146,0.719,1.0
4Y5Y_1ERN,195,207,190,0.974,0.918
3GI8_3GIA,435,433,432,0.993,0.998
5KVF_5OMZ,105,115,105,1.0,0.913
2R29_1OAN,97,394,97,1.0,0.246
5C7X_2GMF,115,121,115,1.0,0.95
5KJR_4DVV,332,339,326,0.982,0.962
1MLC_4KXI,129,129,129,1.0,1.0
5F9O_3TGT,341,342,339,0.994,0.991
4LQF_3K7B,78,85,78,1.0,0.918
4ZS7_1ALU,139,157,139,1.0,0.885
4PP2_3F5V,222,221,219,0.986,0.991
3U7Y_3TGT,340,342,337,0.991,0.985
1C08_4KXI,129,129,129,1.0,1.0
1LK3_1INR,136,132,126,0.926,0.955
5JQ6_1N67,320,332,307,0.959,0.925
1FSK_1BV1,159,159,159,1.0,1.0
4YDK_3TGT,341,342,340,0.997,0.994
5KW9_3BY2,289,280,278,0.962,0.993
5D93_3T59,240,501,238,0.992,0.475
1BVK_4KXI,129,129,129,1.0,1.0
5TZT_2VSC,113,114,110,0.973,0.965
2OZ4_1P53,265,250,249,0.94,0.996
5HYS_4GT7,214,212,212,0.991,1.0
4AEI_1PTX,64,64,64,1.0,1.0
5JHL_5JHM,385,391,385,1.0,0.985
3RKD_2ZZQ,146,483,138,0.945,0.286
3LEV_3LES,177,179,177,1.0,0.989
1EGJ_1C8P,101,102,101,1.0,0.99
4DGI_1QLX,97,104,97,1.0,0.933
4U6V_6U49,272,293,271,0.996,0.925
3HMX_1F42,295,297,289,0.98,0.973
5DUM_5DUT,197,213,197,1.0,0.925
4CMH_6EDR,240,249,240,1.0,0.964
5E94_7LCK,110,390,110,1.0,0.282
5FHX_2B8U,122,129,122,1.0,0.946
5SY8_3LF6,155,154,148,0.955,0.961
4LSU_3TGT,346,342,341,0.986,0.997
3EOA_1ZOO,179,183,179,1.0,0.978
5FCU_4DVV,104,339,104,1.0,0.307
3L5X_1IK0,101,113,101,1.0,0.894
3WKM_3WKL,176,180,176,1.0,0.978
4JPK_4JPJ,169,170,163,0.964,0.959
3SE9_3TGT,344,342,342,0.994,1.0
2YBR_1CN2,65,66,65,1.0,0.985
1EO8_6WXB,319,485,316,0.991,0.652
4XAK_7C02,211,208,207,0.981,0.995
2J4W_1W8K,34,362,33,0.971,0.091
4JPW_4DVV,345,339,339,0.983,1.0
1JPS_1BOY,200,211,200,1.0,0.948
4RGM_1SE3,224,239,224,1.0,0.937
4G6M_5R8B,150,152,150,1.0,0.987
1WEJ_1LC1,104,104,104,1.0,1.0
1NSN_1KDC,138,137,135,0.978,0.985
4DN4_3IFD,61,66,61,1.0,0.924
1ZTX_1S6N,101,115,101,1.0,0.878
1FBI_1HHL,129,129,128,0.992,0.992
3LD8_6MEV,334,341,334,1.0,0.979
3BGF_5X58,178,1054,177,0.994,0.168
5TZU_2VSC,115,114,114,0.991,1.0
1AHW_1BOY,200,211,200,1.0,0.948
4OII_4OIE,177,177,175,0.989,0.989
2EIZ_4KXI,129,129,129,1.0,1.0
3KR3_1IGL,60,67,60,1.0,0.896
4YDJ_3TGT,298,342,295,0.99,0.863
3PNW_2D9T,60,78,52,0.867,0.667
2QQN_2QQI,154,315,154,1.0,0.489
1RJL_1P4P,95,140,95,1.0,0.679
3VG9_3RFM,297,291,282,0.949,0.969
2BDN_3IFD,68,66,66,0.971,1.0
5FB8_1I16,84,130,84,1.0,0.646
4ETQ_4E9O,225,230,224,0.996,0.974
