1EGJ,0.46,0.4
3W9E,0.33,0.25
2R56,0.26,0.13
1V7M,0.24,0.12
4LVN,0,-0.07
4JR9,0,-0.05
1QFU,0.04,-0.04
1MLC,0.42,0.35
3HMX,0,-0.09
3VI3,0.23,0.2
1UJ3,0.29,0.2
2VXQ,0.47,0.36
2BDN,0,-0.39
5C0N,0.13,0.08
3IDX,0.12,0.06
5LQB,0.4,0.3
3LD8,0.13,0.09
3HI1,0.04,-0.06
5T5F,0.59,0.6
3U9P,0.28,0.18
5KVE,0.26,0.09
4EDW,0.44,0.32
3WXV,0.29,0.25
5F9W,0.33,0.27
4NNP,0.56,0.58
4KUC,0.14,0.08
2YBR,0.61,0.5
5D93,0.33,0.26
4DGI,0.18,0.03
2J4W,0.6,0.33
5L0Q,0.24,0.2
3UC0,0.2,0.03
4OII,0.13,-0.0
3KS0,0.55,0.52
2UZI,0.64,0.6
3L5X,0.24,0.14
2EIZ,0.1,-0.08
4F37,0.3,0.23
5BV7,0.07,-0.0
3WKM,0.27,0.15
3U7Y,0.33,0.26
4XNY,0.39,0.33
3KR3,0.56,0.35
4QTI,0.05,-0.02
2AEP,0.04,-0.03
4AG4,0.33,0.3
1OB1,0.5,0.42
3X3F,0.55,0.45
3WIH,0.46,0.35
3G04,0.27,0.19
2J88,0.34,0.37
5GGT,0.27,0.16
2W9E,0.32,0.17
4YPG,0.16,-0.01
5E94,0.35,0.22
4YK4,0,-0.1
3GJF,0.04,-0.03
5TZ2,0.37,0.27
4J6R,0.4,0.34
5KVG,0.05,-0.19
4D3C,0.28,0.21
5F96,0.44,0.39
1BQL,0.22,0.1
4XMP,0.31,0.23
4LSU,0.38,0.32
4RGM,0.22,0.15
3L5W,0.36,0.29
4IRZ,0,-0.05
2FD6,0,-0.09
1SY6,0.16,0.08
4HKX,0.3,0.22
4G6J,0.13,-0.03
5UGY,0,-0.1
3Q3G,0.56,0.52
3MA9,0.23,0.11
5MVZ,0.05,-0.13
4U6V,0,-0.09
5FHX,0.34,0.28
5DUM,0.05,-0.07
2XQB,0.36,0.18
4JLR,0.4,0.3
2QQN,0.22,0.13
5KVD,0.37,0.22
5HYS,0,-0.1
4HC1,0.52,0.48
5DUR,0.09,-0.02
3LEV,0.33,0.33
1ORS,0.17,0.07
1JHL,0.4,0.35
1IQD,0.44,0.37
1N8Z,0.07,0.04
3VG9,0.1,0.0
4YWG,0.28,0.16
4HCR,0.5,0.44
4L5F,0.06,-0.15
4Z5R,0.43,0.33
2R29,0.1,-0.12
5IKC,0.29,0.13
4MWF,0.21,0.13
4ZSO,0.13,0.04
1ZTX,0.05,-0.16
4O58,0,-0.08
5FCU,0.47,0.33
3Q1S,0.33,0.24
5KW9,0.09,0.01
4UTA,0.11,0.18
1FNS,0.47,0.46
4ZPT,0.32,0.26
4CNI,0.2,0.1
5F3H,0.46,0.36
4LF3,0.26,0.09
1AHW,0.21,0.11
4UV7,0.17,0.19
5E8E,0.14,0.09
4YQX,0.42,0.34
5MES,0.38,0.33
5FB8,0.54,0.39
4LU5,0.22,0.01
1YY9,0,-0.05
4QCI,0.26,0.1
3LIZ,0.04,-0.04
1OAZ,0.33,0.2
4O9H,0.33,0.24
2YPV,0.3,0.23
1E6J,0.49,0.5
3BGF,0.29,0.21
3U2S,0.11,-0.11
5KVF,0.21,0.05
1TPX,0.29,0.12
1OSP,0.04,-0.06
2CMR,0.18,0.08
1A2Y,0.41,0.32
1C08,0.2,0.05
3SKJ,0.19,0.08
5HDQ,0.05,-0.03
4AL8,0.18,0.03
3PGF,0.33,0.28
1EZV,0,-0.13
4IJ3,0.33,0.26
4HF5,0,-0.08
4XVS,0.33,0.27
3NGB,0.32,0.26
1HYS,0.27,0.31
4LIQ,0,-0.06
4ZS7,0.27,0.13
2XQY,0.04,-0.02
4JPW,0.38,0.32
4BZ1,0.46,0.38
1AR1,0,-0.09
4DTG,0.22,-0.13
3SQO,0.12,0.1
4HJ0,0.55,0.44
5DHV,0.59,0.47
5SX4,0.17,0.06
5B3J,0,-0.07
3RVV,0.14,0.06
3MXW,0.57,0.49
1WEJ,0.46,0.41
5IES,0.46,0.37
4OGX,0.26,0.15
4G6M,0.09,-0.07
3I50,0.33,0.34
3D85,0.19,0.05
4XAK,0.28,0.23
5EN2,0.26,0.12
5D70,0.56,0.5
2OZ4,0.08,-0.0
5CZX,0.23,0.18
4K94,0.2,0.09
3ZKM,0.27,0.21
4OKV,0.3,0.1
3PNW,0.33,0.05
5SY8,0.37,0.31
3RKD,0.04,-0.13
5CBA,0.47,0.28
3V6O,0.2,0.12
5JHL,0.33,0.4
