4JZJ,30,17,13,0,0,0
4F37,24,17,7,0,0,0
1BGX,42,23,12,7,0,0
4QWW,35,9,8,18,0,0
2VXQ,23,7,7,9,0,0
4QCI,24,19,5,0,0,0
3LIZ,31,11,10,10,0,0
3LEV,27,19,8,0,0,0
3NH7,22,12,10,0,0,0
1OB1,23,7,9,7,0,0
5JQ6,32,19,13,0,0,0
1E6J,29,17,12,0,0,0
4EDW,24,10,14,0,0,0
4JR9,33,17,16,0,0,0
4CMH,29,14,15,0,0,0
4FQJ,31,14,17,0,0,0
4F2M,26,14,12,0,0,0
1WEJ,24,10,8,6,0,0
1ORS,26,15,11,0,0,0
5FHX,24,11,13,0,0,0
1AR1,30,20,10,0,0,0
5MES,25,16,9,0,0,0
4JLR,23,11,12,0,0,0
3KR3,20,10,7,3,0,0
1EZV,28,21,7,0,0,0
3VG9,32,20,12,0,0,0
3GI8,33,19,14,0,0,0
