4HJ0,0.6,0.5
2XQY,0,-0.06
3RVV,0,-0.1
4XMP,0.14,0.04
5IES,0.17,0.03
1W72,0.09,0.02
4Y5Y,0.41,0.33
5TZT,0,-0.15
5KJR,0,-0.08
1A2Y,0.26,0.14
1AR1,0,-0.09
5SX4,0.17,0.06
4YWG,0.44,0.37
2EIZ,0.52,0.44
3IDX,0.12,0.06
2NYY,0,-0.03
5F9O,0.07,-0.0
5CBA,0.59,0.45
4JR9,0,-0.05
4FFY,0.21,-0.05
3B2U,0,-0.13
4ZS7,0.18,0.02
3U9P,0,-0.14
1SY6,0.37,0.34
3D85,0,-0.18
3MA9,0.5,0.42
1FE8,0.52,0.47
4HC1,0,-0.13
4M62,0.7,0.69
3PNW,0.56,0.37
2CMR,0.41,0.35
1EZV,0,-0.13
2YBR,0.61,0.5
1H0D,0,-0.2
4HKX,0,-0.12
4ZSO,0,-0.11
4OGX,0.66,0.61
4O58,0,-0.08
2ARJ,0.14,-0.04
1N8Z,0.44,0.45
2UZI,0.73,0.7
4DQO,0.18,0.01
1ORS,0.17,0.07
2FD6,0,-0.09
4U6V,0.48,0.46
1BVK,0,-0.19
4XVS,0.03,-0.06
4YDJ,0.28,0.21
5T5F,0.63,0.66
2J88,0,-0.06
3NH7,0.19,-0.09
4HWB,0.04,-0.21
2R29,0,-0.25
5C0N,0.26,0.27
4XNY,0.03,-0.08
4K2U,0,-0.09
5MVZ,0.14,-0.02
5L6Y,0,-0.21
3THM,0.05,-0.28
4DTG,0.32,0.03
4KUC,0.05,-0.03
3T2N,0.69,0.69
5IKC,0.57,0.5
3VI3,0,-0.06
3KR3,0.67,0.51
1NCA,0,-0.07
5I9Q,0,-0.09
3G04,0.08,-0.04
4F37,0.55,0.56
5L0Q,0.1,0.02
4OT1,0.11,-0.05
4RGM,0.22,0.15
4LSU,0.26,0.18
4TSA,0.18,-0.08
1RJL,0,-0.23
4LQF,0,-0.25
3GJF,0.18,0.13
5FB8,0.49,0.33
3Q1S,0.33,0.24
5TZU,0,-0.23
2R56,0.04,-0.12
1BQL,0,-0.16
3W9E,0.37,0.29
1EGJ,0.51,0.48
4GMS,0,-0.08
1NSN,0.05,-0.13
4OII,0.09,-0.05
1ZTX,0,-0.23
2J4W,0.27,-0.29
5BV7,0,-0.08
5D8J,0.47,0.37
1OB1,0.22,0.06
4CMH,0,-0.13
2ADF,0.52,0.5
1G9M,0.05,-0.01
3JWD,0,-0.07
4O9H,0.14,0.01
5UGY,0,-0.1
4UV7,0,-0.03
1QFU,0,-0.08
4G6J,0.3,0.17
3LEV,0,-0.1
4DGI,0,-0.2
5DHV,0.47,0.3
4FP8,0,-0.1
5F96,0.04,-0.05
3SE9,0.03,-0.06
2NY7,0.04,-0.06
4YDK,0.15,0.06
3L5W,0,-0.18
3X3F,0.36,0.2
2W9E,0.37,0.23
5SY8,0.47,0.44
1A14,0.08,0.02
5HDQ,0,-0.08
1C08,0.59,0.52
1V7M,0,-0.17
2JEL,0,-0.27
4LEO,0,-0.05
4LIQ,0.04,-0.01
1FNS,0,-0.1
1FJ1,0,-0.1
4KI5,0.13,-0.01
4L5F,0,-0.22
5TZ2,0,-0.19
4YQX,0.32,0.21
3HI6,0.62,0.58
1TPX,0.24,0.06
5D70,0.51,0.44
4K94,0,-0.14
5JHL,0.38,0.47
5B3J,0,-0.07
4CNI,0.05,-0.07
5HYS,0.1,0.01
3I50,0.52,0.57
4U0R,0,-0.08
4OKV,0,-0.32
5F3H,0,-0.22
