4BZ2,0.0,11,0,0.4,12,6,16.3891
4ETQ,0.0,9,0,0.2927,19,6,22.1315
3LEV,0.3,11,3,0.0,16,0,20.6494
2ADF,0.3077,11,4,0.2,15,3,20.8626
5KJR,0.0645,14,1,0.2286,18,4,41.0582
1LK3,0.0513,22,1,0.0,4,0,39.053
4LQF,0.1176,6,1,0.0,16,0,15.2068
2EIZ,0.3226,13,5,0.0,11,0,27.9604
5KVF,0.2308,11,3,0.069,14,1,22.7993
5FCU,0.4375,12,7,0.0,20,0,39.3594
1FBI,0.48,10,6,0.0,14,0,27.8616
2J4W,0.4348,11,5,0.0,7,0,16.0386
4QTI,0.0,12,0,0.0,19,0,33.5152
3Q3G,0.6875,15,11,0.0,11,0,26.0599
5TZU,0.0645,12,1,0.0,12,0,53.5486
5TZ2,0.0,12,0,0.0,12,0,53.5486
3ZKM,0.0,16,0,0.2051,16,4,31.7678
1ZTX,0.0625,17,1,0.0,7,0,23.4807
5IKC,0.0,16,0,0.2857,8,3,34.5496
1FE8,0.2667,11,4,0.0,15,0,20.8626
4U6V,0.0,17,0,0.0,14,0,31.1172
4JPW,0.0909,14,2,0.0,18,0,41.0582
5I9Q,0.1714,13,3,0.0,19,0,34.3187
5CBA,0.1739,9,2,0.0,13,0,21.4286
1A2Y,0.1429,13,2,0.1538,11,2,27.9604
4FP8,0.0,14,0,0.0,16,0,42.0398
4LU5,0.0952,6,1,0.0,16,0,15.2068
4Y5Y,0.0,23,0,0.0,5,0,42.5637
2OZ4,0.0,23,0,0.0769,8,1,61.147
4GMS,0.0,1,0,0.0,31,0,72.0755
4K2U,0.0,11,0,0.069,19,1,44.9129
4PP1,0.0,18,0,0.129,10,2,22.8316
4I77,0.0571,16,1,0.0,8,0,27.9979
3KS0,0.6667,14,8,0.0,9,0,14.0591
5UGY,0.0645,7,1,0.0,21,0,29.4534
1NCA,0.0,17,0,0.0,15,0,33.1796
4OGX,0.3415,12,7,0.0,17,0,25.3841
3I50,0.0,22,0,0.4762,10,5,69.2813
2Q8A,0.2857,14,5,0.0,17,0,41.7121
5F9O,0.0,19,0,0.0,13,0,41.5688
3LD8,0.0,12,0,0.0,20,0,30.9078
4L5F,0.0,15,0,0.0,8,0,25.9828
2QQN,0.0,19,0,0.0,7,0,17.2493
2R56,0.0,16,0,0.3226,10,5,20.1948
5A3I,0.1053,3,1,0.0,29,0,64.3596
4HC1,0.0,8,0,0.2857,18,5,55.678
4K94,0.0,21,0,0.0714,7,1,48.6649
4M62,0.4242,18,7,0.1818,7,2,21.2225
1MLC,0.2222,13,3,0.0,11,0,27.9604
4TSA,0.0667,17,1,0.1,7,1,23.3814
4O58,0.0,1,0,0.0,31,0,72.0755
5JQ6,0.0476,21,1,0.125,11,2,46.8251
4HKX,0.0769,7,1,0.0,21,0,29.4534
5E8E,0.0667,18,1,0.0,12,0,19.7884
2YPV,0.0625,13,1,0.1081,18,2,47.0897
5FB8,0.2353,15,4,0.1538,7,2,19.6289
1IQD,0.0,18,0,0.6667,8,8,31.4274
5CZX,0.2143,14,3,0.0,15,0,34.675
